map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:42:57.559] WARN  [p0gate4] [bot] 0x20 resync; aborting path
[00:53:58.364] WARN  [p0gate4] [bot] start (1488,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 121 item(s), 4 mobile(s))
[00:55:18.347] WARN  [p0gate4] [bot] no path to (1490,1550) avoiding 0 block(s); stopping (search 975380.8us)
[00:55:18.347] WARN  [p0gate4] [bot] start (1488,1551,70) exits: open=4 terrain=3 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 116 item(s), 4 mobile(s))
[00:55:40.177] WARN  [p0gate4] [bot] no path to (1490,1552) avoiding 0 block(s); stopping (search 1035406.3us)
[00:55:40.177] WARN  [p0gate4] [bot] start (1488,1552,70) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 113 item(s), 4 mobile(s))
[00:56:09.375] WARN  [p0gate4] [bot] no path to (1484,1545) avoiding 0 block(s); stopping (search 973436.2us)
[00:56:09.375] WARN  [p0gate4] [bot] start (1485,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 110 item(s), 4 mobile(s))
[00:56:32.648] WARN  [p0gate4] [ACTION_RESULT] vendor_sell timeout (no server confirmation)
[00:56:42.554] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 987555.1us)
[00:56:42.554] WARN  [p0gate4] [bot] start (1487,1549,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[00:56:59.637] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:57:08.684] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:57:09.764] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:11.035] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:12.366] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:15.259] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:16.554] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:17.898] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:22.283] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:23.635] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:24.924] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:30.810] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:32.183] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:33.539] WARN  [p0gate4] [bot] goal (1484,1546) is not walkable; skipping A* and stopping
[00:57:34.774] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 1017923.0us)
[00:57:34.774] WARN  [p0gate4] [bot] start (1484,1550,30) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[00:57:38.595] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 954056.7us)
[00:57:38.595] WARN  [p0gate4] [bot] start (1484,1550,30) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[00:57:51.983] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:58:00.978] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:58:54.681] WARN  [p0gate4] [bot] no path to (1489,1551) avoiding 0 block(s); stopping (search 964188.2us)
[00:58:54.681] WARN  [p0gate4] [bot] start (1488,1553,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[00:59:45.598] WARN  [p0gate4] [bot] no path to (1484,1545) avoiding 0 block(s); stopping (search 951668.4us)
[00:59:45.598] WARN  [p0gate4] [bot] start (1484,1547,70) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:00:06.582] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:00:15.628] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:00:24.614] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:00:33.668] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:00:42.688] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:00:51.709] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:01:00.675] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:01:09.671] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:01:18.722] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:01:27.779] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:01:36.836] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:01:45.853] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:01:47.966] WARN  [p0gate4] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 972106.4us)
[01:01:47.966] WARN  [p0gate4] [bot] start (1484,1545,50) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:01:59.832] WARN  [p0gate4] [bot] no path to (1489,1550) avoiding 0 block(s); stopping (search 978559.0us)
[01:01:59.832] WARN  [p0gate4] [bot] start (1486,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:02:03.712] WARN  [p0gate4] [bot] no path to (1489,1550) avoiding 0 block(s); stopping (search 990321.3us)
[01:02:03.712] WARN  [p0gate4] [bot] start (1486,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:02:19.151] WARN  [p0gate4] [0x21] move REJECTED seq=12; server says (1484,1549,32) facing=0
[01:03:08.948] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 960734.9us)
[01:03:08.948] WARN  [p0gate4] [bot] start (1490,1549,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:03:26.634] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:03:35.677] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:03:44.652] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:03:58.114] WARN  [p0gate4] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 960839.4us)
[01:03:58.114] WARN  [p0gate4] [bot] start (1489,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:04:36.814] WARN  [p0gate4] [bot] no path to (1485,1546) avoiding 0 block(s); stopping (search 997967.9us)
[01:04:36.814] WARN  [p0gate4] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:04:40.602] WARN  [p0gate4] [bot] no path to (1485,1546) avoiding 0 block(s); stopping (search 979194.0us)
[01:04:40.602] WARN  [p0gate4] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:04:45.941] WARN  [p0gate4] [bot] no path to (1485,1546) avoiding 0 block(s); stopping (search 1043027.0us)
[01:04:45.941] WARN  [p0gate4] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:04:52.807] WARN  [p0gate4] [bot] no path to (1485,1546) avoiding 0 block(s); stopping (search 1002397.5us)
[01:04:52.807] WARN  [p0gate4] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:04:54.022] WARN  [p0gate4] [bot] no path to (1485,1545) avoiding 0 block(s); stopping (search 998597.0us)
[01:04:54.022] WARN  [p0gate4] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:04:57.848] WARN  [p0gate4] [bot] no path to (1485,1545) avoiding 0 block(s); stopping (search 993442.4us)
[01:04:57.848] WARN  [p0gate4] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:13.147] WARN  [p0gate4] [bot] no path to (1489,1550) avoiding 0 block(s); stopping (search 996787.8us)
[01:05:13.147] WARN  [p0gate4] [bot] start (1487,1549,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:16.039] WARN  [p0gate4] [bot] no path to (1489,1550) avoiding 0 block(s); stopping (search 1968.8us)
[01:05:16.039] WARN  [p0gate4] [bot] start (1487,1549,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:20.384] WARN  [p0gate4] [bot] no path to (1489,1550) avoiding 0 block(s); stopping (search 1913.1us)
[01:05:20.384] WARN  [p0gate4] [bot] start (1487,1549,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:33.334] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 978234.6us)
[01:05:33.334] WARN  [p0gate4] [bot] start (1489,1550,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:35.644] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 1067878.1us)
[01:05:35.644] WARN  [p0gate4] [bot] start (1489,1550,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:37.939] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 971042.5us)
[01:05:37.939] WARN  [p0gate4] [bot] start (1489,1550,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:41.783] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 959181.7us)
[01:05:41.784] WARN  [p0gate4] [bot] start (1489,1550,30) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:44.017] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 967919.3us)
[01:05:44.018] WARN  [p0gate4] [bot] start (1489,1550,30) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:46.308] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 1065973.7us)
[01:05:46.308] WARN  [p0gate4] [bot] start (1489,1550,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:51.628] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 985712.5us)
[01:05:51.628] WARN  [p0gate4] [bot] start (1489,1550,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:53.915] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 969620.4us)
[01:05:53.915] WARN  [p0gate4] [bot] start (1489,1550,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:05:56.277] WARN  [p0gate4] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 1056908.1us)
[01:05:56.277] WARN  [p0gate4] [bot] start (1489,1550,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:06:03.608] WARN  [p0gate4] [bot] goal (1484,1548) is not walkable; skipping A* and stopping
[01:06:06.439] WARN  [p0gate4] [bot] goal (1484,1548) is not walkable; skipping A* and stopping
[01:06:10.859] WARN  [p0gate4] [bot] goal (1484,1548) is not walkable; skipping A* and stopping
[01:06:16.726] WARN  [p0gate4] [bot] goal (1484,1548) is not walkable; skipping A* and stopping
[01:06:16.973] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:18.341] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:19.700] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:22.568] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:23.866] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:25.218] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:29.610] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:30.952] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:32.305] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:38.176] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:39.501] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:40.832] WARN  [p0gate4] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[01:06:48.973] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:06:58.048] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:07:26.506] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:07:28.643] WARN  [p0gate4] [bot] no path to (1489,1551) avoiding 0 block(s); stopping (search 981801.3us)
[01:07:28.643] WARN  [p0gate4] [bot] start (1488,1553,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 108 item(s), 4 mobile(s))
[01:07:40.496] WARN  [p0gate4] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
