map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[19:00:36.060] WARN  [selll] [0x21] move REJECTED seq=15; server says (1439,1693,0) facing=3
[19:01:36.439] WARN  [selll] [bot] no path to (1444,1759) avoiding 0 block(s); stopping (search 1157514.5us)
[19:01:36.439] WARN  [selll] [bot] start (1440,1760,-2) exits: open=6 terrain=0 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:01:38.774] WARN  [selll] [bot] no path to (1444,1759) avoiding 0 block(s); stopping (search 1045703.3us)
[19:01:38.774] WARN  [selll] [bot] start (1440,1760,-2) exits: open=6 terrain=0 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:01:41.133] WARN  [selll] [bot] no path to (1444,1759) avoiding 0 block(s); stopping (search 1062584.1us)
[19:01:41.133] WARN  [selll] [bot] start (1440,1760,-2) exits: open=6 terrain=0 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:01:45.019] WARN  [selll] [bot] no path to (1444,1759) avoiding 0 block(s); stopping (search 1059761.3us)
[19:01:45.019] WARN  [selll] [bot] start (1440,1760,-2) exits: open=6 terrain=0 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:01:47.521] WARN  [selll] [bot] no path to (1444,1759) avoiding 0 block(s); stopping (search 1169933.9us)
[19:01:47.521] WARN  [selll] [bot] start (1440,1760,-2) exits: open=6 terrain=0 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:02:00.488] WARN  [selll] [bot] no path to (1441,1760) avoiding 0 block(s); stopping (search 1057140.2us)
[19:02:00.488] WARN  [selll] [bot] start (1444,1759,-2) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 6 mobile(s))
[19:02:04.739] WARN  [selll] [bot] no path to (1438,1760) avoiding 0 block(s); stopping (search 1073738.0us)
[19:02:04.739] WARN  [selll] [bot] start (1444,1759,-2) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 6 mobile(s))
[19:02:11.120] WARN  [selll] [bot] no path to (1437,1763) avoiding 0 block(s); stopping (search 1067781.7us)
[19:02:11.120] WARN  [selll] [bot] start (1438,1760,-2) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:02:14.885] WARN  [selll] [bot] no path to (1439,1766) avoiding 0 block(s); stopping (search 1048827.4us)
[19:02:14.885] WARN  [selll] [bot] start (1438,1760,-2) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:02:23.293] WARN  [selll] [bot] no path to (1443,1767) avoiding 0 block(s); stopping (search 1064108.3us)
[19:02:23.293] WARN  [selll] [bot] start (1439,1764,-2) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:02:29.614] WARN  [selll] [bot] no path to (1442,1764) avoiding 0 block(s); stopping (search 1049720.2us)
[19:02:29.614] WARN  [selll] [bot] start (1443,1767,-2) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:02:39.258] WARN  [selll] [bot] no path to (1437,1765) avoiding 0 block(s); stopping (search 1119295.8us)
[19:02:39.258] WARN  [selll] [bot] start (1442,1765,-2) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:02:45.414] WARN  [selll] [bot] no path to (1434,1767) avoiding 0 block(s); stopping (search 1051540.1us)
[19:02:45.414] WARN  [selll] [bot] start (1437,1765,-2) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:02:55.005] WARN  [selll] [bot] no path to (1432,1767) avoiding 0 block(s); stopping (search 1051667.8us)
[19:02:55.005] WARN  [selll] [bot] start (1435,1767,-2) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 6 mobile(s))
[19:02:58.962] WARN  [selll] [bot] no path to (1432,1767) avoiding 0 block(s); stopping (search 1082461.8us)
[19:02:58.962] WARN  [selll] [bot] start (1435,1767,-2) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 6 mobile(s))
[19:03:04.394] WARN  [selll] [bot] no path to (1432,1767) avoiding 0 block(s); stopping (search 1053419.8us)
[19:03:04.394] WARN  [selll] [bot] start (1435,1767,-2) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
[19:03:10.008] WARN  [selll] [bot] no path to (1435,1764) avoiding 0 block(s); stopping (search 1048095.9us)
[19:03:10.008] WARN  [selll] [bot] start (1435,1767,-2) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 206 item(s), 5 mobile(s))
