map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:29:37.828] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:25.163] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:31.151] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:32.516] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:34.047] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:31:34.445] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:35.875] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:37.273] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:40.432] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:41.782] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:43.325] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:47.855] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:49.270] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:50.791] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:56.915] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:58.439] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:59.894] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:31:59.999] WARN  [slice_n] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 1/3)
[17:32:03.441] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:04.793] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:06.097] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:08.945] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:10.295] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:11.645] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:16.068] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:17.427] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:18.769] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:24.638] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:25.927] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:27.274] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:27.335] WARN  [slice_n] [travel] route exhausted at (1464,1748,0); trying to reach (1464,1736,0) to get somewhere routable (escape 2/3)
[17:32:31.332] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:32.841] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:34.299] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:37.530] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:39.023] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:40.397] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:44.892] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:46.286] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:47.650] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:53.628] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:55.071] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:56.489] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:32:56.659] WARN  [slice_n] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1720,0) to get somewhere routable (escape 3/3)
[17:33:02.943] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:04.767] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:06.655] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:10.189] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:11.981] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:13.830] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:19.011] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:20.816] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:22.941] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:29.266] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:31.061] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:32.890] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:33:50.801] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:33:52.191] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:33:53.547] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:33:56.522] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:33:57.904] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:33:59.286] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:03.682] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:05.059] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:06.352] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:12.235] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:13.624] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:15.052] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:15.098] WARN  [slice_n] [travel] route exhausted at (1479,1757,-2); trying to reach (1488,1746,-2) to get somewhere routable (escape 1/3)
[17:34:20.498] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:21.861] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:23.338] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:26.244] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:27.672] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:29.145] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:33.618] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:35.091] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:36.480] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:42.428] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:43.770] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:45.125] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:45.250] WARN  [slice_n] [travel] route exhausted at (1488,1746,-2); trying to reach (1480,1752,0) to get somewhere routable (escape 2/3)
[17:34:48.360] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:49.729] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:51.123] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:53.976] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:55.363] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:34:56.701] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:01.122] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:02.550] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:03.944] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:09.804] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:11.124] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:12.484] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:12.608] WARN  [slice_n] [travel] route exhausted at (1480,1752,0); trying to reach (1464,1736,0) to get somewhere routable (escape 3/3)
[17:35:20.425] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:21.790] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:23.262] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:26.293] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:27.766] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:29.146] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:33.637] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:35.046] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:36.461] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:42.606] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:44.107] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:45.586] WARN  [slice_n] [bot] goal (1476,1762) is not walkable; skipping A* and stopping
[17:35:46.054] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:35:47.625] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:35:49.017] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:35:52.050] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:35:53.482] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:35:54.877] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:35:59.345] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:36:00.855] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:36:02.342] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:36:08.382] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:36:09.882] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:36:11.579] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:36:11.752] WARN  [slice_n] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 1/3)
[17:36:15.334] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:36:16.702] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:36:18.092] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
[17:36:20.976] WARN  [slice_n] [bot] goal (1451,1750) is not walkable; skipping A* and stopping
