map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[22:52:26.388] WARN  [m6e] [bot] 0x20 resync; aborting path
[22:56:53.802] WARN  [m6e] [bot] no path to (627,2196) avoiding 0 block(s); stopping (search 395322.3us)
[22:56:53.802] WARN  [m6e] [bot] start (625,2193,0) exits: open=6 terrain=0 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 239 item(s), 6 mobile(s))
[22:57:42.629] WARN  [m6e] [bot] 0x20 resync; aborting path
[22:58:10.131] WARN  [m6e] [bot] no path to (590,2170) avoiding 0 block(s); stopping (search 405676.2us)
[22:58:10.131] WARN  [m6e] [bot] start (587,2169,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 313 item(s), 9 mobile(s))
[22:58:13.316] WARN  [m6e] [bot] no path to (590,2170) avoiding 0 block(s); stopping (search 399918.1us)
[22:58:13.316] WARN  [m6e] [bot] start (587,2169,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 313 item(s), 9 mobile(s))
[22:58:21.197] WARN  [m6e] [bot] no path to (589,2166) avoiding 0 block(s); stopping (search 395315.0us)
[22:58:21.197] WARN  [m6e] [bot] start (588,2169,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 313 item(s), 10 mobile(s))
[22:58:27.535] WARN  [m6e] [bot] no path to (586,2166) avoiding 0 block(s); stopping (search 396799.0us)
[22:58:27.535] WARN  [m6e] [bot] start (589,2166,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 11 mobile(s))
[22:58:31.241] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 391796.3us)
[22:58:31.241] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 11 mobile(s))
[22:58:34.477] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 391960.7us)
[22:58:34.477] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 11 mobile(s))
[22:58:39.252] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 400638.8us)
[22:58:39.252] WARN  [m6e] [bot] start (587,2166,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 10 mobile(s))
[22:58:45.533] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 407660.3us)
[22:58:45.533] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 10 mobile(s))
[22:58:48.685] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 412373.3us)
[22:58:48.685] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 10 mobile(s))
[22:58:51.924] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 410185.1us)
[22:58:51.924] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 11 mobile(s))
[22:58:56.291] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 1322.7us)
[22:58:56.291] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 13 mobile(s))
[22:59:02.511] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 401227.3us)
[22:59:02.511] WARN  [m6e] [bot] start (587,2166,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 13 mobile(s))
[22:59:05.617] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 414993.8us)
[22:59:05.617] WARN  [m6e] [bot] start (587,2166,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 13 mobile(s))
[22:59:08.896] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 406933.9us)
[22:59:08.896] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 13 mobile(s))
[22:59:13.659] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 391901.5us)
[22:59:13.659] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 13 mobile(s))
[22:59:19.910] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 404925.0us)
[22:59:19.910] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 9 mobile(s))
[22:59:20.585] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 407175.0us)
[22:59:20.585] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 9 mobile(s))
[22:59:23.476] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 1304.2us)
[22:59:23.476] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 11 mobile(s))
[22:59:28.231] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 430856.9us)
[22:59:28.231] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 10 mobile(s))
[22:59:34.481] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 416465.4us)
[22:59:34.481] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 11 mobile(s))
[22:59:37.579] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 401985.2us)
[22:59:37.579] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 11 mobile(s))
[22:59:40.851] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 438939.3us)
[22:59:40.851] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 11 mobile(s))
[22:59:45.233] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 1507.9us)
[22:59:45.233] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 10 mobile(s))
[22:59:51.446] WARN  [m6e] [bot] no path to (584,2167) avoiding 0 block(s); stopping (search 397291.5us)
[22:59:51.446] WARN  [m6e] [bot] start (587,2166,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 10 mobile(s))
