map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:21:37.457] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:09.753] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:12.639] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:14.018] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:15.322] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:19.736] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:21.067] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:22.371] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:28.267] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:29.642] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:30.971] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:31.032] WARN  [slice_j] [travel] route exhausted at (1464,1748,0); trying to reach (1464,1736,0) to get somewhere routable (escape 3/3)
[17:22:34.255] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:35.638] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:36.981] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:39.866] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:41.151] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:42.484] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:46.786] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:48.078] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:49.428] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:55.221] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:56.602] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:22:57.950] WARN  [slice_j] [bot] goal (1488,1767) is not walkable; skipping A* and stopping
[17:23:07.420] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:08.714] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:10.061] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:12.934] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:14.282] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:15.631] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:19.989] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:21.341] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:22.716] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:28.580] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:29.946] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:31.249] WARN  [slice_j] [bot] goal (1455,1754) is not walkable; skipping A* and stopping
[17:23:31.311] WARN  [slice_j] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 1/3)
