map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:16:12.743] WARN  [m5f] [0x21] move REJECTED seq=5; server says (634,856,0) facing=0
[14:17:05.747] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,851,0) facing=0
[14:17:05.747] WARN  [m5f] [bot] (634,850) blocked by fatigue for too long; stopping (not blacklisted)
[14:17:07.030] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,851,0) facing=0
[14:17:09.043] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,851,0) facing=0
[14:17:11.482] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,850,0) facing=0
[14:17:13.522] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,850,0) facing=0
[14:17:15.554] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,850,0) facing=0
[14:17:17.581] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,850,0) facing=0
[14:17:20.060] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,849,0) facing=0
[14:17:22.087] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,849,0) facing=0
[14:17:24.103] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,849,0) facing=0
[14:17:26.130] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,849,0) facing=0
[14:17:28.151] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,849,0) facing=0
[14:17:30.590] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,848,0) facing=0
[14:17:32.620] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,848,0) facing=0
[14:17:34.655] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,848,0) facing=0
[14:17:36.672] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,848,0) facing=0
[14:17:38.701] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,848,0) facing=0
[14:17:41.157] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,847,0) facing=0
[14:17:43.190] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,847,0) facing=0
[14:17:45.222] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,847,0) facing=0
[14:17:47.260] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,847,0) facing=0
[14:17:49.284] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,847,0) facing=0
[14:17:51.767] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,846,0) facing=0
[14:17:53.790] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,846,0) facing=0
[14:17:55.820] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,846,0) facing=0
[14:17:57.857] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,846,0) facing=0
[14:18:00.297] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,845,0) facing=0
[14:18:00.297] WARN  [m5f] [bot] (634,844) blocked by fatigue for too long; stopping (not blacklisted)
[14:18:01.578] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,845,0) facing=0
[14:18:03.613] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,845,0) facing=0
[14:18:05.640] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,845,0) facing=0
[14:18:07.682] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,845,0) facing=0
[14:18:09.713] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,845,0) facing=0
[14:18:12.207] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,844,0) facing=0
[14:18:14.228] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,844,0) facing=0
[14:18:16.271] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,844,0) facing=0
[14:18:18.300] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,844,0) facing=0
[14:18:20.742] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,843,0) facing=0
[14:18:22.766] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,843,0) facing=0
[14:18:24.796] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,843,0) facing=0
[14:18:26.822] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,843,0) facing=0
[14:18:28.862] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,843,0) facing=0
[14:18:31.325] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,842,0) facing=0
[14:18:33.352] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,842,0) facing=0
[14:18:35.378] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,842,0) facing=0
[14:18:37.416] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,842,0) facing=0
[14:18:39.445] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,842,0) facing=0
[14:18:41.943] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,841,0) facing=0
[14:18:43.965] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,841,0) facing=0
[14:18:45.988] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,841,0) facing=0
[14:18:48.029] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,841,0) facing=0
[14:18:50.062] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,841,0) facing=0
[14:18:52.511] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,840,0) facing=0
[14:18:54.528] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,840,0) facing=0
[14:18:54.528] WARN  [m5f] [bot] (634,839) blocked by fatigue for too long; stopping (not blacklisted)
[14:18:58.821] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,840,0) facing=0
[14:19:01.714] WARN  [m5f] [0x21] move REJECTED seq=2; server says (634,839,0) facing=1
[14:19:04.186] WARN  [m5f] [0x21] move REJECTED seq=1; server says (634,839,0) facing=0
[14:19:06.212] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,839,0) facing=0
[14:19:08.240] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,839,0) facing=0
[14:19:10.261] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,839,0) facing=0
[14:19:13.232] WARN  [m5f] [0x21] move REJECTED seq=2; server says (634,838,0) facing=1
[14:19:15.270] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,838,0) facing=1
[14:19:17.291] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,838,0) facing=1
[14:19:19.320] WARN  [m5f] [0x21] move REJECTED seq=0; server says (634,838,0) facing=1
[14:19:21.799] WARN  [m5f] [0x21] move REJECTED seq=1; server says (635,837,0) facing=1
[14:19:23.836] WARN  [m5f] [0x21] move REJECTED seq=0; server says (635,837,0) facing=1
[14:19:24.931] WARN  [m5f] [bot] no path to (652,820) avoiding 0 block(s); stopping (search 1079740.0us)
[14:19:24.931] WARN  [m5f] [bot] start (635,837,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 230 item(s), 1 mobile(s))
[14:19:26.282] WARN  [m5f] [0x21] move REJECTED seq=0; server says (635,837,0) facing=1
[14:19:28.321] WARN  [m5f] [0x21] move REJECTED seq=0; server says (635,837,0) facing=1
[14:19:30.346] WARN  [m5f] [0x21] move REJECTED seq=0; server says (635,837,0) facing=1
[14:19:33.196] WARN  [m5f] [0x21] move REJECTED seq=2; server says (636,836,0) facing=0
[14:19:35.203] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,836,0) facing=0
[14:19:37.224] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,836,0) facing=0
[14:19:39.266] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,836,0) facing=0
[14:19:41.749] WARN  [m5f] [0x21] move REJECTED seq=1; server says (636,835,0) facing=0
[14:19:43.753] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,835,0) facing=0
[14:19:45.777] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,835,0) facing=0
[14:19:47.800] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,835,0) facing=0
[14:19:49.822] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,835,0) facing=0
[14:19:52.255] WARN  [m5f] [0x21] move REJECTED seq=1; server says (636,834,0) facing=0
[14:19:54.288] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,834,0) facing=0
[14:19:56.334] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,834,0) facing=0
[14:19:58.405] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,834,0) facing=0
[14:20:00.454] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,834,0) facing=0
[14:20:02.922] WARN  [m5f] [0x21] move REJECTED seq=1; server says (636,833,0) facing=0
[14:20:04.986] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,833,0) facing=0
[14:20:07.007] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,833,0) facing=0
[14:20:09.057] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,833,0) facing=0
[14:20:11.564] WARN  [m5f] [0x21] move REJECTED seq=1; server says (636,832,0) facing=0
[14:20:13.573] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,832,0) facing=0
[14:20:15.575] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,832,0) facing=0
[14:20:17.605] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,832,0) facing=0
[14:20:19.638] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,832,0) facing=0
[14:20:19.638] WARN  [m5f] [bot] (636,831) blocked by fatigue for too long; stopping (not blacklisted)
[14:20:20.952] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,832,0) facing=0
[14:20:23.382] WARN  [m5f] [0x21] move REJECTED seq=1; server says (636,831,0) facing=0
[14:20:25.401] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,831,0) facing=0
[14:20:27.436] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,831,0) facing=0
[14:20:29.503] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,831,0) facing=0
[14:20:32.018] WARN  [m5f] [0x21] move REJECTED seq=1; server says (636,830,0) facing=0
[14:20:34.070] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,830,0) facing=0
[14:20:36.128] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,830,0) facing=0
[14:20:38.156] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,830,0) facing=0
[14:20:40.165] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,830,0) facing=0
[14:20:43.043] WARN  [m5f] [0x21] move REJECTED seq=2; server says (636,829,0) facing=1
[14:20:45.075] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,829,0) facing=1
[14:20:47.126] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,829,0) facing=1
[14:20:49.192] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,829,0) facing=1
[14:20:51.213] WARN  [m5f] [0x21] move REJECTED seq=0; server says (636,829,0) facing=1
[14:20:53.692] WARN  [m5f] [0x21] move REJECTED seq=1; server says (637,828,0) facing=1
[14:20:55.743] WARN  [m5f] [0x21] move REJECTED seq=0; server says (637,828,0) facing=1
[14:20:57.748] WARN  [m5f] [0x21] move REJECTED seq=0; server says (637,828,0) facing=1
[14:20:59.782] WARN  [m5f] [0x21] move REJECTED seq=0; server says (637,828,0) facing=1
[14:21:02.229] WARN  [m5f] [0x21] move REJECTED seq=1; server says (638,827,0) facing=1
[14:21:04.267] WARN  [m5f] [0x21] move REJECTED seq=0; server says (638,827,0) facing=1
[14:21:06.301] WARN  [m5f] [0x21] move REJECTED seq=0; server says (638,827,0) facing=1
[14:21:08.321] WARN  [m5f] [0x21] move REJECTED seq=0; server says (638,827,0) facing=1
[14:21:10.379] WARN  [m5f] [0x21] move REJECTED seq=0; server says (638,827,0) facing=1
[14:21:12.883] WARN  [m5f] [0x21] move REJECTED seq=1; server says (639,826,0) facing=1
[14:21:14.889] WARN  [m5f] [0x21] move REJECTED seq=0; server says (639,826,0) facing=1
[14:21:14.889] WARN  [m5f] [bot] (640,825) blocked by fatigue for too long; stopping (not blacklisted)
[14:21:14.890] WARN  [m5f] [travel] route exhausted at (639,826,0); trying to reach (648,822,0) to get somewhere routable (escape 1/3)
[14:21:15.334] WARN  [m5f] [0x21] move REJECTED seq=0; server says (639,826,0) facing=1
[14:21:17.391] WARN  [m5f] [0x21] move REJECTED seq=0; server says (639,826,0) facing=1
[14:21:19.438] WARN  [m5f] [0x21] move REJECTED seq=0; server says (639,826,0) facing=1
[14:21:21.449] WARN  [m5f] [0x21] move REJECTED seq=0; server says (639,826,0) facing=1
[14:21:23.900] WARN  [m5f] [0x21] move REJECTED seq=1; server says (640,825,0) facing=1
[14:21:25.946] WARN  [m5f] [0x21] move REJECTED seq=0; server says (640,825,0) facing=1
[14:21:27.981] WARN  [m5f] [0x21] move REJECTED seq=0; server says (640,825,0) facing=1
[14:21:30.055] WARN  [m5f] [0x21] move REJECTED seq=0; server says (640,825,0) facing=1
[14:21:32.469] WARN  [m5f] [0x21] move REJECTED seq=1; server says (641,824,0) facing=1
[14:21:34.520] WARN  [m5f] [0x21] move REJECTED seq=0; server says (641,824,0) facing=1
[14:21:36.580] WARN  [m5f] [0x21] move REJECTED seq=0; server says (641,824,0) facing=1
[14:21:38.633] WARN  [m5f] [0x21] move REJECTED seq=0; server says (641,824,0) facing=1
[14:21:40.683] WARN  [m5f] [0x21] move REJECTED seq=0; server says (641,824,0) facing=1
[14:21:43.106] WARN  [m5f] [0x21] move REJECTED seq=1; server says (642,823,0) facing=1
[14:21:45.163] WARN  [m5f] [0x21] move REJECTED seq=0; server says (642,823,0) facing=1
[14:21:47.208] WARN  [m5f] [0x21] move REJECTED seq=0; server says (642,823,0) facing=1
[14:21:49.250] WARN  [m5f] [0x21] move REJECTED seq=0; server says (642,823,0) facing=1
[14:21:51.269] WARN  [m5f] [0x21] move REJECTED seq=0; server says (642,823,0) facing=1
[14:21:54.155] WARN  [m5f] [0x21] move REJECTED seq=2; server says (643,822,0) facing=2
[14:21:56.172] WARN  [m5f] [0x21] move REJECTED seq=0; server says (643,822,0) facing=2
[14:21:58.218] WARN  [m5f] [0x21] move REJECTED seq=0; server says (643,822,0) facing=2
[14:22:00.242] WARN  [m5f] [0x21] move REJECTED seq=0; server says (643,822,0) facing=2
[14:22:02.704] WARN  [m5f] [0x21] move REJECTED seq=1; server says (644,822,0) facing=2
[14:22:04.762] WARN  [m5f] [0x21] move REJECTED seq=0; server says (644,822,0) facing=2
[14:22:06.816] WARN  [m5f] [0x21] move REJECTED seq=0; server says (644,822,0) facing=2
[14:22:08.853] WARN  [m5f] [0x21] move REJECTED seq=0; server says (644,822,0) facing=2
[14:22:08.853] WARN  [m5f] [bot] (645,822) blocked by fatigue for too long; stopping (not blacklisted)
[14:22:08.854] WARN  [m5f] [travel] route exhausted at (644,822,0); trying to reach (632,824,0) to get somewhere routable (escape 2/3)
[14:22:09.698] WARN  [m5f] [0x21] move REJECTED seq=1; server says (644,822,0) facing=5
[14:22:11.738] WARN  [m5f] [0x21] move REJECTED seq=0; server says (644,822,0) facing=5
[14:22:14.210] WARN  [m5f] [0x21] move REJECTED seq=1; server says (643,823,0) facing=5
[14:22:16.252] WARN  [m5f] [0x21] move REJECTED seq=0; server says (643,823,0) facing=5
[14:22:18.293] WARN  [m5f] [0x21] move REJECTED seq=0; server says (643,823,0) facing=5
[14:22:20.339] WARN  [m5f] [0x21] move REJECTED seq=0; server says (643,823,0) facing=5
[14:22:23.288] WARN  [m5f] [0x21] move REJECTED seq=2; server says (642,824,0) facing=6
[14:22:25.319] WARN  [m5f] [0x21] move REJECTED seq=0; server says (642,824,0) facing=6
[14:22:27.375] WARN  [m5f] [0x21] move REJECTED seq=0; server says (642,824,0) facing=6
[14:22:29.390] WARN  [m5f] [0x21] move REJECTED seq=0; server says (642,824,0) facing=6
[14:22:31.400] WARN  [m5f] [0x21] move REJECTED seq=0; server says (642,824,0) facing=6
[14:22:33.894] WARN  [m5f] [0x21] move REJECTED seq=1; server says (641,824,0) facing=6
[14:22:36.170] WARN  [m5f] [0x21] move REJECTED seq=0; server says (641,824,0) facing=6
[14:22:38.199] WARN  [m5f] [0x21] move REJECTED seq=0; server says (641,824,0) facing=6
[14:22:40.242] WARN  [m5f] [0x21] move REJECTED seq=0; server says (641,824,0) facing=6
[14:22:42.698] WARN  [m5f] [0x21] move REJECTED seq=1; server says (640,824,0) facing=6
[14:22:44.740] WARN  [m5f] [0x21] move REJECTED seq=0; server says (640,824,0) facing=6
[14:22:46.745] WARN  [m5f] [0x21] move REJECTED seq=0; server says (640,824,0) facing=6
[14:22:48.779] WARN  [m5f] [0x21] move REJECTED seq=0; server says (640,824,0) facing=6
[14:22:50.802] WARN  [m5f] [0x21] move REJECTED seq=0; server says (640,824,0) facing=6
[14:22:53.283] WARN  [m5f] [0x21] move REJECTED seq=1; server says (639,824,0) facing=6
[14:22:55.306] WARN  [m5f] [0x21] move REJECTED seq=0; server says (639,824,0) facing=6
[14:22:57.334] WARN  [m5f] [0x21] move REJECTED seq=0; server says (639,824,0) facing=6
[14:22:59.362] WARN  [m5f] [0x21] move REJECTED seq=0; server says (639,824,0) facing=6
[14:23:01.386] WARN  [m5f] [0x21] move REJECTED seq=0; server says (639,824,0) facing=6
[14:23:03.867] WARN  [m5f] [0x21] move REJECTED seq=1; server says (638,824,0) facing=6
[14:23:03.867] WARN  [m5f] [bot] (637,824) blocked by fatigue for too long; stopping (not blacklisted)
[14:23:03.868] WARN  [m5f] [travel] route exhausted at (638,824,0); trying to reach (632,808,1) to get somewhere routable (escape 3/3)
[14:23:04.744] WARN  [m5f] [0x21] move REJECTED seq=1; server says (638,824,0) facing=5
