map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:51:11.451] WARN  [n10_Sianna] [0x21] move REJECTED seq=4; server says (633,857,0) facing=2
[16:15:08.208] WARN  [n10_Sianna] [bot] start (1419,3780,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1844 item(s), 6 mobile(s))
[16:17:46.929] WARN  [n10_Sianna] [bot] no path to (1960,2856) avoiding 0 block(s); stopping (search 3787.3us)
[16:17:46.930] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 2 mobile(s))
[16:17:48.278] WARN  [n10_Sianna] [bot] no path to (1960,2856) avoiding 0 block(s); stopping (search 3523.1us)
[16:17:48.279] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 2 mobile(s))
[16:17:49.644] WARN  [n10_Sianna] [bot] no path to (1960,2856) avoiding 0 block(s); stopping (search 2392.2us)
[16:17:49.644] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 2 mobile(s))
[16:17:55.518] WARN  [n10_Sianna] [bot] no path to (1976,2856) avoiding 0 block(s); stopping (search 2821.5us)
[16:17:55.519] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:17:56.900] WARN  [n10_Sianna] [bot] no path to (1976,2856) avoiding 0 block(s); stopping (search 3287.7us)
[16:17:56.900] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:17:58.214] WARN  [n10_Sianna] [bot] no path to (1976,2856) avoiding 0 block(s); stopping (search 2634.3us)
[16:17:58.214] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:17:58.275] WARN  [n10_Sianna] [travel] route exhausted at (1992,2888,5); trying to reach (1978,2888,1) to get somewhere routable (escape 1/3)
[16:17:58.336] WARN  [n10_Sianna] [bot] no path to (1978,2888) avoiding 0 block(s); stopping (search 4000.0us)
[16:17:58.336] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:17:58.336] WARN  [n10_Sianna] [travel] route exhausted at (1992,2888,5); trying to reach (1978,2872,-2) to get somewhere routable (escape 2/3)
[16:17:58.397] WARN  [n10_Sianna] [bot] no path to (1978,2872) avoiding 0 block(s); stopping (search 4076.4us)
[16:17:58.397] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:17:58.459] WARN  [n10_Sianna] [travel] route exhausted at (1992,2888,5); trying to reach (1990,2872,20) to get somewhere routable (escape 3/3)
[16:17:58.520] WARN  [n10_Sianna] [bot] no path to (1990,2872) avoiding 0 block(s); stopping (search 4240.7us)
[16:17:58.520] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:17:58.827] WARN  [n10_Sianna] [bot] no path to (1960,2856) avoiding 0 block(s); stopping (search 2372.5us)
[16:17:58.827] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:18:00.174] WARN  [n10_Sianna] [bot] no path to (1960,2856) avoiding 0 block(s); stopping (search 2507.2us)
[16:18:00.174] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:18:01.463] WARN  [n10_Sianna] [bot] no path to (1960,2856) avoiding 0 block(s); stopping (search 3066.0us)
[16:18:01.464] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:18:04.342] WARN  [n10_Sianna] [bot] no path to (1976,2856) avoiding 0 block(s); stopping (search 2539.0us)
[16:18:04.342] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:18:05.674] WARN  [n10_Sianna] [bot] no path to (1976,2856) avoiding 0 block(s); stopping (search 2956.9us)
[16:18:05.674] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
[16:18:07.041] WARN  [n10_Sianna] [bot] no path to (1976,2856) avoiding 0 block(s); stopping (search 2419.1us)
[16:18:07.041] WARN  [n10_Sianna] [bot] start (1992,2888,5) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1890 item(s), 3 mobile(s))
