map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:00:02.470] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:00:28.705] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1537868.0us)
[16:00:28.705] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 6 mobile(s))
[16:00:31.706] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1728121.3us)
[16:00:31.706] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:00:39.337] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1765621.7us)
[16:00:39.337] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:00:42.173] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1559253.3us)
[16:00:42.173] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:00:44.210] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1823700.8us)
[16:00:44.210] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 6 mobile(s))
[16:00:46.866] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1327542.8us)
[16:00:46.866] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:00:49.779] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1637901.9us)
[16:00:49.779] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:00:54.007] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1343474.4us)
[16:00:54.007] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:00:56.903] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1576911.2us)
[16:00:56.903] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:00:59.475] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1227738.5us)
[16:00:59.475] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:01:05.010] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1193247.6us)
[16:01:05.010] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:01:07.969] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1598586.2us)
[16:01:07.969] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:01:15.119] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1241934.2us)
[16:01:15.119] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:01:17.835] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1393489.9us)
[16:01:17.835] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:01:21.011] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1858538.4us)
[16:01:21.011] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:01:22.634] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1523584.2us)
[16:01:22.634] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 4 mobile(s))
[16:01:25.712] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1712019.8us)
[16:01:25.712] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:01:30.080] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1558271.1us)
[16:01:30.080] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:01:33.127] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1762119.4us)
[16:01:33.127] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:01:35.926] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1422327.2us)
[16:01:35.926] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:01:41.405] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1181410.4us)
[16:01:41.405] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 4 mobile(s))
[16:01:43.901] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1180488.7us)
[16:01:43.901] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 4 mobile(s))
[16:01:51.401] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1615210.3us)
[16:01:51.401] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:01:54.280] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1552074.3us)
[16:01:54.281] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:01:57.405] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1792089.8us)
[16:01:57.405] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:01:58.757] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1281874.5us)
[16:01:58.757] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:02:01.818] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1751121.6us)
[16:02:01.818] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:02:04.573] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1449404.6us)
[16:02:04.573] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:02:08.548] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1135400.9us)
[16:02:08.548] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:02:11.145] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1285794.6us)
[16:02:11.145] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:02:13.633] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1158844.9us)
[16:02:13.634] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:02:19.137] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1140527.1us)
[16:02:19.137] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:02:21.671] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1162272.4us)
[16:02:21.671] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 5 mobile(s))
[16:02:24.161] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1153306.5us)
[16:02:24.161] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 4 mobile(s))
[16:02:31.413] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1470486.4us)
[16:02:31.413] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 4 mobile(s))
[16:02:33.983] WARN  [n10_Nessa] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1267513.2us)
[16:02:33.983] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 4 mobile(s))
[16:02:35.394] WARN  [n10_Nessa] [bot] no path to (554,985) avoiding 0 block(s); stopping (search 1181927.1us)
[16:02:35.394] WARN  [n10_Nessa] [bot] start (558,987,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 228 item(s), 3 mobile(s))
[16:06:44.504] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:07:00.877] WARN  [n10_Nessa] [bot] no path to (1465,1747) avoiding 0 block(s); stopping (search 1291127.7us)
[16:07:00.877] WARN  [n10_Nessa] [bot] start (1466,1748,0) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 536 item(s), 2 mobile(s))
[16:11:52.926] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:16:18.984] WARN  [n10_Nessa] [travel] route exhausted at (1468,1747,0); trying to reach (1464,1736,0) to get somewhere routable (escape 1/3)
[16:16:23.772] WARN  [n10_Nessa] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 2/3)
[16:16:27.131] WARN  [n10_Nessa] [travel] route exhausted at (1464,1748,0); trying to reach (1448,1734,0) to get somewhere routable (escape 3/3)
[16:16:31.639] WARN  [n10_Nessa] [travel] route exhausted at (1448,1734,0); trying to reach (1432,1720,20) to get somewhere routable (escape 1/3)
[16:16:39.454] WARN  [n10_Nessa] [0x21] move REJECTED seq=32; server says (1441,1705,0) facing=7
[16:16:40.194] WARN  [n10_Nessa] [0x21] move REJECTED seq=0; server says (1441,1705,0) facing=7
[16:17:05.263] WARN  [n10_Nessa] [travel] route exhausted at (1432,1720,20); trying to reach (1416,1704,8) to get somewhere routable (escape 2/3)
[16:17:25.375] WARN  [n10_Nessa] [travel] route exhausted at (1416,1704,8); trying to reach (1402,1706,20) to get somewhere routable (escape 3/3)
[16:17:31.309] WARN  [n10_Nessa] [travel] route exhausted at (1402,1706,20); trying to reach (1400,1720,20) to get somewhere routable (escape 1/3)
[16:17:37.788] WARN  [n10_Nessa] [travel] route exhausted at (1400,1720,20); trying to reach (1402,1706,20) to get somewhere routable (escape 2/3)
[16:17:44.268] WARN  [n10_Nessa] [travel] route exhausted at (1402,1706,20); trying to reach (1416,1704,8) to get somewhere routable (escape 3/3)
[16:17:49.518] WARN  [n10_Nessa] [travel] route exhausted at (1416,1704,8); trying to reach (1402,1706,20) to get somewhere routable (escape 1/3)
[16:17:55.290] WARN  [n10_Nessa] [travel] route exhausted at (1402,1706,20); trying to reach (1400,1720,20) to get somewhere routable (escape 2/3)
[16:18:02.006] WARN  [n10_Nessa] [travel] route exhausted at (1400,1720,20); trying to reach (1386,1728,0) to get somewhere routable (escape 3/3)
[16:19:22.442] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:19:26.591] WARN  [n10_Nessa] [bot] no path to (1441,1761) avoiding 0 block(s); stopping (search 1554952.6us)
[16:19:26.591] WARN  [n10_Nessa] [bot] start (1435,1755,4) exits: open=4 terrain=2 mobile=1 dynamic=1 door=0 blacklist=0 (overlay saw 645 item(s), 5 mobile(s))
[16:19:29.523] WARN  [n10_Nessa] [bot] no path to (1441,1761) avoiding 0 block(s); stopping (search 1621347.0us)
[16:19:29.524] WARN  [n10_Nessa] [bot] start (1435,1755,4) exits: open=4 terrain=2 mobile=1 dynamic=1 door=0 blacklist=0 (overlay saw 645 item(s), 5 mobile(s))
[16:19:37.569] WARN  [n10_Nessa] [bot] no path to (1444,1762) avoiding 0 block(s); stopping (search 1753927.5us)
[16:19:37.569] WARN  [n10_Nessa] [bot] start (1441,1761,-2) exits: open=5 terrain=1 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 648 item(s), 5 mobile(s))
[16:19:54.356] WARN  [n10_Nessa] [0x21] move REJECTED seq=30; server says (1425,1749,11) facing=7
[16:19:54.357] WARN  [n10_Nessa] [bot] 0x20 resync; aborting path
[16:22:07.095] WARN  [n10_Nessa] [travel] route exhausted at (1470,1765,-2); trying to reach (1480,1752,0) to get somewhere routable (escape 1/3)
[16:22:13.963] WARN  [n10_Nessa] [travel] route exhausted at (1480,1752,0); trying to reach (1488,1746,-2) to get somewhere routable (escape 2/3)
[16:22:16.303] WARN  [n10_Nessa] [travel] route exhausted at (1488,1746,-2); trying to reach (1480,1736,0) to get somewhere routable (escape 3/3)
[16:22:23.937] WARN  [n10_Nessa] [travel] route exhausted at (1480,1736,0); trying to reach (1488,1746,-2) to get somewhere routable (escape 1/3)
[16:22:31.027] WARN  [n10_Nessa] [travel] route exhausted at (1488,1746,-2); trying to reach (1480,1752,0) to get somewhere routable (escape 2/3)
[16:22:33.846] WARN  [n10_Nessa] [travel] route exhausted at (1480,1752,0); trying to reach (1464,1736,0) to get somewhere routable (escape 3/3)
[16:22:41.298] WARN  [n10_Nessa] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1748,0) to get somewhere routable (escape 1/3)
[16:22:44.495] WARN  [n10_Nessa] [travel] route exhausted at (1464,1748,0); trying to reach (1464,1736,0) to get somewhere routable (escape 2/3)
[16:22:47.720] WARN  [n10_Nessa] [travel] route exhausted at (1464,1736,0); trying to reach (1464,1720,0) to get somewhere routable (escape 3/3)
[16:22:51.810] WARN  [n10_Nessa] [travel] route exhausted at (1464,1720,0); trying to reach (1448,1734,0) to get somewhere routable (escape 1/3)
[16:22:58.270] WARN  [n10_Nessa] [travel] route exhausted at (1448,1734,0); trying to reach (1432,1720,20) to get somewhere routable (escape 2/3)
[16:23:29.388] WARN  [n10_Nessa] [travel] route exhausted at (1432,1720,20); trying to reach (1416,1704,8) to get somewhere routable (escape 3/3)
