map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:54:18.219] WARN  [n10_Maribel] [0x21] move REJECTED seq=35; server says (1432,1666,10) facing=1
[16:01:07.171] WARN  [n10_Maribel] [bot] no path to (1484,1588) avoiding 0 block(s); stopping (search 1760610.4us)
[16:01:07.171] WARN  [n10_Maribel] [bot] start (1485,1584,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 741 item(s), 4 mobile(s))
[16:01:10.213] WARN  [n10_Maribel] [bot] no path to (1484,1588) avoiding 0 block(s); stopping (search 1705940.5us)
[16:01:10.213] WARN  [n10_Maribel] [bot] start (1485,1584,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 741 item(s), 4 mobile(s))
[16:01:25.389] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:01:40.237] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:01:47.830] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:02:04.344] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:02:15.920] WARN  [n10_Maribel] [ACTION_RESULT] vendor_buy rejected (15ms) You can't reach the Vendor
[16:02:24.953] WARN  [n10_Maribel] [ACTION_RESULT] vendor_buy rejected (0ms) You can't reach the Vendor
[16:02:33.968] WARN  [n10_Maribel] [ACTION_RESULT] vendor_buy rejected (0ms) You can't reach the Vendor
[16:02:43.023] WARN  [n10_Maribel] [ACTION_RESULT] vendor_buy rejected (15ms) You can't reach the Vendor
[16:02:52.042] WARN  [n10_Maribel] [ACTION_RESULT] vendor_buy rejected (1ms) You can't reach the Vendor
[16:03:01.094] WARN  [n10_Maribel] [ACTION_RESULT] vendor_buy rejected (1ms) You can't reach the Vendor
[16:03:10.127] WARN  [n10_Maribel] [ACTION_RESULT] vendor_buy rejected (1ms) You can't reach the Vendor
[16:03:19.183] WARN  [n10_Maribel] [ACTION_RESULT] vendor_buy rejected (16ms) You can't reach the Vendor
[16:05:19.001] WARN  [n10_Maribel] [0x21] move REJECTED seq=74; server says (1424,1552,30) facing=5
[16:05:19.001] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:05:23.667] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:05:27.905] WARN  [n10_Maribel] [bot] no path to (1420,1550) avoiding 0 block(s); stopping (search 1653901.2us)
[16:05:27.905] WARN  [n10_Maribel] [bot] start (1417,1552,30) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 996 item(s), 2 mobile(s))
[16:05:32.809] WARN  [n10_Maribel] [bot] no path to (1420,1550) avoiding 0 block(s); stopping (search 2060381.5us)
[16:05:32.809] WARN  [n10_Maribel] [bot] start (1417,1552,30) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 996 item(s), 2 mobile(s))
[16:05:39.042] WARN  [n10_Maribel] [bot] no path to (1420,1550) avoiding 0 block(s); stopping (search 1876419.8us)
[16:05:39.042] WARN  [n10_Maribel] [bot] start (1417,1552,30) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 996 item(s), 2 mobile(s))
[16:05:54.514] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:05:55.299] WARN  [n10_Maribel] [bot] no path to (1419,1546) avoiding 0 block(s); stopping (search 1676712.0us)
[16:05:55.299] WARN  [n10_Maribel] [bot] start (1420,1550,30) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 996 item(s), 2 mobile(s))
[16:06:05.962] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:06:12.884] WARN  [n10_Maribel] [bot] no path to (1417,1549) avoiding 0 block(s); stopping (search 538.3us)
[16:06:12.884] WARN  [n10_Maribel] [bot] start (1419,1546,30) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 996 item(s), 2 mobile(s))
[16:06:15.776] WARN  [n10_Maribel] [bot] no path to (1417,1549) avoiding 0 block(s); stopping (search 394.5us)
[16:06:15.776] WARN  [n10_Maribel] [bot] start (1419,1546,30) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 996 item(s), 2 mobile(s))
[16:06:23.937] WARN  [n10_Maribel] [action] npc_train superseded by npc_train
[16:06:23.937] WARN  [n10_Maribel] [ACTION_RESULT] npc_train invalid_state (2511ms) superseded
[16:06:31.956] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:06:46.669] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:07:01.476] WARN  [n10_Maribel] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:07:39.097] WARN  [n10_Maribel] [bot] goal (1390,1486) is not walkable; skipping A* and stopping
[16:07:40.306] WARN  [n10_Maribel] [bot] goal (1390,1486) is not walkable; skipping A* and stopping
[16:07:41.550] WARN  [n10_Maribel] [bot] goal (1390,1487) is not walkable; skipping A* and stopping
[16:07:42.798] WARN  [n10_Maribel] [bot] goal (1390,1487) is not walkable; skipping A* and stopping
[16:08:29.066] WARN  [n10_Maribel] [0x21] move REJECTED seq=45; server says (1424,1552,30) facing=5
[16:08:29.081] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:08:59.464] WARN  [n10_Maribel] [bot] THREAT (HP 32 -> 25): halting travel (TODO engage/flee/recall)
[16:09:12.862] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:09:35.007] WARN  [n10_Maribel] [0x21] move REJECTED seq=45; server says (1424,1552,30) facing=5
[16:09:35.008] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:10:29.178] WARN  [n10_Maribel] [0x21] move REJECTED seq=43; server says (1413,1593,30) facing=7
[16:10:29.914] WARN  [n10_Maribel] [0x21] move REJECTED seq=0; server says (1413,1593,30) facing=7
[16:11:13.803] WARN  [n10_Maribel] [0x21] move REJECTED seq=48; server says (1363,1575,30) facing=7
[16:11:15.491] WARN  [n10_Maribel] [bot] no path to (1362,1574) avoiding 0 block(s); stopping (search 1681088.0us)
[16:11:15.491] WARN  [n10_Maribel] [bot] start (1363,1575,30) exits: open=6 terrain=0 mobile=1 dynamic=1 door=0 blacklist=0 (overlay saw 1250 item(s), 3 mobile(s))
[16:11:22.378] WARN  [n10_Maribel] [0x21] move REJECTED seq=21; server says (1372,1584,30) facing=3
[16:11:22.378] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:11:33.250] WARN  [n10_Maribel] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1937794.7us)
[16:11:33.250] WARN  [n10_Maribel] [bot] start (1384,1608,30) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 1250 item(s), 1 mobile(s))
[16:11:36.458] WARN  [n10_Maribel] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1927410.3us)
[16:11:36.458] WARN  [n10_Maribel] [bot] start (1384,1608,30) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 1250 item(s), 1 mobile(s))
[16:14:29.066] WARN  [n10_Maribel] [travel] route exhausted at (1409,1590,45); trying to reach (1398,1592,30) to get somewhere routable (escape 1/3)
[16:15:05.927] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
[16:15:05.927] WARN  [n10_Maribel] [travel] route exhausted at (1392,1576,30); trying to reach (1384,1576,30) to get somewhere routable (escape 2/3)
[16:15:08.861] WARN  [n10_Maribel] [travel] route exhausted at (1384,1576,30); trying to reach (1384,1592,30) to get somewhere routable (escape 3/3)
[16:15:39.597] WARN  [n10_Maribel] [0x21] move REJECTED seq=32; server says (1386,1608,30) facing=3
[16:15:39.598] WARN  [n10_Maribel] [bot] 0x20 resync; aborting path
