map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[12:18:58.939] WARN  [f6_Ysolde] [0x21] move REJECTED seq=46; server says (1641,1671,15) facing=5
[12:19:46.588] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:52.004] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1060934.8us)
[12:19:52.004] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:53.353] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1314.7us)
[12:19:53.353] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:19:54.672] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 824.2us)
[12:19:54.672] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:01.908] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1380821.3us)
[12:20:01.908] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:04.428] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1187366.3us)
[12:20:04.428] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:06.848] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1082819.4us)
[12:20:06.848] WARN  [f6_Ysolde] [bot] start (1606,1710,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:06.911] WARN  [f6_Ysolde] [travel] route exhausted at (1606,1710,20); trying to reach (1608,1720,20) to get somewhere routable (escape 1/3)
[12:20:15.332] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1535870.1us)
[12:20:15.332] WARN  [f6_Ysolde] [bot] start (1608,1720,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:17.801] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1150901.5us)
[12:20:17.801] WARN  [f6_Ysolde] [bot] start (1608,1720,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:20.189] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1066245.0us)
[12:20:20.189] WARN  [f6_Ysolde] [bot] start (1608,1720,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:24.354] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1336352.1us)
[12:20:24.354] WARN  [f6_Ysolde] [bot] start (1608,1720,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:26.825] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1112676.1us)
[12:20:26.825] WARN  [f6_Ysolde] [bot] start (1608,1720,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:29.252] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1100733.7us)
[12:20:29.252] WARN  [f6_Ysolde] [bot] start (1608,1720,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:34.689] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1107121.9us)
[12:20:34.689] WARN  [f6_Ysolde] [bot] start (1608,1720,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:37.075] WARN  [f6_Ysolde] [bot] no path to (1606,1715) avoiding 0 block(s); stopping (search 1050264.7us)
[12:20:37.075] WARN  [f6_Ysolde] [bot] start (1608,1720,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
[12:20:46.245] WARN  [f6_Ysolde] [bot] no path to (1604,1712) avoiding 0 block(s); stopping (search 1177394.2us)
[12:20:46.245] WARN  [f6_Ysolde] [bot] start (1606,1711,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 138 item(s), 3 mobile(s))
