start: Halric is a macer and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:39:48.191] WARN  [n10_Halric] [bot] 0x20 resync; aborting path
[16:41:22.200] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1048180.5us)
[16:41:22.200] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:41:26.159] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1123504.0us)
[16:41:26.159] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:41:28.873] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1399639.9us)
[16:41:28.873] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:41:31.212] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1040567.9us)
[16:41:31.212] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:36.552] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1029666.8us)
[16:41:36.552] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:39.267] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1401559.2us)
[16:41:39.267] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:41.816] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1190178.6us)
[16:41:41.816] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:48.677] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1017330.5us)
[16:41:48.677] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:51.072] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1069234.9us)
[16:41:51.072] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:53.406] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1022646.4us)
[16:41:53.406] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:54.695] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1103308.7us)
[16:41:54.695] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:57.057] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1036893.5us)
[16:41:57.057] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:41:59.397] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1024544.7us)
[16:41:59.397] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:42:03.253] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1046788.6us)
[16:42:03.254] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:42:05.585] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1035823.7us)
[16:42:05.585] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:42:07.923] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1036082.2us)
[16:42:07.923] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 3 mobile(s))
[16:42:13.286] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1024142.3us)
[16:42:13.286] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:15.711] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1079129.3us)
[16:42:15.711] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:18.401] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1406713.0us)
[16:42:18.401] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:25.278] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1054888.6us)
[16:42:25.278] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:27.931] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1405722.1us)
[16:42:27.931] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:30.741] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1495326.8us)
[16:42:30.741] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:31.919] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1036182.1us)
[16:42:31.919] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:34.294] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1030019.5us)
[16:42:34.294] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:36.713] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1115505.7us)
[16:42:36.713] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:40.638] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1072875.2us)
[16:42:40.638] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:42.975] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1044817.3us)
[16:42:42.975] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:45.316] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1032443.8us)
[16:42:45.316] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:50.662] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 999634.5us)
[16:42:50.662] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:53.607] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1648968.5us)
[16:42:53.607] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:42:56.173] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1282930.4us)
[16:42:56.173] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:03.487] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1409367.9us)
[16:43:03.487] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:05.814] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1031821.7us)
[16:43:05.814] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:08.160] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 996895.9us)
[16:43:08.160] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:16.284] WARN  [n10_Halric] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:43:24.202] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1062895.9us)
[16:43:24.202] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:26.528] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1016037.4us)
[16:43:26.528] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:28.884] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1014161.3us)
[16:43:28.884] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:32.749] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1025874.2us)
[16:43:32.749] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:35.169] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1082831.9us)
[16:43:35.169] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:37.531] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1076238.1us)
[16:43:37.532] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:42.937] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1021396.4us)
[16:43:42.937] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:45.332] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1063773.9us)
[16:43:45.332] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:47.773] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1133140.7us)
[16:43:47.773] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:55.033] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1379975.6us)
[16:43:55.033] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:43:57.449] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1148274.1us)
[16:43:57.449] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:00.014] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1287017.8us)
[16:44:00.014] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:08.100] WARN  [n10_Halric] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:44:15.921] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1000645.8us)
[16:44:15.921] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:18.269] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 986615.7us)
[16:44:18.269] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:20.631] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1007002.2us)
[16:44:20.631] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:24.467] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 981766.9us)
[16:44:24.467] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:26.822] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 993191.1us)
[16:44:26.822] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:29.203] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 1073471.4us)
[16:44:29.203] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:34.543] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 984712.9us)
[16:44:34.543] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:36.814] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 945906.0us)
[16:44:36.814] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:39.067] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 951066.0us)
[16:44:39.067] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:45.831] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 968860.2us)
[16:44:45.832] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:48.111] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 959311.0us)
[16:44:48.111] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:50.391] WARN  [n10_Halric] [bot] no path to (2916,857) avoiding 0 block(s); stopping (search 951015.8us)
[16:44:50.391] WARN  [n10_Halric] [bot] start (2920,856,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 178 item(s), 4 mobile(s))
[16:44:58.519] WARN  [n10_Halric] [ACTION_RESULT] npc_train timeout (no server confirmation)
[16:45:05.220] WARN  [n10_Halric] [travel] route exhausted at (2920,856,0); trying to reach (2928,864,0) to get somewhere routable (escape 1/3)
[16:45:11.349] WARN  [n10_Halric] [travel] route exhausted at (2928,864,0); trying to reach (2920,856,0) to get somewhere routable (escape 2/3)
[16:45:17.069] WARN  [n10_Halric] [travel] route exhausted at (2920,856,0); trying to reach (2910,864,0) to get somewhere routable (escape 3/3)
[16:52:18.042] WARN  [n10_Halric] [0x21] move REJECTED seq=24; server says (2943,623,0) facing=3
[16:52:18.800] WARN  [n10_Halric] [0x21] move REJECTED seq=0; server says (2943,623,0) facing=3
[16:52:32.868] WARN  [n10_Halric] [bot] 0x20 resync; aborting path
[17:01:24.606] WARN  [n10_Halric] [travel] route exhausted at (2245,1231,0); trying to reach (2236,1240,0) to get somewhere routable (escape 1/3)
[17:01:32.371] WARN  [n10_Halric] [travel] route exhausted at (2236,1240,0); trying to reach (2248,1240,0) to get somewhere routable (escape 2/3)
[17:01:35.662] WARN  [n10_Halric] [travel] route exhausted at (2248,1240,0); trying to reach (2232,1224,0) to get somewhere routable (escape 3/3)
