start: Corran is a miner_smith and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:38:16.309] WARN  [n10_Corran] [0x21] move REJECTED seq=42; server says (1946,2840,22) facing=3
[17:00:06.410] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:06.473] WARN  [n10_Corran] [travel] route exhausted at (2856,816,0); trying to reach (2868,806,0) to get somewhere routable (escape 3/3)
[17:00:06.533] WARN  [n10_Corran] [bot] no path to (2868,806) avoiding 0 block(s); stopping (search 55.4us)
[17:00:06.533] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:10.908] WARN  [n10_Corran] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 52.1us)
[17:00:10.908] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:12.257] WARN  [n10_Corran] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 78.9us)
[17:00:12.257] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:13.583] WARN  [n10_Corran] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 52.7us)
[17:00:13.583] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:16.483] WARN  [n10_Corran] [bot] no path to (2840,856) avoiding 0 block(s); stopping (search 60.6us)
[17:00:16.483] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:17.836] WARN  [n10_Corran] [bot] no path to (2840,856) avoiding 0 block(s); stopping (search 76.2us)
[17:00:17.836] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:19.169] WARN  [n10_Corran] [bot] no path to (2840,856) avoiding 0 block(s); stopping (search 77.3us)
[17:00:19.169] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:23.551] WARN  [n10_Corran] [bot] no path to (2872,856) avoiding 0 block(s); stopping (search 86.5us)
[17:00:23.551] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:24.903] WARN  [n10_Corran] [bot] no path to (2872,856) avoiding 0 block(s); stopping (search 66.0us)
[17:00:24.903] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:26.269] WARN  [n10_Corran] [bot] no path to (2872,856) avoiding 0 block(s); stopping (search 54.2us)
[17:00:26.269] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:32.166] WARN  [n10_Corran] [bot] no path to (2882,848) avoiding 0 block(s); stopping (search 87.7us)
[17:00:32.166] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:33.546] WARN  [n10_Corran] [bot] no path to (2882,848) avoiding 0 block(s); stopping (search 80.8us)
[17:00:33.546] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:33.546] WARN  [n10_Corran] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[17:00:34.053] WARN  [n10_Corran] [0x21] move REJECTED seq=1; server says (2856,816,0) facing=6
[17:00:34.054] WARN  [n10_Corran] [bot] no path to (2882,848) avoiding 0 block(s); stopping (search 61.7us)
[17:00:34.054] WARN  [n10_Corran] [bot] start (2856,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 1779 item(s), 14 mobile(s))
[17:00:34.054] WARN  [n10_Corran] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[17:03:56.647] WARN  [n10_Corran] [bot] THREAT (HP 56 -> 49): halting travel (TODO engage/flee/recall)
