map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:16:21.733] WARN  [f6_Ysolde] [bot] 0x20 resync; aborting path
[14:16:56.541] WARN  [f6_Ysolde] [bot] goal (1484,1547) is not walkable; skipping A* and stopping
[14:16:56.601] WARN  [f6_Ysolde] [travel] reached (1486,1547,35) but the target is on another floor; not arrived
[14:16:58.260] WARN  [f6_Ysolde] [bot] no path to (1487,1545) avoiding 0 block(s); stopping (search 1017706.2us)
[14:16:58.260] WARN  [f6_Ysolde] [bot] start (1486,1547,35) exits: open=4 terrain=2 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:16:58.321] WARN  [f6_Ysolde] [travel] reached (1486,1547,35) but the target is on another floor; not arrived
[14:17:03.194] WARN  [f6_Ysolde] [bot] no path to (1488,1544) avoiding 0 block(s); stopping (search 1033649.3us)
[14:17:03.194] WARN  [f6_Ysolde] [bot] start (1487,1545,60) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:17:11.913] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[14:17:13.589] WARN  [f6_Ysolde] [bot] no path to (1485,1546) avoiding 0 block(s); stopping (search 998243.6us)
[14:17:13.589] WARN  [f6_Ysolde] [bot] start (1487,1545,60) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:17:13.652] WARN  [f6_Ysolde] [travel] reached (1487,1545,60) but the target is on another floor; not arrived
[14:17:14.926] WARN  [f6_Ysolde] [bot] goal (1485,1546) is not walkable; skipping A* and stopping
[14:17:14.989] WARN  [f6_Ysolde] [travel] reached (1487,1545,60) but the target is on another floor; not arrived
[14:17:16.280] WARN  [f6_Ysolde] [bot] no path to (1484,1549) avoiding 0 block(s); stopping (search 1009270.3us)
[14:17:16.280] WARN  [f6_Ysolde] [bot] start (1487,1545,60) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:17:16.340] WARN  [f6_Ysolde] [travel] reached (1487,1545,60) but the target is on another floor; not arrived
[14:17:18.623] WARN  [f6_Ysolde] [bot] no path to (1484,1549) avoiding 0 block(s); stopping (search 1010087.0us)
[14:17:18.623] WARN  [f6_Ysolde] [bot] start (1487,1545,60) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:17:18.684] WARN  [f6_Ysolde] [travel] reached (1487,1545,60) but the target is on another floor; not arrived
[14:17:20.956] WARN  [f6_Ysolde] [bot] no path to (1484,1549) avoiding 0 block(s); stopping (search 1059421.7us)
[14:17:20.956] WARN  [f6_Ysolde] [bot] start (1487,1545,60) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 106 item(s), 4 mobile(s))
[14:17:21.017] WARN  [f6_Ysolde] [travel] reached (1487,1545,60) but the target is on another floor; not arrived
[14:17:28.566] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 973725.6us)
[14:17:28.566] WARN  [f6_Ysolde] [bot] start (1484,1549,35) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 107 item(s), 4 mobile(s))
[14:17:28.628] WARN  [f6_Ysolde] [travel] reached (1484,1549,35) but the target is on another floor; not arrived
[14:17:30.870] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 992343.0us)
[14:17:30.870] WARN  [f6_Ysolde] [bot] start (1484,1549,35) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 107 item(s), 4 mobile(s))
[14:17:30.931] WARN  [f6_Ysolde] [travel] reached (1484,1549,35) but the target is on another floor; not arrived
[14:17:33.164] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 981311.1us)
[14:17:33.164] WARN  [f6_Ysolde] [bot] start (1484,1549,35) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 107 item(s), 5 mobile(s))
[14:17:33.179] WARN  [f6_Ysolde] [travel] reached (1484,1549,35) but the target is on another floor; not arrived
[14:17:36.951] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 966785.6us)
[14:17:36.951] WARN  [f6_Ysolde] [bot] start (1484,1549,35) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 107 item(s), 5 mobile(s))
[14:17:36.966] WARN  [f6_Ysolde] [travel] reached (1484,1549,35) but the target is on another floor; not arrived
[14:17:38.835] WARN  [f6_Ysolde] [bot] no path to (1487,1551) avoiding 0 block(s); stopping (search 1066773.8us)
[14:17:38.835] WARN  [f6_Ysolde] [bot] start (1484,1549,35) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 107 item(s), 5 mobile(s))
[14:17:38.836] WARN  [f6_Ysolde] [travel] reached (1484,1549,35) but the target is on another floor; not arrived
[14:17:41.044] WARN  [f6_Ysolde] [bot] no path to (1487,1551) avoiding 0 block(s); stopping (search 991862.0us)
[14:17:41.044] WARN  [f6_Ysolde] [bot] start (1484,1549,35) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 107 item(s), 5 mobile(s))
[14:17:41.105] WARN  [f6_Ysolde] [travel] reached (1484,1549,35) but the target is on another floor; not arrived
[14:17:43.366] WARN  [f6_Ysolde] [bot] no path to (1487,1551) avoiding 0 block(s); stopping (search 994336.0us)
[14:17:43.366] WARN  [f6_Ysolde] [bot] start (1484,1549,35) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 107 item(s), 4 mobile(s))
[14:17:43.427] WARN  [f6_Ysolde] [travel] reached (1484,1549,35) but the target is on another floor; not arrived
[14:17:50.567] WARN  [f6_Ysolde] [bot] no path to (1489,1554) avoiding 0 block(s); stopping (search 1011799.5us)
[14:17:50.567] WARN  [f6_Ysolde] [bot] start (1491,1546,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 107 item(s), 5 mobile(s))
[14:19:14.609] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 981037.8us)
[14:19:14.609] WARN  [f6_Ysolde] [bot] start (1489,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:19:18.467] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 1000370.4us)
[14:19:18.467] WARN  [f6_Ysolde] [bot] start (1489,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:19:23.840] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 987403.3us)
[14:19:23.840] WARN  [f6_Ysolde] [bot] start (1489,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:19:30.623] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 970947.4us)
[14:19:30.623] WARN  [f6_Ysolde] [bot] start (1489,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:19:31.818] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 1002968.8us)
[14:19:31.818] WARN  [f6_Ysolde] [bot] start (1489,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:19:35.649] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 982993.2us)
[14:19:35.649] WARN  [f6_Ysolde] [bot] start (1489,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:19:40.434] WARN  [f6_Ysolde] [bot] no path to (1486,1552) avoiding 0 block(s); stopping (search 1007917.5us)
[14:19:40.434] WARN  [f6_Ysolde] [bot] start (1489,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:19:45.711] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1018261.2us)
[14:19:45.711] WARN  [f6_Ysolde] [bot] start (1486,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:19:48.579] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1896.6us)
[14:19:48.580] WARN  [f6_Ysolde] [bot] start (1486,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:19:53.938] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 988601.5us)
[14:19:53.938] WARN  [f6_Ysolde] [bot] start (1486,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:20:00.850] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1010596.7us)
[14:20:00.850] WARN  [f6_Ysolde] [bot] start (1486,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:20:02.060] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 996136.3us)
[14:20:02.060] WARN  [f6_Ysolde] [bot] start (1486,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:20:05.918] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 983152.1us)
[14:20:05.918] WARN  [f6_Ysolde] [bot] start (1486,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:20:56.866] WARN  [f6_Ysolde] [bot] no path to (1485,1553) avoiding 0 block(s); stopping (search 977885.9us)
[14:20:56.866] WARN  [f6_Ysolde] [bot] start (1484,1551,70) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:21:01.894] WARN  [f6_Ysolde] [bot] no path to (1485,1555) avoiding 0 block(s); stopping (search 970645.5us)
[14:21:01.894] WARN  [f6_Ysolde] [bot] start (1485,1553,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:21:21.877] WARN  [f6_Ysolde] [bot] no path to (1485,1552) avoiding 0 block(s); stopping (search 1176593.6us)
[14:21:21.877] WARN  [f6_Ysolde] [bot] start (1485,1555,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:21:25.725] WARN  [f6_Ysolde] [bot] no path to (1486,1551) avoiding 0 block(s); stopping (search 597.8us)
[14:21:25.725] WARN  [f6_Ysolde] [bot] start (1485,1552,70) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:21:43.678] WARN  [f6_Ysolde] [bot] no path to (1488,1552) avoiding 0 block(s); stopping (search 981387.6us)
[14:21:43.678] WARN  [f6_Ysolde] [bot] start (1485,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:23:02.020] WARN  [f6_Ysolde] [bot] no path to (1488,1551) avoiding 0 block(s); stopping (search 993947.3us)
[14:23:02.020] WARN  [f6_Ysolde] [bot] start (1485,1552,70) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:23:05.828] WARN  [f6_Ysolde] [bot] no path to (1488,1551) avoiding 0 block(s); stopping (search 1003551.1us)
[14:23:05.828] WARN  [f6_Ysolde] [bot] start (1485,1552,70) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:23:42.349] WARN  [f6_Ysolde] [bot] no path to (1484,1553) avoiding 0 block(s); stopping (search 976873.7us)
[14:23:42.349] WARN  [f6_Ysolde] [bot] start (1488,1551,70) exits: open=4 terrain=3 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:23:44.641] WARN  [f6_Ysolde] [bot] no path to (1484,1553) avoiding 0 block(s); stopping (search 977691.3us)
[14:23:44.641] WARN  [f6_Ysolde] [bot] start (1488,1551,70) exits: open=4 terrain=3 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:23:47.170] WARN  [f6_Ysolde] [bot] no path to (1484,1553) avoiding 0 block(s); stopping (search 1202567.8us)
[14:23:47.170] WARN  [f6_Ysolde] [bot] start (1488,1551,70) exits: open=4 terrain=3 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:24:07.498] WARN  [f6_Ysolde] [bot] no path to (1488,1552) avoiding 0 block(s); stopping (search 986599.3us)
[14:24:07.498] WARN  [f6_Ysolde] [bot] start (1484,1553,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:24:09.751] WARN  [f6_Ysolde] [bot] no path to (1488,1552) avoiding 0 block(s); stopping (search 972686.7us)
[14:24:09.751] WARN  [f6_Ysolde] [bot] start (1484,1553,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:24:43.449] WARN  [f6_Ysolde] [bot] no path to (1488,1555) avoiding 0 block(s); stopping (search 981109.8us)
[14:24:43.449] WARN  [f6_Ysolde] [bot] start (1488,1552,70) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:26:17.052] WARN  [f6_Ysolde] [bot] no path to (1488,1551) avoiding 0 block(s); stopping (search 1877.4us)
[14:26:17.052] WARN  [f6_Ysolde] [bot] start (1488,1553,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:26:36.779] WARN  [f6_Ysolde] [bot] no path to (1485,1552) avoiding 0 block(s); stopping (search 977101.8us)
[14:26:36.779] WARN  [f6_Ysolde] [bot] start (1488,1551,70) exits: open=4 terrain=3 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:26:56.813] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 1017315.8us)
[14:26:56.813] WARN  [f6_Ysolde] [bot] start (1485,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:26:59.085] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 978370.2us)
[14:26:59.085] WARN  [f6_Ysolde] [bot] start (1485,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:27:01.354] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 977420.2us)
[14:27:01.354] WARN  [f6_Ysolde] [bot] start (1485,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:27:05.188] WARN  [f6_Ysolde] [bot] no path to (1489,1552) avoiding 0 block(s); stopping (search 982620.0us)
[14:27:05.188] WARN  [f6_Ysolde] [bot] start (1485,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:27:08.724] WARN  [f6_Ysolde] [bot] no path to (1488,1554) avoiding 0 block(s); stopping (search 968552.6us)
[14:27:08.724] WARN  [f6_Ysolde] [bot] start (1489,1552,70) exits: open=4 terrain=3 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:27:13.768] WARN  [f6_Ysolde] [bot] no path to (1487,1554) avoiding 0 block(s); stopping (search 1003844.2us)
[14:27:13.768] WARN  [f6_Ysolde] [bot] start (1488,1554,70) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:27:44.343] WARN  [f6_Ysolde] [bot] no path to (1486,1551) avoiding 0 block(s); stopping (search 497.8us)
[14:27:44.343] WARN  [f6_Ysolde] [bot] start (1488,1554,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:27:49.329] WARN  [f6_Ysolde] [bot] no path to (1485,1551) avoiding 0 block(s); stopping (search 989341.4us)
[14:27:49.329] WARN  [f6_Ysolde] [bot] start (1486,1551,70) exits: open=4 terrain=2 mobile=1 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:27:51.304] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1104609.2us)
[14:27:51.304] WARN  [f6_Ysolde] [bot] start (1486,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:27:55.146] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 975048.4us)
[14:27:55.146] WARN  [f6_Ysolde] [bot] start (1486,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:28:00.463] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 979900.5us)
[14:28:00.463] WARN  [f6_Ysolde] [bot] start (1486,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:28:07.277] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 972500.4us)
[14:28:07.277] WARN  [f6_Ysolde] [bot] start (1486,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:28:08.474] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 987203.1us)
[14:28:08.474] WARN  [f6_Ysolde] [bot] start (1486,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:28:12.303] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 987692.2us)
[14:28:12.304] WARN  [f6_Ysolde] [bot] start (1486,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:28:17.695] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 979659.7us)
[14:28:17.696] WARN  [f6_Ysolde] [bot] start (1486,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:28:40.577] WARN  [f6_Ysolde] [bot] no path to (1489,1555) avoiding 0 block(s); stopping (search 980158.2us)
[14:28:40.577] WARN  [f6_Ysolde] [bot] start (1484,1551,70) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:29:00.993] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 983263.9us)
[14:29:00.993] WARN  [f6_Ysolde] [bot] start (1489,1555,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:29:03.317] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 985728.7us)
[14:29:03.317] WARN  [f6_Ysolde] [bot] start (1489,1555,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:29:22.589] WARN  [f6_Ysolde] [bot] no path to (1488,1555) avoiding 0 block(s); stopping (search 998297.8us)
[14:29:22.589] WARN  [f6_Ysolde] [bot] start (1484,1551,70) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:29:42.480] WARN  [f6_Ysolde] [bot] no path to (1487,1553) avoiding 0 block(s); stopping (search 1025444.7us)
[14:29:42.480] WARN  [f6_Ysolde] [bot] start (1488,1555,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:29:47.447] WARN  [f6_Ysolde] [bot] no path to (1488,1552) avoiding 0 block(s); stopping (search 978303.8us)
[14:29:47.447] WARN  [f6_Ysolde] [bot] start (1487,1553,70) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:30:18.997] WARN  [f6_Ysolde] [bot] no path to (1487,1551) avoiding 0 block(s); stopping (search 994254.3us)
[14:30:18.997] WARN  [f6_Ysolde] [bot] start (1487,1553,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:30:22.922] WARN  [f6_Ysolde] [bot] no path to (1487,1551) avoiding 0 block(s); stopping (search 1077210.4us)
[14:30:22.923] WARN  [f6_Ysolde] [bot] start (1487,1553,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:30:28.291] WARN  [f6_Ysolde] [bot] no path to (1487,1551) avoiding 0 block(s); stopping (search 988782.9us)
[14:30:28.291] WARN  [f6_Ysolde] [bot] start (1487,1553,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:30:35.105] WARN  [f6_Ysolde] [bot] no path to (1487,1551) avoiding 0 block(s); stopping (search 974360.3us)
[14:30:35.105] WARN  [f6_Ysolde] [bot] start (1487,1553,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:30:36.299] WARN  [f6_Ysolde] [bot] no path to (1487,1551) avoiding 0 block(s); stopping (search 991124.1us)
[14:30:36.299] WARN  [f6_Ysolde] [bot] start (1487,1553,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:30:40.161] WARN  [f6_Ysolde] [bot] no path to (1487,1551) avoiding 0 block(s); stopping (search 996779.5us)
[14:30:40.161] WARN  [f6_Ysolde] [bot] start (1487,1553,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:31:31.099] WARN  [f6_Ysolde] [bot] no path to (1485,1551) avoiding 0 block(s); stopping (search 977789.2us)
[14:31:31.099] WARN  [f6_Ysolde] [bot] start (1487,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:31:35.609] WARN  [f6_Ysolde] [bot] no path to (1484,1552) avoiding 0 block(s); stopping (search 978204.7us)
[14:31:35.609] WARN  [f6_Ysolde] [bot] start (1485,1551,70) exits: open=4 terrain=2 mobile=1 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:32:22.652] WARN  [f6_Ysolde] [bot] no path to (1487,1553) avoiding 0 block(s); stopping (search 989708.9us)
[14:32:22.652] WARN  [f6_Ysolde] [bot] start (1485,1551,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:32:26.492] WARN  [f6_Ysolde] [bot] no path to (1487,1553) avoiding 0 block(s); stopping (search 994946.1us)
