body_hex	body_dec	anim_class	actions	max_frames	best_action	dirs
0x28B	651	human	35	10	0	5
0x28D	653	human	35	10	0	5
0x2BC	700	human	35	10	0	5
0x2BD	701	human	35	10	0	5
0x2BE	702	human	35	10	0	5
0x2BF	703	human	35	10	0	5
0x2C6	710	human	35	10	0	5
0x2C8	712	human	35	10	0	5
0x320	800	human	35	10	0	5
0x321	801	human	35	10	0	5
0x322	802	human	35	10	0	5
0x323	803	human	35	10	0	5
0x334	820	human	7	7	28	5
0x338	824	human	7	7	28	5
0x339	825	human	7	7	28	5
0x33B	827	human	7	7	28	5
0x33C	828	human	7	7	28	5
0x34E	846	human	7	7	28	5
0x350	848	human	7	7	28	5
0x384	900	human	35	10	0	5
0x385	901	human	35	10	0	5
0x386	902	human	35	10	0	5
0x387	903	human	35	10	0	5
0x388	904	human	35	10	0	5
0x389	905	human	35	10	0	5
0x38A	906	human	35	10	0	5
0x38D	909	human	35	10	0	5
0x38E	910	human	35	10	0	5
0x38F	911	human	35	10	0	5
0x390	912	human	35	10	0	5
0x391	913	human	35	10	0	5
0x399	921	human	35	10	0	5
0x39A	922	human	35	10	0	5
0x39B	923	human	35	10	0	5
0x39C	924	human	35	10	0	5
0x39D	925	human	35	10	0	5
0x39E	926	human	35	10	0	5
0x39F	927	human	35	10	0	5
0x3A0	928	human	35	10	0	5
0x3A1	929	human	35	10	0	5
0x3CB	971	human	35	10	0	5
0x3CC	972	human	35	10	0	5
0x3CD	973	human	35	10	0	5
0x3D4	980	human	35	10	0	5
0x3D5	981	human	35	10	0	5
0x3D6	982	human	35	10	0	5
0x3D7	983	human	35	10	0	5
0x3D8	984	human	35	10	0	5
0x3D9	985	human	35	10	0	5
0x3DA	986	human	35	10	0	5
0x3DC	988	human	35	10	0	5
0x3DE	990	human	35	10	0	5
0x3DF	991	human	35	10	0	5
0x3E0	992	human	35	10	0	5
0x3E1	993	human	35	10	0	5
0x3E2	994	human	35	10	0	5
