start: Vorar is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:29:38.087] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:40.394] WARN  [wave10_RevGen3_05_Vorar] [bot] no path to (1576,1736) avoiding 0 block(s); stopping (search 1202982.0us)
[17:30:40.394] WARN  [wave10_RevGen3_05_Vorar] [bot] start (1592,1750,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 114 item(s), 2 mobile(s))
[17:30:41.193] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:42.501] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:43.794] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:46.621] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:47.943] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:49.260] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:53.573] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:54.869] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:30:56.117] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:01.914] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:03.209] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:04.473] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:04.534] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1592,1736,17) to get somewhere routable (escape 1/3)
[17:31:09.881] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1736,17); trying to reach (1592,1750,30) to get somewhere routable (escape 2/3)
[17:31:19.692] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:20.978] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:22.246] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:25.050] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:26.358] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:27.644] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:31.934] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:33.226] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:34.522] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:40.318] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:41.616] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:42.906] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:42.967] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1576,1736,15) to get somewhere routable (escape 3/3)
[17:31:44.385] WARN  [wave10_RevGen3_05_Vorar] [bot] no path to (1576,1736) avoiding 0 block(s); stopping (search 1403547.0us)
[17:31:44.385] WARN  [wave10_RevGen3_05_Vorar] [bot] start (1592,1750,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 114 item(s), 1 mobile(s))
[17:31:45.187] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:46.479] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:47.773] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:50.607] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:51.901] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:53.195] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:57.493] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:31:58.782] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:00.075] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:05.920] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:07.214] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:08.516] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:08.577] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1592,1736,17) to get somewhere routable (escape 1/3)
[17:32:14.054] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1736,17); trying to reach (1592,1750,30) to get somewhere routable (escape 2/3)
[17:32:23.259] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:24.555] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:25.846] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:28.670] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:29.958] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:31.256] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:35.603] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:36.898] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:38.197] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:44.043] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:45.332] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:46.629] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:46.689] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1576,1736,15) to get somewhere routable (escape 3/3)
[17:32:48.350] WARN  [wave10_RevGen3_05_Vorar] [bot] no path to (1576,1736) avoiding 0 block(s); stopping (search 1609998.4us)
[17:32:48.350] WARN  [wave10_RevGen3_05_Vorar] [bot] start (1592,1750,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 114 item(s), 1 mobile(s))
[17:32:49.154] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:50.446] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:51.744] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:54.576] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:55.887] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:32:57.184] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:01.499] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:02.793] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:04.089] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:09.887] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:11.183] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:12.479] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:12.540] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1592,1736,17) to get somewhere routable (escape 1/3)
[17:33:17.858] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1736,17); trying to reach (1592,1750,30) to get somewhere routable (escape 2/3)
[17:33:27.246] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:28.540] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:29.834] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:32.675] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:33.971] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:35.286] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:39.599] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:40.891] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:42.182] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:48.039] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:49.342] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:50.637] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:50.698] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1576,1736,15) to get somewhere routable (escape 3/3)
[17:33:52.173] WARN  [wave10_RevGen3_05_Vorar] [bot] no path to (1576,1736) avoiding 0 block(s); stopping (search 1446936.0us)
[17:33:52.174] WARN  [wave10_RevGen3_05_Vorar] [bot] start (1592,1750,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 114 item(s), 1 mobile(s))
[17:33:52.976] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:54.269] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:55.559] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:58.389] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:33:59.680] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:00.973] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:05.284] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:06.595] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:07.900] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:13.757] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:15.051] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:16.348] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:16.410] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1592,1736,17) to get somewhere routable (escape 1/3)
[17:34:21.864] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1736,17); trying to reach (1592,1750,30) to get somewhere routable (escape 2/3)
[17:34:31.261] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:32.552] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:33.840] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:36.687] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:37.977] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:39.267] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:43.589] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:44.882] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:46.179] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:52.036] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:53.328] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:54.624] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:54.687] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1576,1736,15) to get somewhere routable (escape 3/3)
[17:34:56.493] WARN  [wave10_RevGen3_05_Vorar] [bot] no path to (1576,1736) avoiding 0 block(s); stopping (search 1766535.6us)
[17:34:56.494] WARN  [wave10_RevGen3_05_Vorar] [bot] start (1592,1750,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 114 item(s), 1 mobile(s))
[17:34:57.294] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:58.586] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:34:59.879] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:02.713] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:04.012] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:05.304] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:09.628] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:10.906] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:12.197] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:17.996] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:19.289] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:20.578] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:20.637] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1750,30); trying to reach (1592,1736,17) to get somewhere routable (escape 1/3)
[17:35:26.113] WARN  [wave10_RevGen3_05_Vorar] [travel] route exhausted at (1592,1736,17); trying to reach (1592,1750,30) to get somewhere routable (escape 2/3)
[17:35:35.542] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:36.832] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
[17:35:38.141] WARN  [wave10_RevGen3_05_Vorar] [bot] goal (1592,1780) is not walkable; skipping A* and stopping
