start: Xerxes is a treasure_hunter and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:29:42.106] WARN  [wave10_RevGen3_30_Xerxe] [ACTION_RESULT] use_object timeout (no server confirmation)
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:30:32.489] WARN  [wave10_RevGen3_30_Xerxe] [bot] 0x20 resync; aborting path
[17:34:30.614] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:31.906] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:33.210] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:37.531] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:38.807] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:40.068] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:45.867] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:47.135] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:48.431] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:48.494] WARN  [wave10_RevGen3_30_Xerxe] [travel] route exhausted at (3704,2520,0); trying to reach (3688,2504,0) to get somewhere routable (escape 1/3)
[17:34:50.252] WARN  [wave10_RevGen3_30_Xerxe] [bot] no path to (3688,2504) avoiding 0 block(s); stopping (search 1713167.5us)
[17:34:50.252] WARN  [wave10_RevGen3_30_Xerxe] [bot] start (3704,2520,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 490 item(s), 3 mobile(s))
[17:34:50.314] WARN  [wave10_RevGen3_30_Xerxe] [travel] route exhausted at (3704,2520,0); trying to reach (3704,2504,0) to get somewhere routable (escape 2/3)
[17:34:56.200] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:57.479] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:34:58.784] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:01.524] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:02.790] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:04.074] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:08.380] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:09.675] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:10.981] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:16.805] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:18.103] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:19.419] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:19.474] WARN  [wave10_RevGen3_30_Xerxe] [travel] route exhausted at (3704,2504,0); trying to reach (3688,2488,0) to get somewhere routable (escape 3/3)
[17:35:27.905] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:29.197] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:30.505] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:33.368] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:34.636] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
[17:35:35.911] WARN  [wave10_RevGen3_30_Xerxe] [bot] goal (3695,2511) is not walkable; skipping A* and stopping
