start: Cyras is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:29:44.992] WARN  [wave10_RevGen3_08_Cyras] [0x21] move REJECTED seq=30; server says (639,2189,0) facing=3
[17:34:34.086] WARN  [wave10_RevGen3_08_Cyras] [bot] start (616,2175,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 9 mobile(s))
[17:34:39.161] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2166) avoiding 0 block(s); stopping (search 753171.8us)
[17:34:39.161] WARN  [wave10_RevGen3_08_Cyras] [bot] start (616,2175,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 9 mobile(s))
[17:34:41.422] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2166) avoiding 0 block(s); stopping (search 897319.1us)
[17:34:41.422] WARN  [wave10_RevGen3_08_Cyras] [bot] start (616,2175,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 9 mobile(s))
[17:34:48.387] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2163) avoiding 0 block(s); stopping (search 870484.1us)
[17:34:48.387] WARN  [wave10_RevGen3_08_Cyras] [bot] start (632,2174,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 8 mobile(s))
[17:34:50.421] WARN  [wave10_RevGen3_08_Cyras] [bot] no path to (625,2163) avoiding 0 block(s); stopping (search 757058.6us)
[17:34:50.421] WARN  [wave10_RevGen3_08_Cyras] [bot] start (632,2174,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 440 item(s), 9 mobile(s))
[17:34:53.099] WARN  [wave10_RevGen3_08_Cyras] [0x21] move REJECTED seq=6; server says (634,2169,0) facing=1
[17:34:53.114] WARN  [wave10_RevGen3_08_Cyras] [bot] 0x20 resync; aborting path
[17:35:19.732] WARN  [wave10_RevGen3_08_Cyras] [0x21] move REJECTED seq=17; server says (635,2168,0) facing=5
[17:35:19.748] WARN  [wave10_RevGen3_08_Cyras] [bot] 0x20 resync; aborting path
[17:35:31.780] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (647,2167) is not walkable; skipping A* and stopping
[17:35:33.022] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (647,2167) is not walkable; skipping A* and stopping
[17:35:34.294] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (647,2167) is not walkable; skipping A* and stopping
[17:35:37.066] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (647,2167) is not walkable; skipping A* and stopping
[17:35:38.389] WARN  [wave10_RevGen3_08_Cyras] [bot] goal (647,2167) is not walkable; skipping A* and stopping
