start: Illyria is a mage and lives in Nujel'm -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\local\revolution-client/verdata.mul' applied (685 patch block(s))
[17:29:56.969] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:33:31.953] WARN  [wave10_RevGen3_24_Illyr] [bot] start (1471,1609,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 49 item(s), 6 mobile(s))
[17:33:34.989] WARN  [wave10_RevGen3_24_Illyr] [bot] no path to (1475,1611) avoiding 0 block(s); stopping (search 1739929.6us)
[17:33:34.990] WARN  [wave10_RevGen3_24_Illyr] [bot] start (1471,1609,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 49 item(s), 6 mobile(s))
[17:33:50.110] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:34:02.225] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:34:14.305] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:34:26.408] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:34:38.498] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:34:50.604] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:35:02.665] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:35:14.786] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:35:26.873] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
[17:35:38.941] WARN  [wave10_RevGen3_24_Illyr] [ACTION_RESULT] cast_spell timeout (no server confirmation)
