start: Amara is a tailor and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:19:51.329] WARN  [mk3_Amara] [bot] 0x20 resync; aborting path
[00:21:23.522] WARN  [mk3_Amara] [bot] no path to (1422,1654) avoiding 0 block(s); stopping (search 587.8us)
[00:21:23.522] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:23.537] WARN  [mk3_Amara] [travel] route exhausted at (1450,1616,20); trying to reach (1448,1608,20) to get somewhere routable (escape 1/3)
[00:21:23.598] WARN  [mk3_Amara] [bot] no path to (1448,1608) avoiding 0 block(s); stopping (search 372.5us)
[00:21:23.598] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:23.661] WARN  [mk3_Amara] [travel] route exhausted at (1450,1616,20); trying to reach (1464,1608,20) to get somewhere routable (escape 2/3)
[00:21:23.722] WARN  [mk3_Amara] [bot] no path to (1464,1608) avoiding 0 block(s); stopping (search 541.1us)
[00:21:23.722] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:23.738] WARN  [mk3_Amara] [travel] route exhausted at (1450,1616,20); trying to reach (1464,1624,20) to get somewhere routable (escape 3/3)
[00:21:23.801] WARN  [mk3_Amara] [bot] no path to (1464,1624) avoiding 0 block(s); stopping (search 522.1us)
[00:21:23.801] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:26.597] WARN  [mk3_Amara] [bot] no path to (1416,1656) avoiding 0 block(s); stopping (search 511.2us)
[00:21:26.597] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:27.963] WARN  [mk3_Amara] [bot] no path to (1416,1656) avoiding 0 block(s); stopping (search 567.3us)
[00:21:27.963] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:29.315] WARN  [mk3_Amara] [bot] no path to (1416,1656) avoiding 0 block(s); stopping (search 512.4us)
[00:21:29.315] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:32.190] WARN  [mk3_Amara] [bot] no path to (1464,1656) avoiding 0 block(s); stopping (search 573.0us)
[00:21:32.190] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:33.536] WARN  [mk3_Amara] [bot] no path to (1464,1656) avoiding 0 block(s); stopping (search 553.5us)
[00:21:33.536] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 11 mobile(s))
[00:21:34.890] WARN  [mk3_Amara] [bot] no path to (1464,1656) avoiding 0 block(s); stopping (search 524.3us)
[00:21:34.890] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:39.303] WARN  [mk3_Amara] [bot] no path to (1448,1656) avoiding 0 block(s); stopping (search 528.9us)
[00:21:39.303] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:40.659] WARN  [mk3_Amara] [bot] no path to (1448,1656) avoiding 0 block(s); stopping (search 318.2us)
[00:21:40.659] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:42.013] WARN  [mk3_Amara] [bot] no path to (1448,1656) avoiding 0 block(s); stopping (search 324.0us)
[00:21:42.013] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:47.887] WARN  [mk3_Amara] [bot] no path to (1480,1624) avoiding 0 block(s); stopping (search 476.6us)
[00:21:47.887] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:49.152] WARN  [mk3_Amara] [bot] no path to (1480,1624) avoiding 0 block(s); stopping (search 516.6us)
[00:21:49.152] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:50.489] WARN  [mk3_Amara] [bot] no path to (1480,1624) avoiding 0 block(s); stopping (search 626.4us)
[00:21:50.489] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:50.550] WARN  [mk3_Amara] [travel] route exhausted at (1450,1616,20); trying to reach (1448,1608,20) to get somewhere routable (escape 1/3)
[00:21:50.611] WARN  [mk3_Amara] [bot] no path to (1448,1608) avoiding 0 block(s); stopping (search 452.2us)
[00:21:50.611] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:50.613] WARN  [mk3_Amara] [travel] route exhausted at (1450,1616,20); trying to reach (1464,1608,20) to get somewhere routable (escape 2/3)
[00:21:50.673] WARN  [mk3_Amara] [bot] no path to (1464,1608) avoiding 0 block(s); stopping (search 494.2us)
[00:21:50.673] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:50.734] WARN  [mk3_Amara] [travel] route exhausted at (1450,1616,20); trying to reach (1464,1624,20) to get somewhere routable (escape 3/3)
[00:21:50.795] WARN  [mk3_Amara] [bot] no path to (1464,1624) avoiding 0 block(s); stopping (search 527.4us)
[00:21:50.795] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:53.419] WARN  [mk3_Amara] [bot] no path to (1416,1656) avoiding 0 block(s); stopping (search 622.5us)
[00:21:53.419] WARN  [mk3_Amara] [bot] start (1450,1616,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 169 item(s), 13 mobile(s))
[00:21:58.243] WARN  [mk3_Amara] [0x21] move REJECTED seq=16; server says (1458,1612,20) facing=1
[00:21:58.245] WARN  [mk3_Amara] [bot] 0x20 resync; aborting path
[00:23:04.422] WARN  [mk3_Amara] [bot] watchdog: oldest move unacked 5s; aborting path
[00:23:04.594] WARN  [mk3_Amara] [0x22] unsolicited ack seq=58
[00:24:13.801] WARN  [mk3_Amara] [bot] THREAT (HP 24 -> 19): halting travel (TODO engage/flee/recall)
[00:24:25.461] WARN  [mk3_Amara] [bot] THREAT (HP 20 -> 15): halting travel (TODO engage/flee/recall)
[00:24:25.461] WARN  [mk3_Amara] [0x22] unsolicited ack seq=44
[00:24:46.411] WARN  [mk3_Amara] [0x21] move REJECTED seq=44; server says (3623,2139,86) facing=1
[00:24:47.180] WARN  [mk3_Amara] [0x21] move REJECTED seq=0; server says (3623,2139,86) facing=1
[00:24:50.174] WARN  [mk3_Amara] [0x21] move REJECTED seq=3; server says (3624,2137,84) facing=1
