start: Dorvar is a fisher and lives in Skara Brae -> starting city index 7
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:32:10.093] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:33:18.725] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 476651.4us)
[00:33:18.726] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 10 mobile(s))
[00:33:25.108] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 469114.7us)
[00:33:25.108] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 10 mobile(s))
[00:33:26.877] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 458632.5us)
[00:33:26.877] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 10 mobile(s))
[00:33:28.645] WARN  [g_Dorvar] [bot] no path to (584,2144) avoiding 0 block(s); stopping (search 472987.6us)
[00:33:28.645] WARN  [g_Dorvar] [bot] start (568,2136,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 280 item(s), 10 mobile(s))
[00:33:28.707] WARN  [g_Dorvar] [travel] route exhausted at (568,2136,0); trying to reach (552,2120,0) to get somewhere routable (escape 1/3)
[00:33:57.493] WARN  [g_Dorvar] [ACTION_RESULT] move_item server_failure (15ms) item 0x40019D24 landed in 0x40019D35, not the destination 0x40019D48
[00:33:57.878] WARN  [g_Dorvar] [0x21] move REJECTED seq=87; server says (585,2144,0) facing=0
[00:33:57.893] WARN  [g_Dorvar] [bot] 0x20 resync; aborting path
[00:34:26.777] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:28.161] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:29.517] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:32.333] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:33.689] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:35.001] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:39.348] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:40.628] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:41.948] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:47.834] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:49.097] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:50.419] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:34:50.482] WARN  [g_Dorvar] [travel] route exhausted at (616,2184,0); trying to reach (600,2168,0) to get somewhere routable (escape 1/3)
[00:34:59.293] WARN  [g_Dorvar] [travel] route exhausted at (600,2168,0); trying to reach (584,2152,0) to get somewhere routable (escape 2/3)
[00:35:07.910] WARN  [g_Dorvar] [travel] route exhausted at (584,2152,0); trying to reach (568,2136,0) to get somewhere routable (escape 3/3)
[00:35:49.571] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:35:50.952] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:35:52.305] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:35:55.175] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:35:56.486] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:35:57.861] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:02.192] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:03.485] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:04.765] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:10.673] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:11.964] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:13.287] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:13.318] WARN  [g_Dorvar] [travel] route exhausted at (616,2200,0); trying to reach (600,2184,0) to get somewhere routable (escape 1/3)
[00:36:27.108] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:28.462] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:29.803] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:32.663] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:33.986] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:35.257] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:39.641] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:41.010] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:42.377] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:48.242] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:49.552] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:50.818] WARN  [g_Dorvar] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[00:36:50.881] WARN  [g_Dorvar] [travel] route exhausted at (600,2184,0); trying to reach (600,2200,0) to get somewhere routable (escape 2/3)
[00:36:51.498] WARN  [g_Dorvar] [bot] no path to (600,2200) avoiding 0 block(s); stopping (search 565484.9us)
[00:36:51.498] WARN  [g_Dorvar] [bot] start (600,2184,0) exits: open=2 terrain=6 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 352 item(s), 9 mobile(s))
[00:36:51.560] WARN  [g_Dorvar] [travel] route exhausted at (600,2184,0); trying to reach (600,2168,0) to get somewhere routable (escape 3/3)
[00:37:18.168] WARN  [g_Dorvar] [bot] no path to (606,2182) avoiding 0 block(s); stopping (search 685489.9us)
[00:37:18.168] WARN  [g_Dorvar] [bot] start (600,2168,0) exits: open=6 terrain=1 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 352 item(s), 15 mobile(s))
[00:37:19.983] WARN  [g_Dorvar] [bot] no path to (606,2182) avoiding 0 block(s); stopping (search 519673.6us)
[00:37:19.983] WARN  [g_Dorvar] [bot] start (600,2168,0) exits: open=6 terrain=1 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 352 item(s), 15 mobile(s))
[00:37:39.590] WARN  [g_Dorvar] [ACTION_RESULT] use_object timeout (no server confirmation)
[00:37:43.621] WARN  [g_Dorvar] [ACTION_RESULT] use_object timeout (no server confirmation)
[00:37:47.711] WARN  [g_Dorvar] [ACTION_RESULT] use_object timeout (no server confirmation)
[00:37:51.807] WARN  [g_Dorvar] [ACTION_RESULT] use_object timeout (no server confirmation)
[00:37:55.874] WARN  [g_Dorvar] [ACTION_RESULT] use_object timeout (no server confirmation)
[00:39:12.705] WARN  [g_Dorvar] [0x21] move REJECTED seq=44; server says (3623,2139,86) facing=1
[00:39:13.430] WARN  [g_Dorvar] [0x21] move REJECTED seq=0; server says (3623,2139,86) facing=1
[00:39:32.921] WARN  [g_Dorvar] [bot] 0x20 resync; aborting path
[00:39:44.122] WARN  [g_Dorvar] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:39:54.247] WARN  [g_Dorvar] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:40:04.361] WARN  [g_Dorvar] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[00:40:42.022] WARN  [g_Dorvar] [bot] no path to (3666,2256) avoiding 0 block(s); stopping (search 891615.4us)
[00:40:42.022] WARN  [g_Dorvar] [bot] start (3667,2257,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 425 item(s), 4 mobile(s))
[00:40:54.256] WARN  [g_Dorvar] [action] use_item_on superseded by equip
[00:40:54.256] WARN  [g_Dorvar] [ACTION_RESULT] use_item_on invalid_state (2021ms) superseded
[00:41:45.972] WARN  [g_Dorvar] [0x21] move REJECTED seq=78; server says (3599,2169,34) facing=5
[00:41:52.903] WARN  [g_Dorvar] [0x21] move REJECTED seq=11; server says (3593,2161,48) facing=7
[00:41:53.670] WARN  [g_Dorvar] [0x21] move REJECTED seq=0; server says (3593,2161,48) facing=7
[00:41:54.333] WARN  [g_Dorvar] [0x21] move REJECTED seq=1; server says (3593,2161,48) facing=0
[00:41:55.069] WARN  [g_Dorvar] [0x21] move REJECTED seq=0; server says (3593,2161,48) facing=0
[00:44:08.841] WARN  [g_Dorvar] [travel] route exhausted at (3564,2140,34); trying to reach (3576,2136,41) to get somewhere routable (escape 1/3)
[00:46:21.888] WARN  [g_Dorvar] [travel] route exhausted at (3564,2140,34); trying to reach (3560,2152,27) to get somewhere routable (escape 2/3)
[00:48:34.459] WARN  [g_Dorvar] [travel] route exhausted at (3564,2140,34); trying to reach (3576,2152,46) to get somewhere routable (escape 3/3)
[00:52:51.627] WARN  [g_Dorvar] [travel] route exhausted at (3564,2140,34); trying to reach (3576,2136,41) to get somewhere routable (escape 1/3)
[00:55:03.291] WARN  [g_Dorvar] [travel] route exhausted at (3564,2140,34); trying to reach (3560,2152,27) to get somewhere routable (escape 2/3)
[00:57:15.839] WARN  [g_Dorvar] [travel] route exhausted at (3564,2140,34); trying to reach (3576,2152,46) to get somewhere routable (escape 3/3)
[01:01:37.996] WARN  [g_Dorvar] [travel] route exhausted at (3564,2140,34); trying to reach (3576,2136,41) to get somewhere routable (escape 1/3)
[01:03:50.945] WARN  [g_Dorvar] [travel] route exhausted at (3564,2140,34); trying to reach (3560,2152,27) to get somewhere routable (escape 2/3)
