start: Aurelius is a mage and lives in Moonglow -> starting city index 3
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[15:26:36.996] WARN  [g_Aurelius] [0x21] move REJECTED seq=92; server says (4414,1208,0) facing=5
[15:57:21.137] WARN  [g_Aurelius] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 2569963.2us)
[15:57:21.137] WARN  [g_Aurelius] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1722 item(s), 1 mobile(s))
[15:57:28.023] WARN  [g_Aurelius] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 2560714.0us)
[15:57:28.023] WARN  [g_Aurelius] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1722 item(s), 0 mobile(s))
[15:57:31.795] WARN  [g_Aurelius] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 2424643.8us)
[15:57:31.795] WARN  [g_Aurelius] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1722 item(s), 1 mobile(s))
[15:57:40.324] WARN  [g_Aurelius] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 2634825.1us)
[15:57:40.324] WARN  [g_Aurelius] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1722 item(s), 1 mobile(s))
[15:57:44.214] WARN  [g_Aurelius] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 2568155.1us)
[15:57:44.214] WARN  [g_Aurelius] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1722 item(s), 1 mobile(s))
[16:11:11.474] WARN  [g_Aurelius] [ACTION_RESULT] use_object timeout (no server confirmation)
[16:22:59.241] WARN  [g_Aurelius] [0x21] move REJECTED seq=17; server says (3619,2479,0) facing=7
[16:22:59.257] WARN  [g_Aurelius] [bot] 0x20 resync; aborting path
