start: Halain is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:19:30.663] WARN  [mk3_Halain] [bot] 0x20 resync; aborting path
[00:21:20.110] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:20.172] WARN  [mk3_Halain] [travel] route exhausted at (1449,1616,20); trying to reach (1464,1624,20) to get somewhere routable (escape 3/3)
[00:21:20.174] WARN  [mk3_Halain] [bot] no path to (1464,1624) avoiding 0 block(s); stopping (search 471.8us)
[00:21:20.174] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:22.968] WARN  [mk3_Halain] [bot] no path to (1416,1656) avoiding 0 block(s); stopping (search 611.3us)
[00:21:22.968] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:24.321] WARN  [mk3_Halain] [bot] no path to (1416,1656) avoiding 0 block(s); stopping (search 549.0us)
[00:21:24.321] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 12 mobile(s))
[00:21:25.661] WARN  [mk3_Halain] [bot] no path to (1416,1656) avoiding 0 block(s); stopping (search 467.2us)
[00:21:25.661] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 12 mobile(s))
[00:21:28.444] WARN  [mk3_Halain] [bot] no path to (1464,1656) avoiding 0 block(s); stopping (search 585.6us)
[00:21:28.444] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 12 mobile(s))
[00:21:29.791] WARN  [mk3_Halain] [bot] no path to (1464,1656) avoiding 0 block(s); stopping (search 504.3us)
[00:21:29.791] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 12 mobile(s))
[00:21:31.147] WARN  [mk3_Halain] [bot] no path to (1464,1656) avoiding 0 block(s); stopping (search 518.4us)
[00:21:31.147] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 12 mobile(s))
[00:21:35.504] WARN  [mk3_Halain] [bot] no path to (1448,1656) avoiding 0 block(s); stopping (search 544.3us)
[00:21:35.504] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 12 mobile(s))
[00:21:36.885] WARN  [mk3_Halain] [bot] no path to (1448,1656) avoiding 0 block(s); stopping (search 540.2us)
[00:21:36.885] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 12 mobile(s))
[00:21:38.241] WARN  [mk3_Halain] [bot] no path to (1448,1656) avoiding 0 block(s); stopping (search 505.2us)
[00:21:38.241] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 12 mobile(s))
[00:21:44.183] WARN  [mk3_Halain] [bot] no path to (1480,1624) avoiding 0 block(s); stopping (search 502.0us)
[00:21:44.183] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:45.520] WARN  [mk3_Halain] [bot] no path to (1480,1624) avoiding 0 block(s); stopping (search 440.5us)
[00:21:45.520] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:46.885] WARN  [mk3_Halain] [bot] no path to (1480,1624) avoiding 0 block(s); stopping (search 503.6us)
[00:21:46.886] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:46.947] WARN  [mk3_Halain] [travel] route exhausted at (1449,1616,20); trying to reach (1448,1608,20) to get somewhere routable (escape 1/3)
[00:21:47.011] WARN  [mk3_Halain] [bot] no path to (1448,1608) avoiding 0 block(s); stopping (search 482.4us)
[00:21:47.011] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:47.012] WARN  [mk3_Halain] [travel] route exhausted at (1449,1616,20); trying to reach (1464,1608,20) to get somewhere routable (escape 2/3)
[00:21:47.072] WARN  [mk3_Halain] [bot] no path to (1464,1608) avoiding 0 block(s); stopping (search 573.9us)
[00:21:47.072] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:47.134] WARN  [mk3_Halain] [travel] route exhausted at (1449,1616,20); trying to reach (1464,1624,20) to get somewhere routable (escape 3/3)
[00:21:47.196] WARN  [mk3_Halain] [bot] no path to (1464,1624) avoiding 0 block(s); stopping (search 587.6us)
[00:21:47.196] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:21:49.863] WARN  [mk3_Halain] [bot] no path to (1416,1656) avoiding 0 block(s); stopping (search 554.0us)
[00:21:49.863] WARN  [mk3_Halain] [bot] start (1449,1616,20) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 168 item(s), 11 mobile(s))
[00:23:04.422] WARN  [mk3_Halain] [bot] watchdog: oldest move unacked 5s; aborting path
[00:23:04.594] WARN  [mk3_Halain] [0x22] unsolicited ack seq=88
