start: Serena is a merchant_tinker and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:16.474] WARN  [mk3_Serena] [bot] 0x20 resync; aborting path
[00:22:36.907] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1792108.7us)
[00:22:36.907] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=4 terrain=2 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 7 mobile(s))
[00:22:44.073] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1349144.4us)
[00:22:44.073] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:22:47.020] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1639566.7us)
[00:22:47.020] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:22:50.319] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1950916.8us)
[00:22:50.319] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:22:52.382] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2017923.4us)
[00:22:52.383] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:22:55.349] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1635880.5us)
[00:22:55.349] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 5 mobile(s))
[00:23:00.177] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1914084.6us)
[00:23:00.177] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:23:02.857] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1312658.7us)
[00:23:02.857] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:23:09.152] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1922936.9us)
[00:23:09.152] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 6 mobile(s))
[00:23:12.408] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1929125.2us)
[00:23:12.408] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 7 mobile(s))
[00:23:19.789] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1562665.1us)
[00:23:19.789] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 4 mobile(s))
[00:23:22.422] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1343864.0us)
[00:23:22.422] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 4 mobile(s))
[00:23:25.212] WARN  [mk3_Serena] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1515969.7us)
[00:23:25.213] WARN  [mk3_Serena] [bot] start (1455,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 156 item(s), 4 mobile(s))
[00:23:27.341] WARN  [mk3_Serena] [0x21] move REJECTED seq=9; server says (1460,1612,20) facing=3
[00:23:27.357] WARN  [mk3_Serena] [bot] 0x20 resync; aborting path
