start: Vorar is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:19:27.824] WARN  [mk3_Vorar] [bot] 0x20 resync; aborting path
[00:21:49.089] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:50.368] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:51.612] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:54.442] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:55.711] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:21:56.982] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:22:01.283] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:22:02.521] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:22:03.849] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:22:09.675] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:22:10.940] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[00:22:12.232] WARN  [mk3_Vorar] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
