start: Selene is a alchemist and lives in Magincia -> starting city index 5
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:04.926] WARN  [mk3_Selene] [bot] 0x20 resync; aborting path
[00:20:40.416] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 9 mobile(s))
[00:20:44.615] WARN  [mk3_Selene] [bot] no path to (3696,2220) avoiding 0 block(s); stopping (search 1307751.5us)
[00:20:44.615] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 9 mobile(s))
[00:20:47.794] WARN  [mk3_Selene] [bot] no path to (3696,2220) avoiding 0 block(s); stopping (search 1809838.1us)
[00:20:47.794] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 9 mobile(s))
[00:20:53.251] WARN  [mk3_Selene] [bot] no path to (3696,2220) avoiding 0 block(s); stopping (search 1185200.6us)
[00:20:53.251] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 9 mobile(s))
[00:20:56.006] WARN  [mk3_Selene] [bot] no path to (3696,2220) avoiding 0 block(s); stopping (search 1386546.0us)
[00:20:56.006] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 9 mobile(s))
[00:20:58.695] WARN  [mk3_Selene] [bot] no path to (3696,2220) avoiding 0 block(s); stopping (search 1459792.3us)
[00:20:58.695] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 9 mobile(s))
[00:21:01.566] WARN  [mk3_Selene] [bot] no path to (3699,2222) avoiding 0 block(s); stopping (search 1277942.7us)
[00:21:01.566] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 8 mobile(s))
[00:21:04.623] WARN  [mk3_Selene] [bot] no path to (3699,2222) avoiding 0 block(s); stopping (search 1766266.8us)
[00:21:04.623] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 8 mobile(s))
[00:21:07.332] WARN  [mk3_Selene] [bot] no path to (3701,2219) avoiding 0 block(s); stopping (search 1191286.9us)
[00:21:07.332] WARN  [mk3_Selene] [bot] start (3691,2225,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 8 mobile(s))
[00:21:16.474] WARN  [mk3_Selene] [bot] no path to (3704,2219) avoiding 0 block(s); stopping (search 1939529.2us)
[00:21:16.474] WARN  [mk3_Selene] [bot] start (3703,2232,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 10 mobile(s))
[00:21:20.276] WARN  [mk3_Selene] [bot] no path to (3701,2216) avoiding 0 block(s); stopping (search 1516481.8us)
[00:21:20.276] WARN  [mk3_Selene] [bot] start (3707,2232,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 11 mobile(s))
[00:21:23.690] WARN  [mk3_Selene] [bot] no path to (3698,2216) avoiding 0 block(s); stopping (search 1758811.9us)
[00:21:23.690] WARN  [mk3_Selene] [bot] start (3708,2232,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 11 mobile(s))
[00:21:28.470] WARN  [mk3_Selene] [bot] no path to (3698,2219) avoiding 0 block(s); stopping (search 1829382.9us)
[00:21:28.470] WARN  [mk3_Selene] [bot] start (3712,2230,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 12 mobile(s))
[00:21:33.059] WARN  [mk3_Selene] [bot] no path to (3700,2216) avoiding 0 block(s); stopping (search 1682268.2us)
[00:21:33.059] WARN  [mk3_Selene] [bot] start (3712,2223,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 11 mobile(s))
[00:21:35.917] WARN  [mk3_Selene] [bot] no path to (3699,2213) avoiding 0 block(s); stopping (search 1367651.7us)
[00:21:35.917] WARN  [mk3_Selene] [bot] start (3712,2222,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 8 item(s), 11 mobile(s))
[00:21:39.716] WARN  [mk3_Selene] [bot] no path to (3701,2216) avoiding 0 block(s); stopping (search 1444379.3us)
[00:21:39.716] WARN  [mk3_Selene] [bot] start (3709,2220,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 11 mobile(s))
[00:21:45.671] WARN  [mk3_Selene] [bot] no path to (3686,2229) avoiding 0 block(s); stopping (search 924177.4us)
[00:21:45.671] WARN  [mk3_Selene] [bot] start (3701,2216,20) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 10 mobile(s))
[00:21:48.272] WARN  [mk3_Selene] [bot] no path to (3686,2229) avoiding 0 block(s); stopping (search 1261678.3us)
[00:21:48.272] WARN  [mk3_Selene] [bot] start (3701,2216,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 10 mobile(s))
[00:21:51.025] WARN  [mk3_Selene] [bot] no path to (3686,2229) avoiding 0 block(s); stopping (search 1463052.3us)
[00:21:51.025] WARN  [mk3_Selene] [bot] start (3701,2216,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 10 mobile(s))
[00:21:55.267] WARN  [mk3_Selene] [bot] no path to (3686,2229) avoiding 0 block(s); stopping (search 1365760.1us)
[00:21:55.267] WARN  [mk3_Selene] [bot] start (3701,2216,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 10 mobile(s))
[00:22:10.000] WARN  [mk3_Selene] [0x21] move REJECTED seq=57; server says (3687,2229,20) facing=6
[00:22:11.371] WARN  [mk3_Selene] [bot] no path to (3686,2229) avoiding 0 block(s); stopping (search 1359577.2us)
[00:22:11.372] WARN  [mk3_Selene] [bot] start (3687,2229,20) exits: open=5 terrain=1 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 10 mobile(s))
[00:22:12.493] WARN  [mk3_Selene] [bot] no path to (3702,2217) avoiding 0 block(s); stopping (search 1068430.8us)
[00:22:12.493] WARN  [mk3_Selene] [bot] start (3687,2229,20) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 10 mobile(s))
[00:22:15.099] WARN  [mk3_Selene] [bot] no path to (3702,2217) avoiding 0 block(s); stopping (search 1283588.8us)
[00:22:15.099] WARN  [mk3_Selene] [bot] start (3687,2229,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 10 mobile(s))
[00:22:19.895] WARN  [mk3_Selene] [bot] no path to (3699,2217) avoiding 0 block(s); stopping (search 1006923.4us)
[00:22:19.895] WARN  [mk3_Selene] [bot] start (3693,2232,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 10 mobile(s))
[00:22:27.446] WARN  [mk3_Selene] [bot] no path to (3697,2214) avoiding 0 block(s); stopping (search 1054253.3us)
[00:22:27.446] WARN  [mk3_Selene] [bot] start (3712,2230,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 12 mobile(s))
[00:22:33.361] WARN  [mk3_Selene] [bot] no path to (3700,2216) avoiding 0 block(s); stopping (search 1137943.2us)
[00:22:33.361] WARN  [mk3_Selene] [bot] start (3707,2220,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 9 item(s), 11 mobile(s))
