start: Rhea is a tamer and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:48.634] WARN  [mk3_Rhea] [ACTION_RESULT] use_item_on timeout (no server confirmation)
[00:21:48.840] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 12 mobile(s))
[00:21:55.632] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2480449.2us)
[00:21:55.632] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 13 mobile(s))
[00:21:58.922] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2034951.2us)
[00:21:58.922] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 13 mobile(s))
[00:22:06.828] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2051343.2us)
[00:22:06.828] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 9 mobile(s))
[00:22:10.427] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2253943.7us)
[00:22:10.427] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 8 mobile(s))
[00:22:12.849] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2242495.2us)
[00:22:12.849] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 7 mobile(s))
[00:22:16.686] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 2486204.8us)
[00:22:16.686] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 7 mobile(s))
[00:22:21.254] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1801404.6us)
[00:22:21.254] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 6 mobile(s))
[00:22:24.440] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1829989.7us)
[00:22:24.440] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 6 mobile(s))
[00:22:30.235] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1455855.1us)
[00:22:30.235] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 7 mobile(s))
[00:22:33.515] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1919050.2us)
[00:22:33.515] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 7 mobile(s))
[00:22:36.675] WARN  [mk3_Rhea] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1836491.7us)
[00:22:36.675] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 7 mobile(s))
[00:22:40.360] WARN  [mk3_Rhea] [bot] no path to (1450,1612) avoiding 0 block(s); stopping (search 1399103.3us)
[00:22:40.360] WARN  [mk3_Rhea] [bot] start (1456,1614,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 154 item(s), 6 mobile(s))
[00:22:58.726] WARN  [mk3_Rhea] [0x21] move REJECTED seq=18; server says (1458,1612,20) facing=1
[00:22:58.741] WARN  [mk3_Rhea] [bot] 0x20 resync; aborting path
[00:23:04.608] WARN  [mk3_Rhea] [0x21] move REJECTED seq=1; server says (1458,1612,20) facing=1
[00:23:04.609] WARN  [mk3_Rhea] [bot] 0x20 resync; aborting path
