start: Illyria is a mage and lives in Nujel'm -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:26.155] WARN  [mk3_Illyria] [bot] 0x20 resync; aborting path
[00:21:57.012] WARN  [mk3_Illyria] [0x21] move REJECTED seq=13; server says (1488,1579,27) facing=4
[00:21:57.751] WARN  [mk3_Illyria] [0x21] move REJECTED seq=0; server says (1488,1579,27) facing=4
[00:22:06.581] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2377939.9us)
[00:22:06.581] WARN  [mk3_Illyria] [bot] start (1486,1600,14) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 295 item(s), 9 mobile(s))
[00:22:10.289] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2404218.1us)
[00:22:10.289] WARN  [mk3_Illyria] [bot] start (1486,1600,14) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 295 item(s), 9 mobile(s))
[00:22:15.719] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2557641.6us)
[00:22:15.719] WARN  [mk3_Illyria] [bot] start (1486,1600,14) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 295 item(s), 8 mobile(s))
[00:22:19.325] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2286297.8us)
[00:22:19.325] WARN  [mk3_Illyria] [bot] start (1486,1600,14) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 295 item(s), 8 mobile(s))
[00:22:25.736] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2076930.6us)
[00:22:25.736] WARN  [mk3_Illyria] [bot] start (1486,1600,14) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 295 item(s), 8 mobile(s))
[00:22:28.736] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1763621.7us)
[00:22:28.736] WARN  [mk3_Illyria] [bot] start (1486,1600,14) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 295 item(s), 9 mobile(s))
[00:22:31.667] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1620409.2us)
[00:22:31.667] WARN  [mk3_Illyria] [bot] start (1486,1600,14) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 295 item(s), 8 mobile(s))
[00:22:39.116] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1601448.2us)
[00:22:39.116] WARN  [mk3_Illyria] [bot] start (1486,1600,14) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 295 item(s), 7 mobile(s))
[00:22:42.455] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2005656.8us)
[00:22:42.455] WARN  [mk3_Illyria] [bot] start (1486,1600,14) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 295 item(s), 7 mobile(s))
[00:22:42.517] WARN  [mk3_Illyria] [travel] route exhausted at (1486,1600,14); trying to reach (1480,1592,20) to get somewhere routable (escape 1/3)
[00:22:53.336] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2205980.7us)
[00:22:53.336] WARN  [mk3_Illyria] [bot] start (1480,1592,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 297 item(s), 7 mobile(s))
[00:22:56.271] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1664331.8us)
[00:22:56.271] WARN  [mk3_Illyria] [bot] start (1480,1592,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 297 item(s), 6 mobile(s))
[00:23:01.424] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2303453.0us)
[00:23:01.424] WARN  [mk3_Illyria] [bot] start (1480,1592,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 297 item(s), 6 mobile(s))
[00:23:04.360] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1614149.2us)
[00:23:04.360] WARN  [mk3_Illyria] [bot] start (1480,1592,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 297 item(s), 6 mobile(s))
[00:23:10.403] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1699643.5us)
[00:23:10.403] WARN  [mk3_Illyria] [bot] start (1480,1592,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 297 item(s), 6 mobile(s))
[00:23:13.736] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 2002412.7us)
[00:23:13.736] WARN  [mk3_Illyria] [bot] start (1480,1592,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 297 item(s), 6 mobile(s))
[00:23:21.337] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1773504.0us)
[00:23:21.337] WARN  [mk3_Illyria] [bot] start (1480,1592,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 297 item(s), 7 mobile(s))
[00:23:24.583] WARN  [mk3_Illyria] [bot] no path to (1468,1609) avoiding 0 block(s); stopping (search 1904168.4us)
[00:23:24.583] WARN  [mk3_Illyria] [bot] start (1480,1592,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 297 item(s), 6 mobile(s))
[00:23:24.644] WARN  [mk3_Illyria] [travel] route exhausted at (1480,1592,20); trying to reach (1464,1576,29) to get somewhere routable (escape 2/3)
[00:24:27.446] WARN  [mk3_Illyria] [0x21] move REJECTED seq=34; server says (1439,1693,0) facing=7
[00:24:27.461] WARN  [mk3_Illyria] [bot] 0x20 resync; aborting path
[00:24:30.692] WARN  [mk3_Illyria] [bot] no path to (1425,1690) avoiding 0 block(s); stopping (search 1993405.4us)
[00:24:30.693] WARN  [mk3_Illyria] [bot] start (1439,1693,0) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 563 item(s), 8 mobile(s))
[00:24:34.046] WARN  [mk3_Illyria] [bot] no path to (1425,1690) avoiding 0 block(s); stopping (search 2007660.7us)
[00:24:34.047] WARN  [mk3_Illyria] [bot] start (1439,1693,0) exits: open=6 terrain=1 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 563 item(s), 9 mobile(s))
[00:24:38.355] WARN  [mk3_Illyria] [bot] no path to (1425,1690) avoiding 0 block(s); stopping (search 1446879.3us)
[00:24:38.356] WARN  [mk3_Illyria] [bot] start (1439,1693,0) exits: open=5 terrain=1 mobile=0 dynamic=0 door=2 blacklist=0 (overlay saw 563 item(s), 9 mobile(s))
[00:24:41.545] WARN  [mk3_Illyria] [bot] no path to (1425,1690) avoiding 0 block(s); stopping (search 1879938.5us)
[00:24:41.545] WARN  [mk3_Illyria] [bot] start (1439,1693,0) exits: open=5 terrain=1 mobile=0 dynamic=0 door=2 blacklist=0 (overlay saw 563 item(s), 9 mobile(s))
[00:24:44.675] WARN  [mk3_Illyria] [bot] no path to (1425,1690) avoiding 0 block(s); stopping (search 1814804.2us)
[00:24:44.675] WARN  [mk3_Illyria] [bot] start (1439,1693,0) exits: open=5 terrain=1 mobile=0 dynamic=0 door=2 blacklist=0 (overlay saw 563 item(s), 9 mobile(s))
[00:24:50.635] WARN  [mk3_Illyria] [bot] no path to (1425,1690) avoiding 0 block(s); stopping (search 1601276.1us)
[00:24:50.635] WARN  [mk3_Illyria] [bot] start (1439,1693,0) exits: open=5 terrain=1 mobile=0 dynamic=0 door=2 blacklist=0 (overlay saw 563 item(s), 8 mobile(s))
[00:24:53.398] WARN  [mk3_Illyria] [bot] no path to (1425,1690) avoiding 0 block(s); stopping (search 1480637.3us)
[00:24:53.398] WARN  [mk3_Illyria] [bot] start (1439,1693,0) exits: open=5 terrain=1 mobile=0 dynamic=0 door=2 blacklist=0 (overlay saw 563 item(s), 8 mobile(s))
[00:25:00.813] WARN  [mk3_Illyria] [bot] no path to (1425,1690) avoiding 0 block(s); stopping (search 1573228.0us)
[00:25:00.813] WARN  [mk3_Illyria] [bot] start (1439,1693,0) exits: open=5 terrain=1 mobile=0 dynamic=0 door=2 blacklist=0 (overlay saw 563 item(s), 8 mobile(s))
[00:25:03.602] WARN  [mk3_Illyria] [bot] no path to (1425,1690) avoiding 0 block(s); stopping (search 1447347.5us)
[00:25:03.602] WARN  [mk3_Illyria] [bot] start (1439,1693,0) exits: open=5 terrain=1 mobile=0 dynamic=0 door=2 blacklist=0 (overlay saw 563 item(s), 8 mobile(s))
[00:25:03.663] WARN  [mk3_Illyria] [travel] route exhausted at (1439,1693,0); trying to reach (1448,1688,0) to get somewhere routable (escape 1/3)
[00:25:13.683] WARN  [mk3_Illyria] [0x21] move REJECTED seq=24; server says (1430,1691,0) facing=6
