start: Lyra is a scribe and lives in Moonglow -> starting city index 3
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:19.819] WARN  [mk3_Lyra] [bot] 0x20 resync; aborting path
[00:21:16.581] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:16.642] WARN  [mk3_Lyra] [travel] route exhausted at (4390,1084,0); trying to reach (4392,1096,0) to get somewhere routable (escape 1/3)
[00:21:16.704] WARN  [mk3_Lyra] [bot] no path to (4392,1096) avoiding 0 block(s); stopping (search 1956.1us)
[00:21:16.704] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:16.736] WARN  [mk3_Lyra] [travel] route exhausted at (4390,1084,0); trying to reach (4376,1096,0) to get somewhere routable (escape 2/3)
[00:21:16.797] WARN  [mk3_Lyra] [bot] no path to (4376,1096) avoiding 0 block(s); stopping (search 1574.9us)
[00:21:16.797] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:16.859] WARN  [mk3_Lyra] [travel] route exhausted at (4390,1084,0); trying to reach (4376,1080,0) to get somewhere routable (escape 3/3)
[00:21:16.921] WARN  [mk3_Lyra] [bot] no path to (4376,1080) avoiding 0 block(s); stopping (search 1798.2us)
[00:21:16.921] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:17.106] WARN  [mk3_Lyra] [ACTION_RESULT] cast_spell server_failure (0ms) The spell is not in your spellbook.
[00:21:23.306] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1679.6us)
[00:21:23.306] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:24.659] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1576.8us)
[00:21:24.659] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:25.998] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1601.0us)
[00:21:25.998] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:28.884] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1332.3us)
[00:21:28.884] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:30.159] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1381.9us)
[00:21:30.159] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:31.497] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1801.4us)
[00:21:31.497] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:35.869] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1644.8us)
[00:21:35.870] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:37.207] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1474.3us)
[00:21:37.207] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:38.515] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1760.8us)
[00:21:38.516] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:44.365] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1681.0us)
[00:21:44.365] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:45.732] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 832.2us)
[00:21:45.732] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:47.086] WARN  [mk3_Lyra] [bot] no path to (4392,1068) avoiding 0 block(s); stopping (search 1532.8us)
[00:21:47.086] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:47.148] WARN  [mk3_Lyra] [travel] route exhausted at (4390,1084,0); trying to reach (4392,1096,0) to get somewhere routable (escape 1/3)
[00:21:47.209] WARN  [mk3_Lyra] [bot] no path to (4392,1096) avoiding 0 block(s); stopping (search 1429.4us)
[00:21:47.209] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:47.224] WARN  [mk3_Lyra] [travel] route exhausted at (4390,1084,0); trying to reach (4376,1096,0) to get somewhere routable (escape 2/3)
[00:21:47.286] WARN  [mk3_Lyra] [bot] no path to (4376,1096) avoiding 0 block(s); stopping (search 1785.9us)
[00:21:47.286] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:47.347] WARN  [mk3_Lyra] [travel] route exhausted at (4390,1084,0); trying to reach (4376,1080,0) to get somewhere routable (escape 3/3)
[00:21:47.408] WARN  [mk3_Lyra] [bot] no path to (4376,1080) avoiding 0 block(s); stopping (search 1736.8us)
[00:21:47.408] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:50.732] WARN  [mk3_Lyra] [bot] no path to (4392,1070) avoiding 0 block(s); stopping (search 1618.4us)
[00:21:50.732] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:52.091] WARN  [mk3_Lyra] [bot] no path to (4392,1070) avoiding 0 block(s); stopping (search 1413.0us)
[00:21:52.091] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:53.463] WARN  [mk3_Lyra] [bot] no path to (4392,1070) avoiding 0 block(s); stopping (search 625.6us)
[00:21:53.463] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:56.397] WARN  [mk3_Lyra] [bot] no path to (4392,1070) avoiding 0 block(s); stopping (search 963.4us)
[00:21:56.397] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:21:57.688] WARN  [mk3_Lyra] [bot] no path to (4392,1070) avoiding 0 block(s); stopping (search 1628.4us)
[00:21:57.688] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=5 terrain=0 mobile=3 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:22:00.318] WARN  [mk3_Lyra] [bot] no path to (4389,1070) avoiding 0 block(s); stopping (search 1679758.5us)
[00:22:00.318] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:22:03.600] WARN  [mk3_Lyra] [bot] no path to (4389,1070) avoiding 0 block(s); stopping (search 1927363.0us)
[00:22:03.600] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=6 terrain=0 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:22:06.488] WARN  [mk3_Lyra] [bot] no path to (4389,1070) avoiding 0 block(s); stopping (search 1138.6us)
[00:22:06.488] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:22:07.852] WARN  [mk3_Lyra] [bot] no path to (4389,1070) avoiding 0 block(s); stopping (search 1335.9us)
[00:22:07.852] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:22:11.356] WARN  [mk3_Lyra] [bot] no path to (4389,1070) avoiding 0 block(s); stopping (search 2204674.6us)
[00:22:11.356] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 12 mobile(s))
[00:22:17.550] WARN  [mk3_Lyra] [bot] no path to (4389,1070) avoiding 0 block(s); stopping (search 1944103.0us)
[00:22:17.550] WARN  [mk3_Lyra] [bot] start (4390,1084,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 176 item(s), 10 mobile(s))
[00:22:27.167] WARN  [mk3_Lyra] [bot] no path to (4389,1067) avoiding 0 block(s); stopping (search 1850181.5us)
[00:22:27.167] WARN  [mk3_Lyra] [bot] start (4400,1081,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 184 item(s), 13 mobile(s))
[00:22:34.391] WARN  [mk3_Lyra] [bot] no path to (4391,1070) avoiding 0 block(s); stopping (search 1700086.6us)
[00:22:34.391] WARN  [mk3_Lyra] [bot] start (4391,1072,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 221 item(s), 8 mobile(s))
[00:23:04.546] WARN  [mk3_Lyra] [bot] watchdog: oldest move unacked 5s; aborting path
[00:23:04.594] WARN  [mk3_Lyra] [0x22] unsolicited ack seq=27
[00:23:28.651] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1213880.7us)
[00:23:28.651] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 10 mobile(s))
[00:23:31.201] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1237148.5us)
[00:23:31.201] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 10 mobile(s))
[00:23:33.779] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1288947.4us)
[00:23:33.779] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 11 mobile(s))
[00:23:37.865] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1240093.9us)
[00:23:37.865] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 9 mobile(s))
[00:23:40.396] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1226080.4us)
[00:23:40.396] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 11 mobile(s))
[00:23:42.920] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1214106.8us)
[00:23:42.920] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 11 mobile(s))
[00:23:48.489] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1201796.3us)
[00:23:48.490] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 11 mobile(s))
[00:23:50.995] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1168921.3us)
[00:23:50.995] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 10 mobile(s))
[00:23:58.177] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1276185.3us)
[00:23:58.177] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 10 mobile(s))
[00:24:00.713] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1196762.0us)
[00:24:00.714] WARN  [mk3_Lyra] [bot] start (4456,1160,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 268 item(s), 12 mobile(s))
[00:24:00.776] WARN  [mk3_Lyra] [travel] route exhausted at (4456,1160,0); trying to reach (4440,1144,0) to get somewhere routable (escape 1/3)
[00:24:10.041] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1204521.2us)
[00:24:10.041] WARN  [mk3_Lyra] [bot] start (4440,1144,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 269 item(s), 6 mobile(s))
[00:24:12.547] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1199435.4us)
[00:24:12.547] WARN  [mk3_Lyra] [bot] start (4440,1144,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 269 item(s), 6 mobile(s))
[00:24:15.166] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1273214.5us)
[00:24:15.166] WARN  [mk3_Lyra] [bot] start (4440,1144,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 269 item(s), 6 mobile(s))
[00:24:19.340] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1302043.3us)
[00:24:19.340] WARN  [mk3_Lyra] [bot] start (4440,1144,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 269 item(s), 7 mobile(s))
[00:24:21.941] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1260350.7us)
[00:24:21.941] WARN  [mk3_Lyra] [bot] start (4440,1144,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 269 item(s), 6 mobile(s))
[00:24:24.536] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1250533.6us)
[00:24:24.536] WARN  [mk3_Lyra] [bot] start (4440,1144,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 269 item(s), 7 mobile(s))
[00:24:30.600] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1733756.8us)
[00:24:30.600] WARN  [mk3_Lyra] [bot] start (4440,1144,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 269 item(s), 6 mobile(s))
[00:24:33.556] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1626101.9us)
[00:24:33.556] WARN  [mk3_Lyra] [bot] start (4440,1144,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 269 item(s), 7 mobile(s))
[00:24:40.963] WARN  [mk3_Lyra] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1596889.9us)
[00:24:40.963] WARN  [mk3_Lyra] [bot] start (4440,1144,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 269 item(s), 6 mobile(s))
