start: Ithion is a fisher and lives in Skara Brae -> starting city index 7
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[00:20:01.703] WARN  [mk3_Ithion] [bot] no path to (617,2221) avoiding 0 block(s); stopping (search 494006.7us)
[00:20:49.896] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:20:51.979] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 798674.6us)
[00:20:51.979] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:20:55.762] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 931371.9us)
[00:20:55.762] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:20:57.960] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 853845.8us)
[00:20:57.960] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:21:00.068] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 746155.8us)
[00:21:00.068] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:21:05.405] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 937512.0us)
[00:21:05.405] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:21:07.639] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 939852.3us)
[00:21:07.639] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:21:09.925] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 953598.2us)
[00:21:09.925] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 103 item(s), 10 mobile(s))
[00:21:16.952] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 1150966.8us)
[00:21:16.952] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 105 item(s), 10 mobile(s))
[00:21:19.295] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 1057635.5us)
[00:21:19.295] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 105 item(s), 10 mobile(s))
[00:21:21.535] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 866221.7us)
[00:21:21.535] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 10 mobile(s))
[00:21:22.829] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 1124329.4us)
[00:21:22.829] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 10 mobile(s))
[00:21:24.920] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 759559.3us)
[00:21:24.920] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 10 mobile(s))
[00:21:27.270] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 998267.8us)
[00:21:27.270] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:21:30.991] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 893471.3us)
[00:21:30.991] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:21:33.321] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 980063.4us)
[00:21:33.321] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 9 mobile(s))
[00:21:35.534] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 903965.4us)
[00:21:35.534] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 9 mobile(s))
[00:21:40.612] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 700409.5us)
[00:21:40.612] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 9 mobile(s))
[00:21:42.950] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 1046783.0us)
[00:21:42.950] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 9 mobile(s))
[00:21:45.135] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 863384.3us)
[00:21:45.135] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 9 mobile(s))
[00:21:51.749] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 725833.3us)
[00:21:51.749] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 9 mobile(s))
[00:21:54.006] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 919938.0us)
[00:21:54.006] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 9 mobile(s))
[00:21:55.970] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 624318.8us)
[00:21:55.970] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 9 mobile(s))
[00:21:56.154] WARN  [mk3_Ithion] [ACTION_RESULT] vendor_buy rejected (1ms) You can't reach the Vendor
[00:22:09.215] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 813487.0us)
[00:22:09.215] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:11.448] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 891465.7us)
[00:22:11.448] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:13.420] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 660188.5us)
[00:22:13.420] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:17.022] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 762274.6us)
[00:22:17.022] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:19.063] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 776319.6us)
[00:22:19.063] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:21.008] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 638333.4us)
[00:22:21.008] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:26.075] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 737636.5us)
[00:22:26.075] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:27.983] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 581576.1us)
[00:22:27.983] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:29.908] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 584611.3us)
[00:22:29.908] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:36.492] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 697990.2us)
[00:22:36.492] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 7 mobile(s))
[00:22:38.296] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 573275.1us)
[00:22:38.296] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:40.162] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 588171.4us)
[00:22:40.162] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:40.900] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 548491.3us)
[00:22:40.900] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:42.669] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 519321.6us)
[00:22:42.669] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 7 mobile(s))
[00:22:44.474] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 534343.5us)
[00:22:44.474] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 7 mobile(s))
[00:22:47.808] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 449012.6us)
[00:22:47.808] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 8 mobile(s))
[00:22:49.872] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 707220.4us)
[00:22:49.872] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 7 mobile(s))
[00:22:51.951] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 767843.5us)
[00:22:51.951] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 6 mobile(s))
[00:22:56.797] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 535693.1us)
[00:22:56.797] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 6 mobile(s))
[00:22:58.648] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 512276.3us)
[00:22:58.648] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 6 mobile(s))
[00:23:00.674] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 731047.3us)
[00:23:00.674] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 6 mobile(s))
[00:23:07.255] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 691738.4us)
[00:23:07.256] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 6 mobile(s))
[00:23:09.244] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 651022.8us)
[00:23:09.244] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 7 mobile(s))
[00:23:11.236] WARN  [mk3_Ithion] [bot] no path to (616,2216) avoiding 0 block(s); stopping (search 640776.9us)
[00:23:11.236] WARN  [mk3_Ithion] [bot] start (620,2220,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 104 item(s), 7 mobile(s))
