start: Corwyn is a miner_smith and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[18:02:50.941] WARN  [v_Corwyn] [0x21] move REJECTED seq=71; server says (2801,953,2) facing=1
[18:04:26.542] WARN  [v_Corwyn] [bot] start (2902,795,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 366 item(s), 7 mobile(s))
[18:04:39.560] WARN  [v_Corwyn] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of Tinkering
[18:05:09.734] WARN  [v_Corwyn] [0x21] move REJECTED seq=105; server says (2855,816,0) facing=2
[18:05:11.096] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 1323669.5us)
[18:05:11.096] WARN  [v_Corwyn] [bot] start (2855,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 366 item(s), 14 mobile(s))
[18:05:13.713] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 1319150.6us)
[18:05:13.713] WARN  [v_Corwyn] [bot] start (2855,816,0) exits: open=1 terrain=6 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 366 item(s), 14 mobile(s))
[18:09:48.574] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[18:09:52.536] WARN  [v_Corwyn] [bot] no path to (2456,454) avoiding 0 block(s); stopping (search 1322746.3us)
[18:09:52.536] WARN  [v_Corwyn] [bot] start (2465,456,15) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 713 item(s), 3 mobile(s))
[18:09:55.149] WARN  [v_Corwyn] [bot] no path to (2456,454) avoiding 0 block(s); stopping (search 1303314.5us)
[18:09:55.149] WARN  [v_Corwyn] [bot] start (2465,456,15) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 713 item(s), 3 mobile(s))
[18:09:57.757] WARN  [v_Corwyn] [bot] no path to (2456,454) avoiding 0 block(s); stopping (search 1324414.2us)
[18:09:57.757] WARN  [v_Corwyn] [bot] start (2465,456,15) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 713 item(s), 3 mobile(s))
[18:10:15.504] WARN  [v_Corwyn] [0x21] move REJECTED seq=6; server says (2458,453,15) facing=3
[18:10:15.505] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[18:14:09.717] WARN  [v_Corwyn] [0x21] move REJECTED seq=171; server says (2829,890,0) facing=7
[18:15:52.873] WARN  [v_Corwyn] [0x21] move REJECTED seq=6; server says (2882,681,0) facing=1
[18:15:52.874] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[18:16:55.927] WARN  [v_Corwyn] [0x21] move REJECTED seq=77; server says (2856,816,0) facing=2
[18:16:55.928] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 85.8us)
[18:16:55.928] WARN  [v_Corwyn] [bot] start (2856,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 14 mobile(s))
[18:16:55.928] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:16:56.445] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2856,816,0) facing=2
[18:16:56.446] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 31.6us)
[18:16:56.446] WARN  [v_Corwyn] [bot] start (2856,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:16:56.446] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:16:56.997] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2856,816,0) facing=2
[18:16:56.997] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 26.1us)
[18:16:56.998] WARN  [v_Corwyn] [bot] start (2856,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:16:56.998] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:16:57.565] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2856,816,0) facing=2
[18:16:57.566] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 49.4us)
[18:16:57.566] WARN  [v_Corwyn] [bot] start (2856,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:16:57.566] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:16:58.099] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2856,816,0) facing=2
[18:16:58.100] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 20.0us)
[18:16:58.100] WARN  [v_Corwyn] [bot] start (2856,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:16:58.100] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:16:59.076] WARN  [v_Corwyn] [0x21] move REJECTED seq=1; server says (2857,816,0) facing=2
[18:16:59.077] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 45.7us)
[18:16:59.077] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:16:59.077] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:16:59.628] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:16:59.628] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 51.8us)
[18:16:59.628] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:16:59.628] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:00.143] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:00.144] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 52.4us)
[18:17:00.144] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:00.144] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:00.681] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:00.681] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 60.5us)
[18:17:00.682] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:00.682] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:01.188] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:01.189] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 33.1us)
[18:17:01.189] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:01.189] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:01.751] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:01.752] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 42.4us)
[18:17:01.752] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:01.752] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:02.288] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:02.289] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 45.8us)
[18:17:02.289] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:02.289] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:02.822] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:02.822] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 34.0us)
[18:17:02.822] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:02.822] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:03.329] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:03.330] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 50.4us)
[18:17:03.330] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:03.330] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:03.896] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:03.898] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 1 block(s); stopping (search 79.1us)
[18:17:03.898] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=1 dynamic=0 door=0 blacklist=1 (overlay saw 970 item(s), 13 mobile(s))
[18:17:03.898] WARN  [v_Corwyn] [bot] enclosed with 1 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:05.981] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 1 block(s); stopping (search 2079094.0us)
[18:17:05.982] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=1 dynamic=0 door=0 blacklist=1 (overlay saw 970 item(s), 13 mobile(s))
[18:17:07.339] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:07.340] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 57.9us)
[18:17:07.340] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:07.340] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:07.890] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:07.890] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 55.4us)
[18:17:07.890] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:07.890] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:08.471] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:08.472] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 121.9us)
[18:17:08.472] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:08.472] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:09.007] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:09.009] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 81.3us)
[18:17:09.009] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:09.009] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:09.559] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:09.560] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 40.3us)
[18:17:09.560] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:09.560] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:10.128] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:10.129] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 97.0us)
[18:17:10.129] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:10.129] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:10.663] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:10.664] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 83.9us)
[18:17:10.664] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:10.664] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:11.199] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:11.200] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 45.9us)
[18:17:11.200] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:11.200] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:11.749] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:11.750] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 47.9us)
[18:17:11.750] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:11.750] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:12.304] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:12.305] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 63.8us)
[18:17:12.305] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:12.305] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:12.851] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:12.852] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 43.6us)
[18:17:12.852] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:12.852] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:13.373] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:13.374] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 97.3us)
[18:17:13.374] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:13.374] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:13.928] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:13.929] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 48.2us)
[18:17:13.929] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:13.929] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:14.493] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:14.494] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 0 block(s); stopping (search 70.7us)
[18:17:14.494] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:14.494] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:15.045] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=2
[18:17:15.046] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 1 block(s); stopping (search 67.8us)
[18:17:15.046] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=1 dynamic=0 door=0 blacklist=1 (overlay saw 970 item(s), 13 mobile(s))
[18:17:15.046] WARN  [v_Corwyn] [bot] enclosed with 1 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:16.580] WARN  [v_Corwyn] [bot] no path to (2864,816) avoiding 1 block(s); stopping (search 1494786.4us)
[18:17:16.580] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=1 dynamic=0 door=0 blacklist=1 (overlay saw 970 item(s), 13 mobile(s))
[18:17:18.363] WARN  [v_Corwyn] [0x21] move REJECTED seq=1; server says (2857,816,0) facing=6
[18:17:18.365] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 135.1us)
[18:17:18.365] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:18.365] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:18.904] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:18.906] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 68.5us)
[18:17:18.906] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:18.906] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:19.457] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:19.458] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 53.9us)
[18:17:19.458] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:19.458] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:20.023] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:20.024] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 66.6us)
[18:17:20.024] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:20.024] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:20.577] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:20.577] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 52.0us)
[18:17:20.577] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:20.577] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:21.143] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:21.144] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 169.9us)
[18:17:21.144] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:21.144] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:21.713] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:21.714] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 92.5us)
[18:17:21.714] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:21.714] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:22.264] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:22.265] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 53.2us)
[18:17:22.265] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:22.265] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:22.833] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:22.834] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 68.3us)
[18:17:22.834] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:22.834] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:23.386] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:23.387] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 63.5us)
[18:17:23.387] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:23.387] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:23.951] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:23.952] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 63.9us)
[18:17:23.952] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:23.952] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:24.503] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
[18:17:24.504] WARN  [v_Corwyn] [bot] no path to (2856,856) avoiding 0 block(s); stopping (search 52.4us)
[18:17:24.504] WARN  [v_Corwyn] [bot] start (2857,816,0) exits: open=0 terrain=6 mobile=2 dynamic=0 door=0 blacklist=0 (overlay saw 970 item(s), 13 mobile(s))
[18:17:24.504] WARN  [v_Corwyn] [bot] enclosed with 2 mobile(s) in the wall; replanning with mobiles treated as soft
[18:17:25.039] WARN  [v_Corwyn] [0x21] move REJECTED seq=0; server says (2857,816,0) facing=6
