start: Tarath is a lumberjack_swordsman and lives in Britain -> starting city index 2
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[20:29:04.486] WARN  [pair_Tarath] [0x21] move REJECTED seq=24; server says (1439,1693,0) facing=3
[20:41:59.681] WARN  [pair_Tarath] [0x21] move REJECTED seq=14; server says (1439,1693,0) facing=3
[20:41:59.682] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:42:19.886] WARN  [pair_Tarath] [0x21] move REJECTED seq=19; server says (1458,1681,0) facing=3
[20:42:19.887] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:42:22.645] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:42:30.992] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:42:39.063] WARN  [pair_Tarath] [0x21] move REJECTED seq=21; server says (1488,1677,8) facing=1
[20:42:39.833] WARN  [pair_Tarath] [0x21] move REJECTED seq=0; server says (1488,1677,8) facing=1
[20:42:50.461] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:43:12.489] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:43:15.878] WARN  [pair_Tarath] [0x21] move REJECTED seq=1; server says (1495,1621,20) facing=5
[20:43:15.892] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:43:17.461] WARN  [pair_Tarath] [0x21] move REJECTED seq=1; server says (1495,1621,20) facing=5
[20:43:17.462] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:43:32.835] WARN  [pair_Tarath] [ACTION_RESULT] move_item server_failure (14ms) item landed in a different container
[20:43:34.325] WARN  [pair_Tarath] [ACTION_RESULT] move_item server_failure (1ms) item landed in a different container
[20:43:35.834] WARN  [pair_Tarath] [ACTION_RESULT] move_item server_failure (1ms) item landed in a different container
[20:43:37.406] WARN  [pair_Tarath] [ACTION_RESULT] move_item server_failure (14ms) item landed in a different container
[20:43:38.946] WARN  [pair_Tarath] [ACTION_RESULT] move_item server_failure (14ms) item landed in a different container
[20:44:02.638] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:44:20.359] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:21.684] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:23.043] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:25.943] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:27.267] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:28.590] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:33.013] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:34.369] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:35.712] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:41.639] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:42.961] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:44.319] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:44.380] WARN  [pair_Tarath] [travel] route exhausted at (1431,1612,20); trying to reach (1432,1624,20) to get somewhere routable (escape 1/3)
[20:44:53.180] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:54.535] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:55.811] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:58.649] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:44:59.991] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:01.314] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:05.721] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:07.088] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:08.429] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:14.251] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:15.571] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:16.929] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:16.989] WARN  [pair_Tarath] [travel] route exhausted at (1432,1624,20); trying to reach (1416,1608,30) to get somewhere routable (escape 2/3)
[20:45:18.857] WARN  [pair_Tarath] [bot] no path to (1416,1608) avoiding 0 block(s); stopping (search 1814667.6us)
[20:45:18.857] WARN  [pair_Tarath] [bot] start (1432,1624,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 838 item(s), 3 mobile(s))
[20:45:18.919] WARN  [pair_Tarath] [travel] route exhausted at (1432,1624,20); trying to reach (1448,1608,20) to get somewhere routable (escape 3/3)
[20:45:35.068] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:36.405] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:37.669] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:40.561] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:41.886] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:43.224] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:47.622] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:48.989] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:50.341] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:56.104] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:57.489] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:45:58.843] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:46:28.146] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:46:39.790] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:46:42.957] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 26.2us)
[20:46:42.957] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 4 mobile(s))
[20:46:44.236] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 7.2us)
[20:46:44.236] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 3 mobile(s))
[20:46:45.583] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 6.5us)
[20:46:45.583] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 3 mobile(s))
[20:46:48.479] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 6.9us)
[20:46:48.479] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 3 mobile(s))
[20:46:49.803] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 6.4us)
[20:46:49.803] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 3 mobile(s))
[20:46:51.154] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 7.3us)
[20:46:51.154] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 3 mobile(s))
[20:46:55.558] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 6.5us)
[20:46:55.558] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 4 mobile(s))
[20:46:56.927] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 6.7us)
[20:46:56.927] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 4 mobile(s))
[20:46:58.269] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 7.6us)
[20:46:58.269] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 4 mobile(s))
[20:47:04.133] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 6.5us)
[20:47:04.133] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 5 mobile(s))
[20:47:05.486] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 6.7us)
[20:47:05.486] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 4 mobile(s))
[20:47:06.833] WARN  [pair_Tarath] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 7.3us)
[20:47:06.833] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 4 mobile(s))
[20:47:06.895] WARN  [pair_Tarath] [travel] route exhausted at (1475,1574,27); trying to reach (1464,1576,29) to get somewhere routable (escape 1/3)
[20:47:06.956] WARN  [pair_Tarath] [bot] no path to (1464,1576) avoiding 0 block(s); stopping (search 6.3us)
[20:47:06.956] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 4 mobile(s))
[20:47:07.019] WARN  [pair_Tarath] [travel] route exhausted at (1475,1574,27); trying to reach (1466,1560,30) to get somewhere routable (escape 2/3)
[20:47:07.080] WARN  [pair_Tarath] [bot] no path to (1466,1560) avoiding 0 block(s); stopping (search 15.7us)
[20:47:07.080] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 4 mobile(s))
[20:47:07.142] WARN  [pair_Tarath] [travel] route exhausted at (1475,1574,27); trying to reach (1480,1558,30) to get somewhere routable (escape 3/3)
[20:47:07.203] WARN  [pair_Tarath] [bot] no path to (1480,1558) avoiding 0 block(s); stopping (search 5.8us)
[20:47:07.203] WARN  [pair_Tarath] [bot] start (1475,1574,27) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 885 item(s), 4 mobile(s))
[20:47:20.709] WARN  [pair_Tarath] [0x21] move REJECTED seq=45; server says (1503,1561,30) facing=1
[20:47:21.450] WARN  [pair_Tarath] [0x21] move REJECTED seq=0; server says (1503,1561,30) facing=1
[20:47:38.760] WARN  [pair_Tarath] [0x21] move REJECTED seq=16; server says (1516,1552,25) facing=5
[20:47:38.760] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:48:11.224] WARN  [pair_Tarath] [0x21] move REJECTED seq=31; server says (1475,1520,20) facing=5
[20:48:11.224] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:48:30.785] WARN  [pair_Tarath] [0x21] move REJECTED seq=16; server says (1424,1552,30) facing=5
[20:48:30.786] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:49:01.310] WARN  [pair_Tarath] [bot] 0x20 resync; aborting path
[20:49:13.994] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:15.344] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:16.698] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:19.584] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:20.939] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:22.306] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:26.695] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:28.045] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:29.395] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:35.271] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:36.622] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:38.007] WARN  [pair_Tarath] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[20:49:38.069] WARN  [pair_Tarath] [travel] route exhausted at (1414,1593,30); trying to reach (1416,1608,30) to get somewhere routable (escape 1/3)
[20:49:40.038] WARN  [pair_Tarath] [bot] no path to (1416,1608) avoiding 0 block(s); stopping (search 1909013.2us)
[20:49:40.038] WARN  [pair_Tarath] [bot] start (1414,1593,30) exits: open=5 terrain=0 mobile=0 dynamic=3 door=0 blacklist=0 (overlay saw 1204 item(s), 2 mobile(s))
[20:49:40.100] WARN  [pair_Tarath] [travel] route exhausted at (1414,1593,30); trying to reach (1398,1592,30) to get somewhere routable (escape 2/3)
[20:50:08.042] WARN  [pair_Tarath] [0x21] move REJECTED seq=118; server says (1379,1585,30) facing=1
