map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:05:57.892] WARN  [f6_Ysolde] [ACTION_RESULT] cast_spell server_failure (15ms) The spell is not in your spellbook.
[13:08:28.876] WARN  [f6_Ysolde] [bot] start (1454,1617,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 3 mobile(s))
[13:08:32.172] WARN  [f6_Ysolde] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1165875.7us)
[13:08:32.173] WARN  [f6_Ysolde] [bot] start (1454,1617,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 3 mobile(s))
[13:08:36.307] WARN  [f6_Ysolde] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1247823.2us)
[13:08:36.307] WARN  [f6_Ysolde] [bot] start (1454,1617,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 3 mobile(s))
[13:08:41.848] WARN  [f6_Ysolde] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1163026.1us)
[13:08:41.848] WARN  [f6_Ysolde] [bot] start (1454,1617,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 309 item(s), 2 mobile(s))
[13:08:50.110] WARN  [f6_Ysolde] [bot] no path to (1449,1613) avoiding 0 block(s); stopping (search 1141895.5us)
[13:08:50.110] WARN  [f6_Ysolde] [bot] start (1451,1615,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 311 item(s), 2 mobile(s))
[13:08:54.146] WARN  [f6_Ysolde] [bot] no path to (1449,1613) avoiding 0 block(s); stopping (search 1172116.6us)
[13:08:54.146] WARN  [f6_Ysolde] [bot] start (1451,1615,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 311 item(s), 2 mobile(s))
[13:08:59.684] WARN  [f6_Ysolde] [bot] no path to (1449,1613) avoiding 0 block(s); stopping (search 1167997.0us)
[13:08:59.684] WARN  [f6_Ysolde] [bot] start (1451,1615,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 311 item(s), 2 mobile(s))
[13:09:07.979] WARN  [f6_Ysolde] [bot] no path to (1451,1617) avoiding 0 block(s); stopping (search 1171982.1us)
[13:09:07.979] WARN  [f6_Ysolde] [bot] start (1451,1615,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 311 item(s), 2 mobile(s))
[13:09:12.836] WARN  [f6_Ysolde] [bot] no path to (1453,1618) avoiding 0 block(s); stopping (search 1156937.9us)
[13:09:12.836] WARN  [f6_Ysolde] [bot] start (1451,1617,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 311 item(s), 2 mobile(s))
[13:09:18.194] WARN  [f6_Ysolde] [bot] no path to (1453,1616) avoiding 0 block(s); stopping (search 1217677.6us)
[13:09:18.194] WARN  [f6_Ysolde] [bot] start (1453,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 311 item(s), 2 mobile(s))
[13:09:24.190] WARN  [f6_Ysolde] [bot] no path to (1451,1615) avoiding 0 block(s); stopping (search 1163277.8us)
[13:09:24.190] WARN  [f6_Ysolde] [bot] start (1453,1616,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 311 item(s), 2 mobile(s))
[13:09:41.428] WARN  [f6_Ysolde] [bot] no path to (1452,1616) avoiding 0 block(s); stopping (search 1153927.4us)
[13:09:41.428] WARN  [f6_Ysolde] [bot] start (1450,1614,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 4 mobile(s))
[13:09:46.170] WARN  [f6_Ysolde] [bot] no path to (1454,1617) avoiding 0 block(s); stopping (search 1172570.4us)
[13:09:46.170] WARN  [f6_Ysolde] [bot] start (1452,1616,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 3 mobile(s))
[13:09:51.457] WARN  [f6_Ysolde] [bot] no path to (1453,1618) avoiding 0 block(s); stopping (search 1167380.5us)
[13:09:51.457] WARN  [f6_Ysolde] [bot] start (1454,1617,20) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 3 mobile(s))
[13:10:03.729] WARN  [f6_Ysolde] [bot] no path to (1452,1618) avoiding 0 block(s); stopping (search 1161199.8us)
[13:10:03.729] WARN  [f6_Ysolde] [bot] start (1454,1617,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 2 mobile(s))
[13:10:11.206] WARN  [f6_Ysolde] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 1183835.8us)
[13:10:11.206] WARN  [f6_Ysolde] [bot] start (1451,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 2 mobile(s))
[13:10:15.204] WARN  [f6_Ysolde] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 1157167.3us)
[13:10:15.204] WARN  [f6_Ysolde] [bot] start (1451,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 317 item(s), 2 mobile(s))
[13:10:22.734] WARN  [f6_Ysolde] [bot] no path to (1449,1614) avoiding 0 block(s); stopping (search 1161665.6us)
[13:10:22.734] WARN  [f6_Ysolde] [bot] start (1449,1616,20) exits: open=6 terrain=0 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 318 item(s), 2 mobile(s))
[13:10:27.564] WARN  [f6_Ysolde] [bot] no path to (1451,1616) avoiding 0 block(s); stopping (search 1173308.3us)
[13:10:27.564] WARN  [f6_Ysolde] [bot] start (1449,1614,20) exits: open=5 terrain=2 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 322 item(s), 2 mobile(s))
[13:10:32.339] WARN  [f6_Ysolde] [bot] no path to (1452,1618) avoiding 0 block(s); stopping (search 1177666.3us)
[13:10:32.340] WARN  [f6_Ysolde] [bot] start (1451,1616,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:10:39.060] WARN  [f6_Ysolde] [bot] no path to (1452,1617) avoiding 0 block(s); stopping (search 1176563.1us)
[13:10:39.060] WARN  [f6_Ysolde] [bot] start (1454,1617,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 3 mobile(s))
[13:10:43.883] WARN  [f6_Ysolde] [bot] no path to (1450,1616) avoiding 0 block(s); stopping (search 1191897.5us)
[13:10:43.883] WARN  [f6_Ysolde] [bot] start (1452,1617,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:10:48.903] WARN  [f6_Ysolde] [bot] no path to (1450,1618) avoiding 0 block(s); stopping (search 1162393.8us)
[13:10:48.904] WARN  [f6_Ysolde] [bot] start (1450,1616,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 2 mobile(s))
[13:10:52.972] WARN  [f6_Ysolde] [bot] no path to (1450,1618) avoiding 0 block(s); stopping (search 1174284.6us)
[13:10:52.972] WARN  [f6_Ysolde] [bot] start (1450,1616,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 2 mobile(s))
[13:10:59.299] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1175187.1us)
[13:10:59.299] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:11:03.540] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1353555.3us)
[13:11:03.540] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:11:09.126] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1237864.6us)
[13:11:09.126] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:11:16.202] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1220782.0us)
[13:11:16.202] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 2 mobile(s))
[13:11:17.681] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1281606.2us)
[13:11:17.681] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 2 mobile(s))
[13:11:21.882] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1354338.1us)
[13:11:21.882] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:11:27.431] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1196744.6us)
[13:11:27.431] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:11:34.498] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1215471.6us)
[13:11:34.498] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:11:36.036] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1305618.8us)
[13:11:36.036] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:11:40.218] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1292193.2us)
[13:11:40.218] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:11:46.687] WARN  [f6_Ysolde] [bot] no path to (1451,1616) avoiding 0 block(s); stopping (search 1476955.9us)
[13:11:46.687] WARN  [f6_Ysolde] [bot] start (1449,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:11:51.869] WARN  [f6_Ysolde] [bot] no path to (1452,1615) avoiding 0 block(s); stopping (search 1667678.9us)
[13:11:51.869] WARN  [f6_Ysolde] [bot] start (1451,1616,20) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:00.475] WARN  [f6_Ysolde] [bot] no path to (1450,1618) avoiding 0 block(s); stopping (search 1493936.5us)
[13:12:00.475] WARN  [f6_Ysolde] [bot] start (1451,1616,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:04.762] WARN  [f6_Ysolde] [bot] no path to (1450,1618) avoiding 0 block(s); stopping (search 1459819.6us)
[13:12:04.762] WARN  [f6_Ysolde] [bot] start (1451,1616,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:11.443] WARN  [f6_Ysolde] [bot] no path to (1448,1617) avoiding 0 block(s); stopping (search 1217871.5us)
[13:12:11.443] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:15.554] WARN  [f6_Ysolde] [bot] no path to (1448,1617) avoiding 0 block(s); stopping (search 1284519.2us)
[13:12:15.554] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:21.091] WARN  [f6_Ysolde] [bot] no path to (1448,1617) avoiding 0 block(s); stopping (search 1218746.4us)
[13:12:21.091] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:28.541] WARN  [f6_Ysolde] [bot] no path to (1448,1617) avoiding 0 block(s); stopping (search 1574838.4us)
[13:12:28.541] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:30.449] WARN  [f6_Ysolde] [bot] no path to (1448,1617) avoiding 0 block(s); stopping (search 1681752.8us)
[13:12:30.449] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:34.775] WARN  [f6_Ysolde] [bot] no path to (1448,1617) avoiding 0 block(s); stopping (search 1473520.3us)
[13:12:34.775] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:45.893] WARN  [f6_Ysolde] [bot] no path to (1450,1618) avoiding 0 block(s); stopping (search 1258423.1us)
[13:12:45.893] WARN  [f6_Ysolde] [bot] start (1448,1617,20) exits: open=4 terrain=3 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:51.269] WARN  [f6_Ysolde] [bot] no path to (1451,1616) avoiding 0 block(s); stopping (search 1355375.2us)
[13:12:51.269] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:12:59.881] WARN  [f6_Ysolde] [bot] no path to (1450,1612) avoiding 0 block(s); stopping (search 1326034.3us)
[13:12:59.881] WARN  [f6_Ysolde] [bot] start (1451,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 322 item(s), 1 mobile(s))
[13:13:05.717] WARN  [f6_Ysolde] [bot] no path to (1451,1614) avoiding 0 block(s); stopping (search 1325110.7us)
[13:13:05.717] WARN  [f6_Ysolde] [bot] start (1450,1612,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 325 item(s), 3 mobile(s))
[13:13:11.002] WARN  [f6_Ysolde] [bot] no path to (1449,1616) avoiding 0 block(s); stopping (search 1300866.7us)
[13:13:11.002] WARN  [f6_Ysolde] [bot] start (1451,1614,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 325 item(s), 2 mobile(s))
[13:13:16.066] WARN  [f6_Ysolde] [bot] no path to (1448,1618) avoiding 0 block(s); stopping (search 1365161.4us)
[13:13:16.066] WARN  [f6_Ysolde] [bot] start (1449,1616,20) exits: open=6 terrain=0 mobile=0 dynamic=2 door=0 blacklist=0 (overlay saw 325 item(s), 2 mobile(s))
[13:13:22.842] WARN  [f6_Ysolde] [bot] no path to (1450,1618) avoiding 0 block(s); stopping (search 1220157.4us)
[13:13:22.842] WARN  [f6_Ysolde] [bot] start (1448,1618,20) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 325 item(s), 1 mobile(s))
[13:13:27.709] WARN  [f6_Ysolde] [bot] no path to (1452,1617) avoiding 0 block(s); stopping (search 1209914.5us)
[13:13:27.709] WARN  [f6_Ysolde] [bot] start (1450,1618,20) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 325 item(s), 1 mobile(s))
