item	vendor_class	npc_purchase_allowed	authenticity_gap	reason
i_reag_garlic	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_reag_ginseng	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_reag_mandrake_root	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_reag_nightshade	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_reag_spider_silk	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_reag_sulfur_ash	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_reag_batwing	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_blackmoor	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_blood_spawn	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_blood_vial	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_bone	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_brimstone	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_daemon_bone	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_fertile_dirt	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_dragon_blood	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_executioners_cap	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_eye_of_newt	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_obsidian	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_pig_iron	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_pumice	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_nox_crystal	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_grave_dust	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_dead_wood	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_reag_wyrm_heart	ERA_CONFLICT	0	0	belongs to a later era than revolution_2009_2010
i_scroll_blank	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_scroll_poison	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_scroll_recall	REVOLUTION_NPC_VERIFIED	1	0	a dated Revolution update records an NPC selling this
i_bottle_empty	UNKNOWN	0	1	no Revolution evidence either way; refusing and recording an authenticity gap
