spell	defname	name	circle	minskill	mana	flags	reagents
51	s_flamestrike	Flamestrike	7	700	40	spellflag_dir_anim|spellflag_targ_obj|spellflag_harm|spellflag_damage|spellflag_fx_targ|spellflag_resist	i_reag_spider_silk,i_reag_sulfur_ash
52	s_gate_travel	Gate Travel	7	700	40	spellflag_targ_item|spellflag_playeronly	i_reag_black_pearl,i_reag_mandrake_root,i_reag_sulfur_ash
53	s_mana_vampire	Mana Vampire	7	700	40	spellflag_dir_anim|spellflag_targ_char|spellflag_harm|spellflag_fx_targ|spellflag_resist	i_reag_black_pearl,i_reag_blood_moss,i_reag_mandrake_root,i_reag_spider_silk
54	s_mass_dispel	Mass Dispel	7	700	40	spellflag_fx_targ|spellflag_area	i_reag_black_pearl,i_reag_garlic,i_reag_mandrake_root,i_reag_sulfur_ash
55	s_meteor_swarm	Meteor Swarm	7	700	40	spellflag_dir_anim|spellflag_targ_xyz|spellflag_harm|spellflag_damage|spellflag_area|spellflag_fx_bolt|spellflag_resist|spellflag_playeronly	i_reag_blood_moss,i_reag_mandrake_root,i_reag_spider_silk,i_reag_sulfur_ash
56	s_polymorph	Polymorph	7	700	40	spellflag_playeronly|spellflag_noprecast	i_reag_blood_moss,i_reag_mandrake_root,i_reag_spider_silk
57	s_earthquake	Earthquake	8	800	50	spellflag_harm|spellflag_damage|spellflag_area|spellflag_fx_targ|spellflag_playeronly	i_reag_blood_moss,i_reag_ginseng,i_reag_mandrake_root,i_reag_sulfur_ash
58	s_energy_vortex	Energy Vortex	8	800	50	spellflag_dir_anim|spellflag_targ_xyz|spellflag_harm|spellflag_summon	i_reag_black_pearl,i_reag_blood_moss,i_reag_mandrake_root,i_reag_nightshade
59	s_resurrection	Resurrection	8	800	50	spellflag_dir_anim|spellflag_targ_char|spellflag_fx_targ|spellflag_good|spellflag_targ_dead|spellflag_playeronly	i_reag_blood_moss,i_reag_garlic,i_reag_ginseng
60	s_summon_elem_air	Air Elemental	8	800	50	spellflag_dir_anim|spellflag_summon	i_reag_blood_moss,i_reag_mandrake_root,i_reag_spider_silk
61	s_summon_daemon	Summon Daemon	8	800	50	spellflag_dir_anim|spellflag_summon	i_reag_blood_moss,i_reag_mandrake_root,i_reag_spider_silk,i_reag_sulfur_ash
62	s_summon_elem_earth	Earth Elemental	8	800	50	spellflag_dir_anim|spellflag_summon	i_reag_blood_moss,i_reag_mandrake_root,i_reag_spider_silk
63	s_summon_elem_fire	Fire Elemental	8	800	50	spellflag_dir_anim|spellflag_summon	i_reag_blood_moss,i_reag_mandrake_root,i_reag_spider_silk,i_reag_sulfur_ash
64	s_summon_elem_water	Water Elemental	8	800	50	spellflag_dir_anim|spellflag_summon	i_reag_blood_moss,i_reag_mandrake_root,i_reag_spider_silk
