output	output_qty	input	input_qty	skill	min_skill	skill2	min_skill2	station	tool	tool_equipped	provenance	evidence
i_potion_healgreat	1	i_bottle_empty	1	0	55.1	none		none	mortar and pestle	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=ALCHEMY 55.1; REVOLUTION guide band 55.1-65.1 Gr. Heal
i_potion_curegreat	1	i_reag_garlic	6	0	65.1	none		none	mortar and pestle	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=ALCHEMY 65.1; REVOLUTION guide band 65.1-90.1 Gr. Cure
i_potion_curegreat	1	i_bottle_empty	1	0	65.1	none		none	mortar and pestle	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=ALCHEMY 65.1; REVOLUTION guide band 65.1-90.1 Gr. Cure
i_potion_poisondeadly	1	i_reag_nightshade	8	0	90.1	none		none	mortar and pestle	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=ALCHEMY 90.1; REVOLUTION guide band 90.1-100 Deadly Poison
i_potion_poisondeadly	1	i_bottle_empty	1	0	90.1	none		none	mortar and pestle	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=ALCHEMY 90.1; REVOLUTION guide band 90.1-100 Deadly Poison
i_scroll_poison	1	i_scroll_blank	1	23	30.0	25	20.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 30.0,Magery 20.0; REVOLUTION forum 59111 band 0-60
i_scroll_poison	1	i_reag_nightshade	1	23	30.0	25	20.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 30.0,Magery 20.0; REVOLUTION forum 59111 band 0-60
i_scroll_recall	1	i_scroll_blank	1	23	40.0	25	30.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 40.0,Magery 30.0; REVOLUTION forum 59111 band 60-80
i_scroll_recall	1	i_reag_black_pearl	1	23	40.0	25	30.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 40.0,Magery 30.0; REVOLUTION forum 59111 band 60-80
i_scroll_recall	1	i_reag_blood_moss	1	23	40.0	25	30.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 40.0,Magery 30.0; REVOLUTION forum 59111 band 60-80
i_scroll_recall	1	i_reag_mandrake_root	1	23	40.0	25	30.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 40.0,Magery 30.0; REVOLUTION forum 59111 band 60-80
i_scroll_gate_travel	1	i_scroll_blank	1	23	70.0	25	60.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 70.0,Magery 60.0; no vendor sells 7th circle
i_scroll_gate_travel	1	i_reag_black_pearl	1	23	70.0	25	60.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 70.0,Magery 60.0; no vendor sells 7th circle
i_scroll_gate_travel	1	i_reag_mandrake_root	1	23	70.0	25	60.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 70.0,Magery 60.0; no vendor sells 7th circle
i_scroll_gate_travel	1	i_reag_sulfur_ash	1	23	70.0	25	60.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 70.0,Magery 60.0; no vendor sells 7th circle
i_scroll_resurrection	1	i_scroll_blank	1	23	80.0	25	70.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 80.0,Magery 70.0; REVOLUTION forum 59111 band 80-100
i_scroll_resurrection	1	i_reag_blood_moss	1	23	80.0	25	70.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 80.0,Magery 70.0; REVOLUTION forum 59111 band 80-100
i_scroll_resurrection	1	i_reag_garlic	1	23	80.0	25	70.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 80.0,Magery 70.0; REVOLUTION forum 59111 band 80-100
i_scroll_resurrection	1	i_reag_ginseng	1	23	80.0	25	70.0	none	blank scroll	0	PLAYER_CRAFTED	SCRIPT SKILLMAKE=Inscription 80.0,Magery 70.0; REVOLUTION forum 59111 band 80-100
i_spellbook_runebook	1	i_scroll_blank	8	23	45.0	none		none	pen and ink	0	PLAYER_MARKET	SCRIPT revolution/revolution_runebook.scp SKILLMAKE=Inscription 45.0,i_pen_and_ink; REVOLUTION cooperative 19.12.2008; NO MENU ENTRY
i_spellbook_runebook	1	i_rune_marker	1	23	45.0	none		none	pen and ink	0	PLAYER_MARKET	SCRIPT revolution/revolution_runebook.scp SKILLMAKE=Inscription 45.0,i_pen_and_ink; REVOLUTION cooperative 19.12.2008; NO MENU ENTRY
i_spellbook_runebook	1	i_scroll_recall	1	23	45.0	none		none	pen and ink	0	PLAYER_MARKET	SCRIPT revolution/revolution_runebook.scp SKILLMAKE=Inscription 45.0,i_pen_and_ink; REVOLUTION cooperative 19.12.2008; NO MENU ENTRY
i_spellbook_runebook	1	i_scroll_gate_travel	1	23	45.0	none		none	pen and ink	0	PLAYER_MARKET	SCRIPT revolution/revolution_runebook.scp SKILLMAKE=Inscription 45.0,i_pen_and_ink; REVOLUTION cooperative 19.12.2008; NO MENU ENTRY
i_fish_big_1	1		0	18	1.0	none		none	fishing pole	0	WORLD_GATHERED	SCRIPT r_default_water 60.0 nothing / 10.0 each of four fish; REAPAMOUNT=1,3
i_fish_cut_cooked	1	i_fish_cut_raw	1	13	0.0	none		campfire	none	0	PLAYER_CRAFTED	SCRIPT i_fish_cut_cooked RESOURCES=1 i_fish_cut_raw, SKILLMAKE=Cooking 0.0,t_cooking; ENGINE CCharUse.cpp:294 Use_Kindling -> Skill_UseQuick(SKILL_CAMPING) -> ITEMID_CAMPFIRE 0x0de3
i_fish_cut_cooked	1	i_kindling	1	13	0.0	none		campfire	none	0	PLAYER_CRAFTED	SCRIPT i_fish_cut_cooked RESOURCES=1 i_fish_cut_raw, SKILLMAKE=Cooking 0.0,t_cooking; ENGINE CCharUse.cpp:294 Use_Kindling -> Skill_UseQuick(SKILL_CAMPING) -> ITEMID_CAMPFIRE 0x0de3
i_fish_cut_raw	4	i_fish_big_1	1	none		none		none	blade	0	WORLD_PROCESSED	ENGINE CClientTarg.cpp:1950 SetAmount(4 * GetAmount()); LIVE m3_cut1
