x	y	map	count	radius	label	defname	taming_req
3742	2144	0	2	5	Rat x2	c_rat	0.9
3747	2761	0	2	4	Timber Wolf x2	c_wolf_timber	23.1
3922	291	0	2	4	Walrus x2	c_walrus	35.1
3968	519	0	2	1	Snow Leopard x2	c_leopard_snow	50.0
4220	487	0	2	7	Walrus x2	c_walrus	35.1
4321	1007	0	2	5	grey wolf x2	c_wolf_grey	50.0
4334	1112	0	2	8	Goat x2	c_goat	11.1
4352	1205	0	2	8	Grizzly Bear x2	c_bear_grizzly	59.1
4393	1133	0	2	4	Dog x2	c_dog	15.3
4395	1109	0	2	2	Rat x2	c_rat	0.9
4398	1166	0	2	2	Dog x2	c_dog	15.3
4439	1111	0	2	6	Dog x2	c_dog	15.3
4447	1104	0	2	6	Rat x2	c_rat	0.9
4454	1421	0	2	3	Goat x2	c_goat	11.1
4460	1332	0	2	7	Timber Wolf x2	c_wolf_timber	23.1
4485	1380	0	2	6	Alligator x2	c_alligator	47.1
4490	1147	0	2	4	Rat x2	c_rat	0.9
4494	1037	0	2	7	Panther x2	c_panther	53.1
4499	1361	0	2	7	Great Hart x2	c_great_hart	59.1
4502	1293	0	2	8	Pig x2	c_pig	11.1
4517	1403	0	2	5	Timber Wolf x2	c_wolf_timber	23.1
4518	978	0	2	6	Panther x2	c_panther	53.1
4537	1360	0	2	4	Great Hart x2	c_great_hart	59.1
4548	1255	0	2	5	Great Hart x2	c_great_hart	59.1
4565	1453	0	2	2	Great Hart x2	c_great_hart	59.1
4576	3584	0	2	7	c_drake_gray x2	c_drake_gray	84.3
4635	1308	0	2	5	Cow x2	c_cow_bw	11.1
5135	834	0	2	8	Shadow wyrm x2	c_wyrm_shadow	104.7
5136	2347	0	2	5	Polar Bear x2	c_bear_polar	35.1
5152	1962	0	2	6	dire wolf x2	c_wolf_dire	80.0
5165	3925	0	2	5	Great Hart x2	c_great_hart	59.1
5178	3781	0	2	6	Rat x2	c_rat	0.9
5181	3983	0	2	7	Crow x2	c_bird_crow	10.0
5189	3136	0	2	3	Llama x2	c_llama	35.1
5191	3153	0	2	4	Grizzly Bear x2	c_bear_grizzly	59.1
5204	3897	0	2	8	Cow x2	c_cow_bw	11.1
5206	2373	0	2	2	Walrus x2	c_walrus	35.1
5219	3769	0	2	8	Horse x2	c_horse_gray	29.1
5225	3404	0	2	4	Grizzly Bear x2	c_bear_grizzly	59.1
5229	931	0	2	3	c_drake_red x2	c_drake_red	84.3
5246	217	0	2	6	c_drake_red x2	c_drake_red	84.3
5252	3460	0	2	6	Horse x2	c_horse_brown_dk	29.1
5259	799	0	2	4	c_drake_red x2	c_drake_red	84.3
5266	3437	0	2	8	Llama x2	c_llama	35.1
5272	3294	0	2	3	Timber Wolf x2	c_wolf_timber	23.1
5272	3297	0	2	4	Great Hart x2	c_great_hart	59.1
5272	3300	0	2	2	Brown Bear x2	c_bear_brown	41.1
5279	3305	0	2	6	Llama x2	c_llama	35.1
5292	3563	0	2	5	Llama x2	c_llama	35.1
5294	3566	0	2	7	Great Hart x2	c_great_hart	59.1
5326	3916	0	2	5	Rat x2	c_rat	0.9
5338	4046	0	2	4	Rat x2	c_rat	0.9
5340	3833	0	2	1	Rat x2	c_rat	0.9
5356	3375	0	2	3	Llama x2	c_llama	35.1
5356	3378	0	2	3	Great Hart x2	c_great_hart	59.1
5356	3382	0	2	8	Cougar x2	c_cougar	50.0
5372	3893	0	2	7	Rat x2	c_rat	0.9
5375	4010	0	2	5	Rat x2	c_rat	0.9
5403	3789	0	2	3	Rat x2	c_rat	0.9
5445	2023	0	2	6	dread spider x2	c_spider_dread	95.1
5445	4028	0	2	6	Rat x2	c_rat	0.9
5447	1980	0	2	1	dread spider x2	c_spider_dread	95.1
5468	1815	0	2	6	c_drake_gray x2	c_drake_gray	84.3
5474	2568	0	2	6	Desert Ostard x2	c_ostard_desert	29.1
5475	3992	0	2	4	Horse x2	c_horse_brown_dk	29.1
5493	3997	0	2	1	Llama x2	c_llama	35.1
5517	3146	0	2	6	Panther x2	c_panther	53.1
5542	3289	0	2	8	Panther x2	c_panther	53.1
5568	2325	0	2	7	Walrus x2	c_walrus	35.1
5579	3696	0	2	6	Timber Wolf x2	c_wolf_timber	23.1
5588	3317	0	2	5	Panther x2	c_panther	53.1
5598	4005	0	2	4	Forest Ostard x2	c_ostard_forest	29.1
5625	3766	0	2	4	Llama x2	c_llama	35.1
5629	3886	0	2	6	Forest Ostard x2	c_ostard_forest	29.1
5649	3881	0	2	1	Llama x2	c_llama	35.1
5666	2931	0	2	8	hell hound x2	c_hellhound	85.5
5692	1418	0	2	8	giant rat x2	c_rat_giant	25.0
5716	3962	0	2	2	Llama x2	c_llama	35.1
5721	3884	0	2	6	Forest Ostard x2	c_ostard_forest	29.1
5723	3775	0	2	1	Forest Ostard x2	c_ostard_forest	29.1
5725	3770	0	2	3	Grizzly Bear x2	c_bear_grizzly	59.1
5728	2881	0	2	3	hellcat x2	c_hellcat	89.1
5753	2882	0	2	7	lava lizard x2	c_lava_lizard	80.7
5775	3988	0	2	4	Forest Ostard x2	c_ostard_forest	29.1
5791	3978	0	2	2	Zostrich x2	c_ostard_frenzied	77.1
5818	3865	0	2	4	Brown Bear x2	c_bear_brown	41.1
5824	3158	0	2	4	Dog x2	c_dog	15.3
5824	3875	0	2	1	Llama x2	c_llama	35.1
5825	3784	0	2	1	Llama x2	c_llama	35.1
5826	169	0	2	5	Frost Spider x2	c_spider_frost	74.7
5827	3780	0	2	2	Brown Bear x2	c_bear_brown	41.1
5828	1469	0	2	8	hell hound x2	c_hellhound	85.5
5831	1983	0	2	4	Giant Beetle x2	c_giant_beetle	29.1
5831	3649	0	2	5	Brown Bear x2	c_bear_brown	41.1
5903	3675	0	2	1	Forest Ostard x2	c_ostard_forest	29.1
5906	3674	0	2	7	Llama x2	c_llama	35.1
5919	1307	0	2	1	dread spider x2	c_spider_dread	95.1
5939	1316	0	2	3	dread spider x2	c_spider_dread	95.1
5939	1365	0	2	4	dread spider x2	c_spider_dread	95.1
5945	26	0	2	1	hell hound x2	c_hellhound	85.5
5957	177	0	2	4	hell hound x2	c_hellhound	85.5
5983	91	0	2	7	hell hound x2	c_hellhound	85.5
5987	3734	0	2	7	Black Bear x2	c_bear_black	35.1
6016	1337	0	2	1	dread spider x2	c_spider_dread	95.1
6022	3478	0	2	5	Bull Frog x2	c_bullfrog	23.1
6035	1470	0	2	5	Rat x2	c_rat	0.9
6045	2339	0	2	6	Polar Bear x2	c_bear_polar	35.1
6048	3426	0	2	3	giant rat x2	c_rat_giant	25.0
6063	3944	0	2	6	Black Bear x2	c_bear_black	35.1
6081	1485	0	2	8	Rat x2	c_rat	0.9
6187	26	0	2	1	Rat x2	c_rat	0.9
6190	137	0	2	4	Bull x2	c_bull_brown_lt	71.1
6194	96	0	2	8	Bull x2	c_bull_brown_lt	71.1
6195	113	0	2	7	Boar x2	c_boar	29.1
6199	70	0	2	5	Cow x2	c_cow_bw	11.1
6245	121	0	2	1	Cow x2	c_cow_bw	11.1
6261	880	0	2	7	giant rat x2	c_rat_giant	25.0
6262	879	0	2	6	Dog x2	c_dog	15.3
6272	132	0	2	3	Boar x2	c_boar	29.1
6274	54	0	2	1	Snake x2	c_snake	59.1
6276	41	0	2	3	Rat x2	c_rat	0.9
6288	891	0	2	5	Dog x2	c_dog	15.3
6372	58	0	2	6	Rat x2	c_rat	0.9
6477	860	0	2	1	Snake x2	c_snake	59.1
6582	181	0	2	2	Ferret x2	c_ferret	0.1
