item	provenance	npc_policy	is_raw	evidence
i_potion_poisongreat	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT i_potion_PoisonGreat SKILLMAKE=ALCHEMY 55.1,t_mortar; RESOURCES=4 i_reag_nightshade,1 i_bottle_empty
i_potion_poisondeadly	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT SKILLMAKE=ALCHEMY 90.1; REVOLUTION guide band 90.1-100 Deadly Poison
i_scroll_poison	PLAYER_CRAFTED	REVOLUTION_NPC_VERIFIED	0	SCRIPT SKILLMAKE=Inscription 30.0,Magery 20.0; REVOLUTION forum 59111 band 0-60
i_scroll_recall	PLAYER_CRAFTED	REVOLUTION_NPC_VERIFIED	0	SCRIPT SKILLMAKE=Inscription 40.0,Magery 30.0; REVOLUTION forum 59111 band 60-80
i_scroll_gate_travel	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT SKILLMAKE=Inscription 70.0,Magery 60.0; no vendor sells 7th circle
i_scroll_resurrection	PLAYER_CRAFTED	UNKNOWN	0	SCRIPT SKILLMAKE=Inscription 80.0,Magery 70.0; REVOLUTION forum 59111 band 80-100
i_spellbook_runebook	PLAYER_MARKET	PLAYER_MARKET_GOOD	0	SCRIPT revolution/revolution_runebook.scp SKILLMAKE=Inscription 45.0,i_pen_and_ink; REVOLUTION cooperative 19.12.2008; NO MENU ENTRY
i_fish_big_1	WORLD_GATHERED	WORLD_GATHERED	0	SCRIPT r_default_water 60.0 nothing / 10.0 each of four fish; REAPAMOUNT=1,3
i_fish_cut_cooked	PLAYER_CRAFTED	WORLD_PROCESSED	0	SCRIPT i_fish_cut_cooked RESOURCES=1 i_fish_cut_raw, SKILLMAKE=Cooking 0.0,t_cooking; ENGINE CCharUse.cpp:294 Use_Kindling -> Skill_UseQuick(SKILL_CAMPING) -> ITEMID_CAMPFIRE 0x0de3
i_fish_cut_raw	WORLD_PROCESSED	WORLD_PROCESSED	0	ENGINE CClientTarg.cpp:1950 SetAmount(4 * GetAmount()); LIVE m3_cut1
i_cotton	WORLD_GATHERED	WORLD_GATHERED	1	leaf: nothing in the graph produces it
i_feather	UNKNOWN	WORLD_GATHERED	1	leaf: nothing in the graph produces it
i_sewing_needle	UNKNOWN	UNKNOWN	1	leaf: nothing in the graph produces it
i_bowl_wood	UNKNOWN	UNKNOWN	1	leaf: nothing in the graph produces it
i_feather	UNKNOWN	WORLD_GATHERED	1	leaf: nothing in the graph produces it
i_ink_well	UNKNOWN	UNKNOWN	1	leaf: nothing in the graph produces it
i_reag_ginseng	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_nightshade	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_garlic	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_blood_moss	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_ginseng	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_garlic	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_nightshade	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_nightshade	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_nightshade	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_nightshade	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_black_pearl	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_blood_moss	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_mandrake_root	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_black_pearl	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_mandrake_root	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_sulfur_ash	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_blood_moss	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_garlic	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_reag_ginseng	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
i_rune_marker	UNKNOWN	STOCK_SPHERE_ONLY	1	leaf: nothing in the graph produces it
i_kindling	UNKNOWN	REVOLUTION_NPC_VERIFIED	1	leaf: nothing in the graph produces it
