start: Corwyn is a miner_smith and lives in Minoc -> starting city index 1
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[22:49:59.796] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[22:57:23.581] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[22:59:50.450] WARN  [v_Corwyn] [ACTION_RESULT] use_object timeout (no server confirmation)
[22:59:54.531] WARN  [v_Corwyn] [ACTION_RESULT] use_object timeout (no server confirmation)
[22:59:56.054] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1368184.8us)
[22:59:56.054] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 4 mobile(s))
[22:59:58.578] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1210146.4us)
[22:59:58.578] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 4 mobile(s))
[23:00:01.098] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1198400.6us)
[23:00:01.098] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 4 mobile(s))
[23:00:05.310] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1350799.3us)
[23:00:05.310] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 4 mobile(s))
[23:00:08.071] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1430758.9us)
[23:00:08.071] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 5 mobile(s))
[23:00:10.869] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1473102.2us)
[23:00:10.869] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 5 mobile(s))
[23:00:16.631] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1458125.0us)
[23:00:16.631] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 4 mobile(s))
[23:00:19.420] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1463429.4us)
[23:00:19.420] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 4 mobile(s))
[23:00:22.026] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1299216.2us)
[23:00:22.026] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 4 mobile(s))
[23:00:29.555] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1685106.2us)
[23:00:29.555] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 4 mobile(s))
[23:00:32.374] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1498366.0us)
[23:00:32.374] WARN  [v_Corwyn] [bot] start (2455,430,15) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 4 mobile(s))
[23:00:32.435] WARN  [v_Corwyn] [travel] route exhausted at (2455,430,15); trying to reach (2456,440,15) to get somewhere routable (escape 1/3)
[23:00:39.271] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1537088.8us)
[23:00:39.271] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 8 mobile(s))
[23:00:42.110] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1534281.3us)
[23:00:42.110] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 8 mobile(s))
[23:00:44.910] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1464022.3us)
[23:00:44.910] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 8 mobile(s))
[23:00:49.279] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1500791.1us)
[23:00:49.279] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:00:52.156] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1578941.5us)
[23:00:52.156] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:00:54.892] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1506750.3us)
[23:00:54.892] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:01:00.753] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1483960.3us)
[23:01:00.753] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 8 mobile(s))
[23:01:03.633] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1537982.6us)
[23:01:03.633] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:01:10.917] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1439785.8us)
[23:01:10.917] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:01:13.971] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1736228.1us)
[23:01:13.971] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:01:16.893] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1622137.8us)
[23:01:16.893] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:01:18.332] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1344860.1us)
[23:01:18.332] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:01:21.238] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1589930.5us)
[23:01:21.238] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 6 mobile(s))
[23:01:24.187] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1619113.0us)
[23:01:24.187] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 6 mobile(s))
[23:01:28.494] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1433439.2us)
[23:01:28.494] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 5 mobile(s))
[23:01:31.238] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1465009.3us)
[23:01:31.238] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 5 mobile(s))
[23:01:34.091] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1539136.2us)
[23:01:34.091] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 5 mobile(s))
[23:01:39.746] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1351860.8us)
[23:01:39.746] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 5 mobile(s))
[23:01:42.479] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1412040.8us)
[23:01:42.479] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 5 mobile(s))
[23:01:45.155] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1378169.1us)
[23:01:45.155] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 5 mobile(s))
[23:01:52.618] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1568223.2us)
[23:01:52.618] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:01:55.441] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1608612.4us)
[23:01:55.441] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:01:58.201] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1441162.3us)
[23:01:58.201] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:01:59.766] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1425839.4us)
[23:01:59.766] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:02:02.446] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1354286.2us)
[23:02:02.446] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:02:05.128] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1322337.8us)
[23:02:05.128] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:02:09.477] WARN  [v_Corwyn] [bot] no path to (2449,426) avoiding 0 block(s); stopping (search 1479371.7us)
[23:02:09.477] WARN  [v_Corwyn] [bot] start (2456,440,15) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 6 mobile(s))
[23:02:15.895] WARN  [v_Corwyn] [bot] no path to (2449,429) avoiding 0 block(s); stopping (search 1530281.0us)
[23:02:15.895] WARN  [v_Corwyn] [bot] start (2461,430,15) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 355 item(s), 7 mobile(s))
[23:02:42.295] WARN  [v_Corwyn] [ACTION_RESULT] use_object timeout (no server confirmation)
[23:02:46.382] WARN  [v_Corwyn] [ACTION_RESULT] use_object timeout (no server confirmation)
