start: Rowan is a lumberjack_swordsman and lives in Skara Brae -> starting city index 7
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:35:30.449] WARN  [n10_Rowan] [0x21] move REJECTED seq=58; server says (2800,952,0) facing=3
[17:40:27.014] WARN  [n10_Rowan] [bot] start (646,2156,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 403 item(s), 13 mobile(s))
[17:40:30.536] WARN  [n10_Rowan] [bot] no path to (648,2162) avoiding 0 block(s); stopping (search 687524.7us)
[17:40:30.536] WARN  [n10_Rowan] [bot] start (646,2156,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 403 item(s), 13 mobile(s))
[17:40:31.586] WARN  [n10_Rowan] [bot] no path to (649,2165) avoiding 0 block(s); stopping (search 676631.2us)
[17:40:31.586] WARN  [n10_Rowan] [bot] start (646,2156,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 403 item(s), 13 mobile(s))
[17:40:33.551] WARN  [n10_Rowan] [bot] no path to (649,2165) avoiding 0 block(s); stopping (search 609635.0us)
[17:40:33.551] WARN  [n10_Rowan] [bot] start (646,2156,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 403 item(s), 13 mobile(s))
[17:40:39.978] WARN  [n10_Rowan] [bot] no path to (652,2165) avoiding 0 block(s); stopping (search 508072.0us)
[17:40:39.978] WARN  [n10_Rowan] [bot] start (650,2168,0) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 443 item(s), 11 mobile(s))
[17:40:44.173] WARN  [n10_Rowan] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of Tactics
[17:40:48.693] WARN  [n10_Rowan] [0x21] move REJECTED seq=8; server says (650,2168,0) facing=5
[17:40:48.708] WARN  [n10_Rowan] [bot] 0x20 resync; aborting path
[17:40:59.510] WARN  [n10_Rowan] [bot] 0x20 resync; aborting path
[17:41:02.644] WARN  [n10_Rowan] [bot] no path to (633,2196) avoiding 0 block(s); stopping (search 528254.5us)
[17:41:02.644] WARN  [n10_Rowan] [bot] start (630,2191,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 525 item(s), 5 mobile(s))
[17:41:04.476] WARN  [n10_Rowan] [bot] no path to (633,2196) avoiding 0 block(s); stopping (search 515622.4us)
[17:41:04.477] WARN  [n10_Rowan] [bot] start (630,2191,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 525 item(s), 5 mobile(s))
[17:41:06.336] WARN  [n10_Rowan] [bot] no path to (633,2196) avoiding 0 block(s); stopping (search 500481.9us)
[17:41:06.336] WARN  [n10_Rowan] [bot] start (630,2191,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 525 item(s), 5 mobile(s))
[17:41:09.764] WARN  [n10_Rowan] [bot] no path to (633,2196) avoiding 0 block(s); stopping (search 515352.8us)
[17:41:09.764] WARN  [n10_Rowan] [bot] start (630,2191,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 525 item(s), 5 mobile(s))
[17:41:11.612] WARN  [n10_Rowan] [bot] no path to (633,2196) avoiding 0 block(s); stopping (search 539999.0us)
[17:41:11.612] WARN  [n10_Rowan] [bot] start (630,2191,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 525 item(s), 5 mobile(s))
[17:41:13.461] WARN  [n10_Rowan] [bot] no path to (633,2196) avoiding 0 block(s); stopping (search 523074.2us)
[17:41:13.461] WARN  [n10_Rowan] [bot] start (630,2191,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 525 item(s), 5 mobile(s))
[17:41:18.262] WARN  [n10_Rowan] [bot] no path to (633,2196) avoiding 0 block(s); stopping (search 511850.4us)
[17:41:18.262] WARN  [n10_Rowan] [bot] start (630,2191,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 525 item(s), 4 mobile(s))
[17:41:21.963] WARN  [n10_Rowan] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of Tactics
[17:41:25.155] WARN  [n10_Rowan] [bot] no path to (627,2194) avoiding 0 block(s); stopping (search 493958.5us)
[17:41:25.155] WARN  [n10_Rowan] [bot] start (633,2196,0) exits: open=5 terrain=0 mobile=1 dynamic=2 door=0 blacklist=0 (overlay saw 532 item(s), 4 mobile(s))
[17:41:29.509] WARN  [n10_Rowan] [bot] no path to (628,2197) avoiding 0 block(s); stopping (search 606067.9us)
[17:41:29.509] WARN  [n10_Rowan] [bot] start (626,2197,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 544 item(s), 3 mobile(s))
[17:41:33.152] WARN  [n10_Rowan] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of Tactics
[17:41:35.821] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:37.174] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:38.494] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:41.404] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:42.755] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:44.061] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:48.454] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:49.779] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:51.134] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:57.007] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:58.287] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:59.584] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:41:59.645] WARN  [n10_Rowan] [travel] route exhausted at (628,2197,0); trying to reach (616,2200,0) to get somewhere routable (escape 1/3)
[17:42:13.657] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:15.008] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:16.380] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:19.247] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:20.570] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:21.934] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:26.261] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:27.551] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:28.819] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:34.643] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:35.979] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:37.324] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:37.379] WARN  [n10_Rowan] [travel] route exhausted at (616,2200,0); trying to reach (600,2184,0) to get somewhere routable (escape 2/3)
[17:42:51.054] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:52.358] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:53.738] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:56.554] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:57.904] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:42:59.237] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:43:03.579] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:43:04.937] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:43:06.212] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:43:12.028] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:43:13.411] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:43:14.688] WARN  [n10_Rowan] [bot] goal (620,2218) is not walkable; skipping A* and stopping
[17:43:14.747] WARN  [n10_Rowan] [travel] route exhausted at (600,2184,0); trying to reach (600,2200,0) to get somewhere routable (escape 3/3)
[17:43:14.811] WARN  [n10_Rowan] [bot] no path to (600,2200) avoiding 0 block(s); stopping (search 1443.8us)
[17:43:14.811] WARN  [n10_Rowan] [bot] start (600,2184,0) exits: open=2 terrain=6 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 644 item(s), 11 mobile(s))
[17:43:17.587] WARN  [n10_Rowan] [bot] no path to (616,2152) avoiding 0 block(s); stopping (search 2187.5us)
[17:43:17.587] WARN  [n10_Rowan] [bot] start (600,2184,0) exits: open=2 terrain=6 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 644 item(s), 10 mobile(s))
[17:43:18.916] WARN  [n10_Rowan] [bot] no path to (616,2152) avoiding 0 block(s); stopping (search 2292.3us)
[17:43:18.916] WARN  [n10_Rowan] [bot] start (600,2184,0) exits: open=2 terrain=6 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 644 item(s), 10 mobile(s))
[17:43:20.285] WARN  [n10_Rowan] [bot] no path to (616,2152) avoiding 0 block(s); stopping (search 902.8us)
[17:43:20.285] WARN  [n10_Rowan] [bot] start (600,2184,0) exits: open=2 terrain=6 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 644 item(s), 11 mobile(s))
[17:43:23.174] WARN  [n10_Rowan] [bot] no path to (600,2152) avoiding 0 block(s); stopping (search 1521.6us)
[17:43:23.174] WARN  [n10_Rowan] [bot] start (600,2184,0) exits: open=2 terrain=6 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 644 item(s), 10 mobile(s))
[17:43:24.503] WARN  [n10_Rowan] [bot] no path to (600,2152) avoiding 0 block(s); stopping (search 1428.2us)
[17:43:24.503] WARN  [n10_Rowan] [bot] start (600,2184,0) exits: open=2 terrain=6 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 644 item(s), 10 mobile(s))
[17:43:25.855] WARN  [n10_Rowan] [bot] no path to (600,2152) avoiding 0 block(s); stopping (search 1334.3us)
[17:43:25.855] WARN  [n10_Rowan] [bot] start (600,2184,0) exits: open=2 terrain=6 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 644 item(s), 10 mobile(s))
[17:46:41.052] WARN  [n10_Rowan] [0x21] move REJECTED seq=35; server says (1432,1666,10) facing=1
[17:46:41.822] WARN  [n10_Rowan] [0x21] move REJECTED seq=0; server says (1432,1666,10) facing=1
[17:49:27.295] WARN  [n10_Rowan] [bot] THREAT (HP 40 -> 35): halting travel (TODO engage/flee/recall)
[17:49:30.268] WARN  [n10_Rowan] [bot] 0x20 resync; aborting path
[17:49:35.146] WARN  [n10_Rowan] [bot] 0x20 resync; aborting path
[17:49:44.358] WARN  [n10_Rowan] [bot] 0x20 resync; aborting path
[17:49:44.589] WARN  [n10_Rowan] [bot] THREAT (HP 35 -> 31): halting travel (TODO engage/flee/recall)
