start: Edrik is a full_crafter and lives in Yew -> starting city index 0
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[17:30:40.628] WARN  [n10_Edrik] [0x21] move REJECTED seq=4; server says (775,757,0) facing=0
[17:46:29.765] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:46:35.889] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:46:41.992] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[17:46:48.064] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[17:46:54.140] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[17:47:00.273] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:47:06.376] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[17:47:12.495] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[17:47:18.563] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[17:47:24.644] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (4ms) There is no such skill. Please tell support you saw this message.
[17:47:30.716] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:47:36.776] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[17:47:42.863] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[17:47:48.954] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:47:55.379] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (317ms) There is no such skill. Please tell support you saw this message.
[17:48:01.178] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[17:48:07.198] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (0ms) There is no such skill. Please tell support you saw this message.
[17:48:13.325] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[17:48:19.422] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:48:25.511] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[17:48:31.585] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:48:37.641] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (1ms) There is no such skill. Please tell support you saw this message.
[17:48:43.761] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[17:48:49.879] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:48:55.996] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (15ms) There is no such skill. Please tell support you saw this message.
[17:49:02.064] WARN  [n10_Edrik] [ACTION_RESULT] use_skill server_failure (14ms) There is no such skill. Please tell support you saw this message.
[17:50:23.306] WARN  [n10_Edrik] [0x21] move REJECTED seq=44; server says (3623,2139,86) facing=1
[17:50:24.028] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (3623,2139,86) facing=1
[17:50:27.227] WARN  [n10_Edrik] [0x21] move REJECTED seq=3; server says (3624,2137,84) facing=1
[17:50:59.451] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[17:51:03.704] WARN  [n10_Edrik] [bot] no path to (3725,2131) avoiding 0 block(s); stopping (search 1626021.1us)
[17:51:03.704] WARN  [n10_Edrik] [bot] start (3715,2131,20) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 1976 item(s), 7 mobile(s))
[17:51:15.861] WARN  [n10_Edrik] [ACTION_RESULT] npc_train timeout (no server confirmation)
[17:51:25.958] WARN  [n10_Edrik] [bot] no path to (3718,2129) avoiding 0 block(s); stopping (search 3320184.5us)
[17:51:25.958] WARN  [n10_Edrik] [bot] start (3725,2131,20) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1978 item(s), 5 mobile(s))
[17:51:29.107] WARN  [n10_Edrik] [bot] no path to (3715,2127) avoiding 0 block(s); stopping (search 1637777.0us)
[17:51:29.107] WARN  [n10_Edrik] [bot] start (3725,2130,20) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1978 item(s), 6 mobile(s))
[17:51:33.724] WARN  [n10_Edrik] [bot] no path to (3717,2124) avoiding 0 block(s); stopping (search 1471433.1us)
[17:51:33.724] WARN  [n10_Edrik] [bot] start (3720,2129,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1978 item(s), 7 mobile(s))
[17:51:38.693] WARN  [n10_Edrik] [bot] no path to (3717,2127) avoiding 0 block(s); stopping (search 1671966.5us)
[17:51:38.693] WARN  [n10_Edrik] [bot] start (3718,2125,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1978 item(s), 6 mobile(s))
[17:51:44.200] WARN  [n10_Edrik] [bot] no path to (3716,2130) avoiding 0 block(s); stopping (search 1825735.3us)
[17:51:44.200] WARN  [n10_Edrik] [bot] start (3718,2126,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1978 item(s), 6 mobile(s))
[17:51:47.071] WARN  [n10_Edrik] [bot] no path to (3716,2130) avoiding 0 block(s); stopping (search 1573386.1us)
[17:51:47.071] WARN  [n10_Edrik] [bot] start (3718,2126,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 1978 item(s), 6 mobile(s))
[17:51:58.663] WARN  [n10_Edrik] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of Tinkering
[17:52:03.250] WARN  [n10_Edrik] [travel] route exhausted at (3716,2130,20); trying to reach (3720,2120,20) to get somewhere routable (escape 1/3)
[17:52:06.859] WARN  [n10_Edrik] [travel] route exhausted at (3720,2120,20); trying to reach (3704,2104,20) to get somewhere routable (escape 2/3)
[17:52:23.224] WARN  [n10_Edrik] [travel] route exhausted at (3704,2104,20); trying to reach (3688,2088,10) to get somewhere routable (escape 3/3)
[17:54:11.315] WARN  [n10_Edrik] [0x21] move REJECTED seq=8; server says (3638,2595,0) facing=3
[17:54:11.316] WARN  [n10_Edrik] [bot] 0x20 resync; aborting path
[17:55:35.875] WARN  [n10_Edrik] [0x21] move REJECTED seq=34; server says (2776,782,0) facing=4
[17:55:41.475] WARN  [n10_Edrik] [0x21] move REJECTED seq=21; server says (2791,789,0) facing=3
[17:55:42.229] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (2791,789,0) facing=3
[17:55:45.305] WARN  [n10_Edrik] [bot] no path to (2792,790) avoiding 1 block(s); stopping (search 3018641.6us)
[17:55:45.305] WARN  [n10_Edrik] [bot] start (2791,789,0) exits: open=6 terrain=1 mobile=0 dynamic=0 door=0 blacklist=1 (overlay saw 2206 item(s), 3 mobile(s))
[17:56:31.067] WARN  [n10_Edrik] [0x21] move REJECTED seq=40; server says (2800,952,0) facing=3
[17:56:31.803] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (2800,952,0) facing=3
[17:56:56.376] WARN  [n10_Edrik] [0x21] move REJECTED seq=104; server says (2828,890,0) facing=7
[17:56:57.124] WARN  [n10_Edrik] [0x21] move REJECTED seq=0; server says (2828,890,0) facing=7
