map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[11:09:42.327] WARN  [mk_Sabelle] [0x21] move REJECTED seq=49; server says (755,780,0) facing=1
[11:12:42.349] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[11:12:44.990] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1278965.9us)
[11:12:44.990] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 5 mobile(s))
[11:12:52.128] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1302091.5us)
[11:12:52.128] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[11:12:54.832] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1403250.0us)
[11:12:54.832] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[11:12:57.452] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1300578.4us)
[11:12:57.452] WARN  [mk_Sabelle] [bot] start (4456,1128,0) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[11:12:57.483] WARN  [mk_Sabelle] [travel] route exhausted at (4456,1128,0); trying to reach (4456,1144,0) to get somewhere routable (escape 1/3)
[11:13:02.764] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1239252.7us)
[11:13:02.764] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 8 mobile(s))
[11:13:05.387] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1263865.5us)
[11:13:05.387] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 9 mobile(s))
[11:13:08.009] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1257506.0us)
[11:13:08.009] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 9 mobile(s))
[11:13:12.106] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1216399.0us)
[11:13:12.106] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 10 mobile(s))
[11:13:14.685] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1261106.1us)
[11:13:14.686] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 10 mobile(s))
[11:13:17.251] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1255322.7us)
[11:13:17.252] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 9 mobile(s))
[11:13:22.904] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1290786.8us)
[11:13:22.904] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 7 mobile(s))
[11:13:25.581] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1380988.9us)
[11:13:25.581] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 7 mobile(s))
[11:13:32.723] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1272039.0us)
[11:13:32.723] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 7 mobile(s))
[11:13:35.331] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1245864.0us)
[11:13:35.331] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 7 mobile(s))
[11:13:37.874] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1211853.0us)
[11:13:37.874] WARN  [mk_Sabelle] [bot] start (4456,1144,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 7 mobile(s))
[11:13:37.935] WARN  [mk_Sabelle] [travel] route exhausted at (4456,1144,0); trying to reach (4440,1128,0) to get somewhere routable (escape 2/3)
[11:13:51.729] WARN  [mk_Sabelle] [bot] no path to (4471,1156) avoiding 0 block(s); stopping (search 1395114.0us)
[11:13:51.729] WARN  [mk_Sabelle] [bot] start (4440,1128,0) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 504 item(s), 5 mobile(s))
