map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:40:36.007] WARN  [v1_Corwyn] [bot] 0x20 resync; aborting path
[14:43:32.431] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 2 mobile(s))
[14:43:34.822] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1051902.0us)
[14:43:34.822] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 2 mobile(s))
[14:43:38.690] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1039770.7us)
[14:43:38.691] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 2 mobile(s))
[14:43:40.970] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 978692.4us)
[14:43:40.970] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 2 mobile(s))
[14:43:43.436] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1095541.3us)
[14:43:43.436] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 3 mobile(s))
[14:43:48.796] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1027808.5us)
[14:43:48.796] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 2 mobile(s))
[14:43:51.124] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1014568.8us)
[14:43:51.124] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 3 mobile(s))
[14:43:53.436] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1000359.3us)
[14:43:53.436] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 3 mobile(s))
[14:44:00.277] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1002154.6us)
[14:44:00.277] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 3 mobile(s))
[14:44:02.597] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1019709.9us)
[14:44:02.597] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 3 mobile(s))
[14:44:04.930] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 993275.0us)
[14:44:04.930] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 3 mobile(s))
[14:44:06.112] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1022130.7us)
[14:44:06.112] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 4 mobile(s))
[14:44:08.420] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 1004981.9us)
[14:44:08.420] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 4 mobile(s))
[14:44:10.705] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 979375.7us)
[14:44:10.705] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 4 mobile(s))
[14:44:14.586] WARN  [v1_Corwyn] [bot] no path to (2522,550) avoiding 0 block(s); stopping (search 992561.1us)
[14:44:14.586] WARN  [v1_Corwyn] [bot] start (2526,549,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 3 mobile(s))
[14:44:42.087] WARN  [v1_Corwyn] [bot] no path to (2472,567) avoiding 0 block(s); stopping (search 987824.3us)
[14:44:42.087] WARN  [v1_Corwyn] [bot] start (2490,566,5) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 202 item(s), 5 mobile(s))
[14:44:46.932] WARN  [v1_Corwyn] [bot] no path to (2475,567) avoiding 0 block(s); stopping (search 979050.6us)
[14:44:46.932] WARN  [v1_Corwyn] [bot] start (2481,569,5) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 202 item(s), 3 mobile(s))
[14:45:06.025] WARN  [v1_Corwyn] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[14:45:16.144] WARN  [v1_Corwyn] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[14:45:26.287] WARN  [v1_Corwyn] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[14:46:46.107] WARN  [v1_Corwyn] [travel] route exhausted at (2468,556,5); trying to reach (2456,566,0) to get somewhere routable (escape 1/3)
[14:46:57.381] WARN  [v1_Corwyn] [travel] route exhausted at (2456,566,0); trying to reach (2456,552,0) to get somewhere routable (escape 2/3)
[14:47:04.426] WARN  [v1_Corwyn] [travel] route exhausted at (2456,552,0); trying to reach (2440,536,0) to get somewhere routable (escape 3/3)
[14:47:20.524] WARN  [v1_Corwyn] [travel] route exhausted at (2440,536,0); trying to reach (2440,550,0) to get somewhere routable (escape 1/3)
[14:47:25.002] WARN  [v1_Corwyn] [travel] route exhausted at (2440,550,0); trying to reach (2440,536,0) to get somewhere routable (escape 2/3)
[14:47:29.388] WARN  [v1_Corwyn] [travel] route exhausted at (2440,536,0); trying to reach (2424,520,0) to get somewhere routable (escape 3/3)
[14:47:47.254] WARN  [v1_Corwyn] [travel] route exhausted at (2424,520,0); trying to reach (2410,520,0) to get somewhere routable (escape 1/3)
[14:48:00.794] WARN  [v1_Corwyn] [travel] route exhausted at (2410,520,0); trying to reach (2424,520,0) to get somewhere routable (escape 2/3)
[14:48:14.099] WARN  [v1_Corwyn] [travel] route exhausted at (2424,520,0); trying to reach (2408,504,15) to get somewhere routable (escape 3/3)
[14:51:33.433] WARN  [v1_Corwyn] [0x21] move REJECTED seq=22; server says (1332,1882,0) facing=7
[14:51:34.142] WARN  [v1_Corwyn] [0x21] move REJECTED seq=0; server says (1332,1882,0) facing=7
[14:51:35.341] WARN  [v1_Corwyn] [bot] no path to (1336,1864) avoiding 1 block(s); stopping (search 1191736.5us)
[14:51:35.341] WARN  [v1_Corwyn] [bot] start (1332,1882,0) exits: open=6 terrain=1 mobile=0 dynamic=0 door=0 blacklist=1 (overlay saw 375 item(s), 4 mobile(s))
[14:51:37.848] WARN  [v1_Corwyn] [bot] no path to (1336,1864) avoiding 0 block(s); stopping (search 1215139.0us)
[14:51:37.848] WARN  [v1_Corwyn] [bot] start (1332,1882,0) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 375 item(s), 4 mobile(s))
[14:53:24.746] WARN  [v1_Corwyn] [0x21] move REJECTED seq=32; server says (1423,1599,20) facing=7
[14:53:25.499] WARN  [v1_Corwyn] [0x21] move REJECTED seq=0; server says (1423,1599,20) facing=7
[14:53:27.044] WARN  [v1_Corwyn] [bot] no path to (1416,1592) avoiding 1 block(s); stopping (search 1542110.3us)
[14:53:27.044] WARN  [v1_Corwyn] [bot] start (1423,1599,20) exits: open=6 terrain=0 mobile=0 dynamic=1 door=0 blacklist=1 (overlay saw 862 item(s), 7 mobile(s))
[14:53:29.994] WARN  [v1_Corwyn] [bot] no path to (1416,1592) avoiding 0 block(s); stopping (search 1649505.5us)
[14:53:29.994] WARN  [v1_Corwyn] [bot] start (1423,1599,20) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 862 item(s), 7 mobile(s))
