map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:14:16.229] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1130763.4us)
[13:15:16.515] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 6 mobile(s))
[13:15:23.726] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1424780.1us)
[13:15:23.726] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 6 mobile(s))
[13:15:26.167] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1109529.4us)
[13:15:26.167] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 6 mobile(s))
[13:15:28.700] WARN  [f6_Ysolde] [bot] no path to (1485,1550) avoiding 0 block(s); stopping (search 1212627.8us)
[13:15:28.700] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 6 mobile(s))
[13:15:32.553] WARN  [f6_Ysolde] [bot] no path to (1487,1552) avoiding 0 block(s); stopping (search 1111492.2us)
[13:15:32.553] WARN  [f6_Ysolde] [bot] start (1480,1558,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 251 item(s), 6 mobile(s))
[13:15:32.613] WARN  [f6_Ysolde] [travel] reached (1480,1558,30) but the target is on another floor; not arrived
[13:15:47.150] WARN  [f6_Ysolde] [bot] no path to (1487,1555) avoiding 0 block(s); stopping (search 1133243.9us)
[13:15:47.150] WARN  [f6_Ysolde] [bot] start (1488,1553,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 282 item(s), 5 mobile(s))
[13:15:47.212] WARN  [f6_Ysolde] [travel] reached (1488,1553,30) but the target is on another floor; not arrived
[13:15:59.367] WARN  [f6_Ysolde] [bot] no path to (1488,1552) avoiding 0 block(s); stopping (search 1231485.9us)
[13:15:59.368] WARN  [f6_Ysolde] [bot] start (1488,1555,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:16:04.260] WARN  [f6_Ysolde] [bot] no path to (1488,1551) avoiding 0 block(s); stopping (search 1118500.6us)
[13:16:04.260] WARN  [f6_Ysolde] [bot] start (1488,1552,70) exits: open=6 terrain=0 mobile=1 dynamic=1 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:16:29.550] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:16:35.682] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:16:41.840] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:16:48.006] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:16:54.097] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:17:18.409] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:17:24.558] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:17:30.686] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:17:36.757] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:17:42.888] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:17:46.248] WARN  [f6_Ysolde] [bot] no path to (1489,1555) avoiding 0 block(s); stopping (search 1157843.1us)
[13:17:46.248] WARN  [f6_Ysolde] [bot] start (1488,1552,70) exits: open=7 terrain=0 mobile=0 dynamic=1 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:18:00.633] WARN  [f6_Ysolde] [bot] no path to (1488,1553) avoiding 0 block(s); stopping (search 1265613.7us)
[13:18:00.633] WARN  [f6_Ysolde] [bot] start (1489,1555,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:18:17.688] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:18:23.831] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:18:29.952] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:18:36.145] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:18:42.256] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:18:45.567] WARN  [f6_Ysolde] [bot] no path to (1485,1554) avoiding 0 block(s); stopping (search 1164022.9us)
[13:18:45.567] WARN  [f6_Ysolde] [bot] start (1488,1553,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:18:49.530] WARN  [f6_Ysolde] [bot] no path to (1485,1554) avoiding 0 block(s); stopping (search 1137916.4us)
[13:18:49.531] WARN  [f6_Ysolde] [bot] start (1488,1553,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:19:05.996] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1164716.8us)
[13:19:05.996] WARN  [f6_Ysolde] [bot] start (1485,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:19:10.041] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1157409.6us)
[13:19:10.041] WARN  [f6_Ysolde] [bot] start (1485,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:19:16.841] WARN  [f6_Ysolde] [bot] no path to (1485,1553) avoiding 0 block(s); stopping (search 1144626.8us)
[13:19:16.841] WARN  [f6_Ysolde] [bot] start (1484,1551,70) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:19:21.973] WARN  [f6_Ysolde] [bot] no path to (1484,1554) avoiding 0 block(s); stopping (search 1130861.5us)
[13:19:21.973] WARN  [f6_Ysolde] [bot] start (1485,1553,70) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:19:35.566] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:19:41.707] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:19:47.858] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:19:53.985] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:19:56.274] WARN  [f6_Ysolde] [bot] no path to (1486,1550) avoiding 0 block(s); stopping (search 794.3us)
[13:19:56.275] WARN  [f6_Ysolde] [bot] start (1485,1553,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:19:59.879] WARN  [f6_Ysolde] [0x21] move REJECTED seq=3; server says (1485,1552,70) facing=1
[13:19:59.879] WARN  [f6_Ysolde] [bot] 0x20 resync; aborting path
[13:20:01.802] WARN  [f6_Ysolde] [bot] no path to (1488,1547) avoiding 0 block(s); stopping (search 1227066.7us)
[13:20:01.802] WARN  [f6_Ysolde] [bot] start (1485,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:20:17.604] WARN  [f6_Ysolde] [ACTION_RESULT] move_item timeout (no server confirmation)
[13:20:17.604] WARN  [f6_Ysolde] [ITEM] drag of 0x40013B4F abandoned after timeout
[13:20:24.252] WARN  [f6_Ysolde] [ACTION_RESULT] move_item timeout (no server confirmation)
[13:20:24.253] WARN  [f6_Ysolde] [ITEM] drag of 0x40013B4E abandoned after timeout
[13:20:26.809] WARN  [f6_Ysolde] [ACTION_RESULT] move_item server_failure (16ms) item landed in a different container
[13:20:35.882] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:20:54.234] WARN  [f6_Ysolde] [bot] no path to (1489,1549) avoiding 0 block(s); stopping (search 1089127.8us)
[13:20:54.234] WARN  [f6_Ysolde] [bot] start (1488,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:20:58.210] WARN  [f6_Ysolde] [bot] no path to (1489,1549) avoiding 0 block(s); stopping (search 1085281.0us)
[13:20:58.210] WARN  [f6_Ysolde] [bot] start (1488,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:21:03.767] WARN  [f6_Ysolde] [bot] no path to (1489,1549) avoiding 0 block(s); stopping (search 1208025.2us)
[13:21:03.767] WARN  [f6_Ysolde] [bot] start (1488,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:21:10.770] WARN  [f6_Ysolde] [bot] no path to (1489,1549) avoiding 0 block(s); stopping (search 1148165.6us)
[13:21:10.770] WARN  [f6_Ysolde] [bot] start (1488,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:21:12.108] WARN  [f6_Ysolde] [bot] no path to (1489,1549) avoiding 0 block(s); stopping (search 1117101.1us)
[13:21:12.108] WARN  [f6_Ysolde] [bot] start (1488,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:21:16.068] WARN  [f6_Ysolde] [bot] no path to (1489,1549) avoiding 0 block(s); stopping (search 1134695.8us)
[13:21:16.068] WARN  [f6_Ysolde] [bot] start (1488,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:21:31.533] WARN  [f6_Ysolde] [bot] no path to (1484,1547) avoiding 0 block(s); stopping (search 1206963.2us)
[13:21:31.533] WARN  [f6_Ysolde] [bot] start (1489,1549,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:21:47.559] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:21:53.696] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:21:59.812] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:22:05.904] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:22:22.132] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:22:25.516] WARN  [f6_Ysolde] [bot] no path to (1488,1549) avoiding 0 block(s); stopping (search 1131770.3us)
[13:22:25.516] WARN  [f6_Ysolde] [bot] start (1484,1547,70) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:22:29.332] WARN  [f6_Ysolde] [bot] no path to (1490,1547) avoiding 0 block(s); stopping (search 1125780.3us)
[13:22:29.332] WARN  [f6_Ysolde] [bot] start (1488,1549,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:22:34.820] WARN  [f6_Ysolde] [bot] no path to (1487,1549) avoiding 0 block(s); stopping (search 1254881.9us)
[13:22:34.820] WARN  [f6_Ysolde] [bot] start (1489,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:22:39.983] WARN  [f6_Ysolde] [bot] no path to (1486,1549) avoiding 0 block(s); stopping (search 1136858.3us)
[13:22:39.983] WARN  [f6_Ysolde] [bot] start (1487,1549,70) exits: open=4 terrain=2 mobile=1 dynamic=0 door=1 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:22:50.631] WARN  [f6_Ysolde] [bot] no path to (1489,1547) avoiding 0 block(s); stopping (search 1141000.9us)
[13:22:50.631] WARN  [f6_Ysolde] [bot] start (1487,1549,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:23:07.290] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:23:13.416] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:23:19.563] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:23:25.637] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:23:56.863] WARN  [f6_Ysolde] [ACTION_RESULT] use_object timeout (no server confirmation)
[13:24:07.054] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:24:09.189] WARN  [f6_Ysolde] [bot] no path to (1486,1547) avoiding 0 block(s); stopping (search 1096452.0us)
[13:24:09.189] WARN  [f6_Ysolde] [bot] start (1489,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:24:13.096] WARN  [f6_Ysolde] [bot] no path to (1486,1547) avoiding 0 block(s); stopping (search 1094989.5us)
[13:24:13.096] WARN  [f6_Ysolde] [bot] start (1489,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:24:18.656] WARN  [f6_Ysolde] [bot] no path to (1486,1547) avoiding 0 block(s); stopping (search 1198288.6us)
[13:24:18.656] WARN  [f6_Ysolde] [bot] start (1489,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:24:25.727] WARN  [f6_Ysolde] [bot] no path to (1486,1547) avoiding 0 block(s); stopping (search 1198859.5us)
[13:24:25.727] WARN  [f6_Ysolde] [bot] start (1489,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:24:27.062] WARN  [f6_Ysolde] [bot] no path to (1486,1547) avoiding 0 block(s); stopping (search 1102546.6us)
[13:24:27.062] WARN  [f6_Ysolde] [bot] start (1489,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:24:39.149] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:24:41.392] WARN  [f6_Ysolde] [bot] no path to (1490,1548) avoiding 0 block(s); stopping (search 1100632.4us)
[13:24:41.392] WARN  [f6_Ysolde] [bot] start (1486,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:24:45.747] WARN  [f6_Ysolde] [bot] no path to (1488,1549) avoiding 0 block(s); stopping (search 1089302.8us)
[13:24:45.747] WARN  [f6_Ysolde] [bot] start (1490,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:24:49.680] WARN  [f6_Ysolde] [bot] no path to (1488,1549) avoiding 0 block(s); stopping (search 1095463.8us)
[13:24:49.680] WARN  [f6_Ysolde] [bot] start (1490,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:24:56.387] WARN  [f6_Ysolde] [bot] no path to (1485,1548) avoiding 0 block(s); stopping (search 1224564.8us)
[13:24:56.387] WARN  [f6_Ysolde] [bot] start (1488,1549,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:25:01.762] WARN  [f6_Ysolde] [bot] no path to (1484,1547) avoiding 0 block(s); stopping (search 1108992.7us)
[13:25:01.762] WARN  [f6_Ysolde] [bot] start (1485,1548,70) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:25:10.266] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:25:19.249] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:25:28.319] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:25:37.348] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:25:46.344] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:25:55.403] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:26:04.409] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:26:13.409] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:26:22.467] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:26:24.702] WARN  [f6_Ysolde] [bot] no path to (1489,1547) avoiding 0 block(s); stopping (search 1108853.6us)
[13:26:24.702] WARN  [f6_Ysolde] [bot] start (1485,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:26:28.577] WARN  [f6_Ysolde] [bot] no path to (1490,1547) avoiding 0 block(s); stopping (search 1101620.6us)
[13:26:28.577] WARN  [f6_Ysolde] [bot] start (1489,1547,70) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:26:37.454] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:26:39.607] WARN  [f6_Ysolde] [bot] no path to (1487,1549) avoiding 0 block(s); stopping (search 1097073.3us)
[13:26:39.607] WARN  [f6_Ysolde] [bot] start (1489,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:26:44.558] WARN  [f6_Ysolde] [bot] no path to (1485,1547) avoiding 0 block(s); stopping (search 1208523.8us)
[13:26:44.558] WARN  [f6_Ysolde] [bot] start (1487,1549,70) exits: open=5 terrain=2 mobile=0 dynamic=0 door=1 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:26:49.171] WARN  [f6_Ysolde] [bot] no path to (1484,1547) avoiding 0 block(s); stopping (search 1105868.7us)
[13:26:49.171] WARN  [f6_Ysolde] [bot] start (1485,1547,70) exits: open=4 terrain=3 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:26:58.072] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:27:00.281] WARN  [f6_Ysolde] [bot] no path to (1488,1548) avoiding 0 block(s); stopping (search 1103350.4us)
[13:27:00.281] WARN  [f6_Ysolde] [bot] start (1485,1547,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:27:05.943] WARN  [f6_Ysolde] [bot] no path to (1489,1547) avoiding 0 block(s); stopping (search 1178988.8us)
[13:27:05.943] WARN  [f6_Ysolde] [bot] start (1488,1548,70) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:27:14.620] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:27:16.768] WARN  [f6_Ysolde] [bot] no path to (1490,1547) avoiding 0 block(s); stopping (search 1099900.8us)
[13:27:16.768] WARN  [f6_Ysolde] [bot] start (1488,1548,70) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:27:28.016] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:27:30.244] WARN  [f6_Ysolde] [bot] no path to (1485,1549) avoiding 0 block(s); stopping (search 1099463.9us)
[13:27:30.244] WARN  [f6_Ysolde] [bot] start (1490,1547,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:27:41.307] WARN  [f6_Ysolde] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[13:27:43.533] WARN  [f6_Ysolde] [bot] no path to (1487,1547) avoiding 0 block(s); stopping (search 1098778.1us)
[13:27:43.533] WARN  [f6_Ysolde] [bot] start (1485,1549,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
[13:27:47.603] WARN  [f6_Ysolde] [bot] no path to (1487,1547) avoiding 0 block(s); stopping (search 1219902.7us)
[13:27:47.603] WARN  [f6_Ysolde] [bot] start (1485,1549,70) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 292 item(s), 5 mobile(s))
